id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.643	1.19e-22	92.4	99	NODE_1_length_544081_cov_73.624606	156953	156363
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	23.333	2.63e-10	58.9	91	NODE_1_length_544081_cov_73.624606	157900	156998
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	31.924	6.06e-53	193	79	NODE_4_length_386052_cov_86.711900	217003	218388
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	31.924	6.06e-53	193	79	NODE_4_length_386052_cov_86.711900	217003	218388
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	37.801	1.29e-45	162	97	NODE_18_length_47908_cov_109.140579	14557	13691
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	37.801	1.29e-45	162	97	NODE_18_length_47908_cov_109.140579	14557	13691
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	37.801	1.29e-45	162	97	NODE_18_length_47908_cov_109.140579	14557	13691
a1ba99	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a1ba99|2.a.28.3.3	42.901	4.36e-50	176	99	NODE_1_length_544081_cov_73.624606	458435	457464
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.771	1.22e-50	179	90	NODE_4_length_386052_cov_86.711900	343923	344861
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.771	1.22e-50	179	90	NODE_4_length_386052_cov_86.711900	343923	344861
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	33.865	3.60e-82	276	98	NODE_5_length_238649_cov_100.215838	28464	26989
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	25.063	2.41e-09	56.6	90	NODE_4_length_386052_cov_86.711900	21289	20123
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	20.737	8.54e-13	68.6	78	NODE_7_length_221653_cov_124.021709	143129	141840
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	20.737	8.54e-13	68.6	78	NODE_7_length_221653_cov_124.021709	143129	141840
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	68.678	6.17e-165	507	99	NODE_5_length_238649_cov_100.215838	135850	134810
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.106	1.95e-94	318	83	NODE_8_length_214753_cov_106.501631	207519	209147
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.966	3.19e-55	204	87	NODE_10_length_172675_cov_98.100697	126450	124297
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.403	4.40e-15	75.9	90	NODE_2_length_511483_cov_109.584735	134075	135298
a5khl1	2.a.61	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|a5khl1|2.a.61.1.4	53.456	2.81e-113	364	94	NODE_9_length_192189_cov_84.228775	161523	162746
a5khl1	2.a.61	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|a5khl1|2.a.61.1.4	53.456	2.81e-113	364	94	NODE_9_length_192189_cov_84.228775	161523	162746
a5khl1	2.a.61	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|a5khl1|2.a.61.1.4	53.456	2.81e-113	364	94	NODE_9_length_192189_cov_84.228775	161523	162746
a5khl1	2.a.61	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|a5khl1|2.a.61.1.4	53.456	2.81e-113	364	94	NODE_9_length_192189_cov_84.228775	161523	162746
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	46.337	2.99e-142	450	96	NODE_5_length_238649_cov_100.215838	28464	26983
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	32.877	6.57e-50	181	84	NODE_4_length_386052_cov_86.711900	217093	218397
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	26.405	3.25e-39	154	76	NODE_1_length_544081_cov_73.624606	506217	504574
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	22.908	1.20e-18	87.0	95	NODE_5_length_238649_cov_100.215838	110019	111245
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	49.281	7.36e-81	266	80	NODE_13_length_82765_cov_88.256383	22476	21655
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	49.281	7.36e-81	266	80	NODE_13_length_82765_cov_88.256383	22476	21655
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	49.281	7.36e-81	266	80	NODE_13_length_82765_cov_88.256383	22476	21655
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	26.118	2.49e-21	95.5	86	NODE_2_length_511483_cov_109.584735	134150	135292
