id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.411	5.12e-19	81.6	88	NODE_59_length_19990_cov_127.022202	13354	12770
658118072	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118072|3.a.1.15.16	21.519	8.3	24.6	86	NODE_56_length_21705_cov_123.648670	4161	4865
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	25.172	2.08e-23	98.6	82	NODE_56_length_21705_cov_123.648670	2564	3415
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	29.132	4.33e-34	130	95	NODE_83_length_11156_cov_106.202104	2760	1696
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	29.132	4.33e-34	130	95	NODE_83_length_11156_cov_106.202104	2760	1696
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	35.756	1.80e-91	302	100	NODE_11_length_49904_cov_106.072785	18066	16567
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	36.761	1.17e-72	244	96	NODE_12_length_49445_cov_110.709051	30239	31390
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	27.922	2.33e-07	47.0	79	NODE_17_length_43362_cov_83.368151	353	772
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.926	2.52e-19	84.0	90	NODE_16_length_44992_cov_178.554062	31773	32486
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	25.866	2.81e-16	79.3	79	NODE_50_length_23031_cov_145.707431	15400	16674
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	25.866	2.81e-16	79.3	79	NODE_50_length_23031_cov_145.707431	15400	16674
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	31.673	6.74e-87	295	81	NODE_11_length_49904_cov_106.072785	2699	1101
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	27.201	2.70e-67	240	88	NODE_31_length_32257_cov_85.706349	7649	9886
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	26.384	1.27e-12	65.9	83	NODE_11_length_49904_cov_106.072785	19148	18255
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	42.773	2.71e-130	416	97	NODE_11_length_49904_cov_106.072785	18066	16567
