id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	26.786	5.34e-19	81.6	98	NODE_1_length_350646_cov_409.063520	264484	265140
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.605	1.98e-17	83.2	91	NODE_16_length_40998_cov_389.572420	34469	32919
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.605	1.98e-17	83.2	91	NODE_16_length_40998_cov_389.572420	34469	32919
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	21.951	3.08e-14	72.4	88	NODE_11_length_131624_cov_385.780763	57864	56407
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	28.840	1.82e-28	114	77	NODE_7_length_156666_cov_373.657805	30156	31106
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.512	5.58e-80	275	80	NODE_14_length_88975_cov_377.936635	19622	21232
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	22.627	3.95e-47	179	85	NODE_6_length_162933_cov_400.537518	15963	18230
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	47.446	2.56e-155	496	99	NODE_4_length_210001_cov_364.168847	153048	150958
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	47.446	2.56e-155	496	99	NODE_4_length_210001_cov_364.168847	153048	150958
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	23.925	2.48e-15	75.9	91	NODE_19_length_16019_cov_371.378811	4554	3010
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	49.791	6.50e-179	563	99	NODE_4_length_210001_cov_364.168847	153045	150955
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	49.791	6.50e-179	563	99	NODE_4_length_210001_cov_364.168847	153045	150955
a8anm6	2.a.104	l-alanine		rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|a8anm6|2.a.104.1.1	23.308	7.1	23.5	80	NODE_1_length_350646_cov_409.063520	294231	294602
