id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.114	2.84e-19	82.0	97	NODE_3_length_308666_cov_213.651091	4747	5268
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	24.497	7.04e-15	72.4	75	NODE_1_length_533189_cov_191.332958	518305	517454
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	27.820	7.68e-09	53.1	83	NODE_7_length_66367_cov_212.912002	44892	45689
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	35.329	4.50e-90	298	98	NODE_5_length_252857_cov_208.211380	91250	92719
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.870	8.73e-19	82.0	87	NODE_5_length_252857_cov_208.211380	161901	161215
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	23.952	1.22e-19	86.7	94	NODE_2_length_323393_cov_195.481746	226086	225151
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.087	2.36e-68	240	77	NODE_6_length_237610_cov_195.923413	23084	21558
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.196	1.81e-63	228	87	NODE_6_length_237610_cov_195.923413	23609	21501
a5khl1	2.a.61	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|a5khl1|2.a.61.1.4	39.720	4.97e-64	221	92	NODE_1_length_533189_cov_191.332958	176515	177738
a5khl1	2.a.61	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|a5khl1|2.a.61.1.4	39.720	4.97e-64	221	92	NODE_1_length_533189_cov_191.332958	176515	177738
a5khl1	2.a.61	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|a5khl1|2.a.61.1.4	39.720	4.97e-64	221	92	NODE_1_length_533189_cov_191.332958	176515	177738
a5khl1	2.a.61	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|a5khl1|2.a.61.1.4	39.720	4.97e-64	221	92	NODE_1_length_533189_cov_191.332958	176515	177738
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	29.856	4.12e-17	79.3	77	NODE_5_length_252857_cov_208.211380	93667	94467
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	41.929	5.33e-128	408	96	NODE_3_length_308666_cov_213.651091	276659	278158
a7nrg1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a7nrg1|3.a.1.26.5	26.383	4.63e-06	43.1	95	NODE_5_length_252857_cov_208.211380	161868	161170
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	40.299	1.68e-54	189	76	NODE_4_length_259101_cov_222.037795	142207	142953
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	40.299	1.68e-54	189	76	NODE_4_length_259101_cov_222.037795	142207	142953
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	40.299	1.68e-54	189	76	NODE_4_length_259101_cov_222.037795	142207	142953
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	26.457	4.22e-08	49.3	86	NODE_5_length_252857_cov_208.211380	161865	161221
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	26.446	1.78e-25	108	85	NODE_3_length_308666_cov_213.651091	180713	179409
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.121	1.26e-95	325	87	NODE_6_length_237610_cov_195.923413	23606	21483
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	26.683	3.90e-32	127	82	NODE_1_length_533189_cov_191.332958	30034	31128
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	51.235	3.69e-104	331	97	NODE_2_length_323393_cov_195.481746	24361	23390
b7gu58	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b7gu58|2.a.28.2.6	42.857	6.95e-64	216	87	NODE_5_length_252857_cov_208.211380	55303	54401
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	35.196	2.36e-25	99.8	92	NODE_3_length_308666_cov_213.651091	4750	5277
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	35.196	2.36e-25	99.8	92	NODE_3_length_308666_cov_213.651091	4750	5277
b8f5k7	4.d.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|b8f5k7|4.d.1.3.2	32.661	1.82e-34	127	98	NODE_2_length_323393_cov_195.481746	151645	150917
btst_ecoli	2.a.114	pyruvate		rxn05469,rxn09217,rxn09717,rxn09832	sp|p39396|btst_ecoli|2.a.114	47.217	6.50e-122	398	77	NODE_5_length_252857_cov_208.211380	53858	52329
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	30.345	3.68e-17	73.2	97	NODE_4_length_259101_cov_222.037795	213776	213351
c4st46	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|c4st46|2.a.28.2.9	38.908	6.07e-54	186	94	NODE_5_length_252857_cov_208.211380	55303	54425
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	36.681	1.26e-37	135	94	NODE_4_length_259101_cov_222.037795	238554	239228
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	38.554	6.37e-45	157	98	NODE_4_length_259101_cov_222.037795	238554	239252
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	35.093	1.41e-86	297	82	NODE_6_length_237610_cov_195.923413	23363	21468
d2rdx9	2.a.20	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|d2rdx9|2.a.20.3.4	26.962	1.73e-11	61.2	90	NODE_2_length_323393_cov_195.481746	320988	320113
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	39.886	4.45e-55	192	89	NODE_4_length_259101_cov_222.037795	212801	211809
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	35.823	3.61e-89	299	93	NODE_6_length_237610_cov_195.923413	56679	55024
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	35.823	3.61e-89	299	93	NODE_6_length_237610_cov_195.923413	56679	55024
d5apm1	2.a.21	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|tc-db|d5apm1|2.a.21.7.5	25.052	6.16e-21	94.0	80	NODE_5_length_252857_cov_208.211380	19125	20441
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	37.931	5.40e-32	120	86	NODE_5_length_252857_cov_208.211380	162715	162128
d5arg8	2.a.88,3.a.1	biotin		rxn09693	gnl|tc-db|d5arg8|3.a.1.25.7	29.240	7.28e-05	38.9	84	NODE_3_length_308666_cov_213.651091	117976	117506
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	30.131	2.20e-25	100	99	NODE_5_length_252857_cov_208.211380	163590	162904
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	40.088	3.36e-43	153	83	NODE_5_length_252857_cov_208.211380	161910	161239
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	39.837	7.67e-44	155	97	NODE_5_length_252857_cov_208.211380	163572	162838
d7ae11	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae11|3.a.1.23.3	23.043	0.005	34.3	87	NODE_5_length_252857_cov_208.211380	161886	161209
d7v7w8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v7w8|1.a.8.2.5	49.074	6.70e-55	185	91	NODE_4_length_259101_cov_222.037795	238554	239198
d7v8e7	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v8e7|1.a.8.2.6	47.926	5.18e-51	174	89	NODE_4_length_259101_cov_222.037795	238554	239198
d7vc84	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vc84|1.a.8.2.8	35.371	7.98e-28	107	94	NODE_4_length_259101_cov_222.037795	238554	239228
d7vey8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vey8|1.a.8.2.7	37.668	1.71e-39	142	86	NODE_4_length_259101_cov_222.037795	238560	239186
d9rf44	2.a.20	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|d9rf44|2.a.20.1.7	51.553	2.08e-72	240	96	NODE_2_length_323393_cov_195.481746	321024	320071
esq71096.1	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|esq71096.1|4.a.7.1.6	27.027	1.31e-07	46.2	94	NODE_4_length_259101_cov_222.037795	213776	213351
f8ikt4	2.a.39	allantoin		rxn05682,rxn08116,rxn09698,rxn34487	gnl|tc-db|f8ikt4|2.a.39.1.4	24.069	6.40e-04	38.5	79	NODE_4_length_259101_cov_222.037795	209854	208799
f8ikt4	2.a.39	cytosine		rxn05527,rxn08266,rxn12428	gnl|tc-db|f8ikt4|2.a.39.1.4	24.069	6.40e-04	38.5	79	NODE_4_length_259101_cov_222.037795	209854	208799
f8ikt4	2.a.39	thiamine		rxn09657	gnl|tc-db|f8ikt4|2.a.39.1.4	24.069	6.40e-04	38.5	79	NODE_4_length_259101_cov_222.037795	209854	208799
f8ikt4	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|f8ikt4|2.a.39.1.4	24.069	6.40e-04	38.5	79	NODE_4_length_259101_cov_222.037795	209854	208799
f8y3b4	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b4|4.a.2.1.21	33.088	2.41e-20	82.8	92	NODE_4_length_259101_cov_222.037795	213776	213372
f8y3b5	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b5|4.a.2.1.21	45.119	7.41e-95	310	99	NODE_4_length_259101_cov_222.037795	213173	211794
f9ust3	2.a.14	l-lactic acid		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|uniref90|f9ust3|2.a.14.1.3	36.681	1.26e-37	135	94	NODE_4_length_259101_cov_222.037795	238554	239228
f9vn10	3.d.10	succinate	EX_cpd00036_e0,EX_cpd00036_e0	rxn10138	gnl|tc-db|f9vn10|3.d.10.1.4	42.388	2.33e-138	440	99	NODE_4_length_259101_cov_222.037795	187703	189412
f9vn11	3.d.10	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|f9vn11|3.d.10.1.4	30.671	2.51e-47	167	96	NODE_4_length_259101_cov_222.037795	189426	190346
f9vn11	3.d.10	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|f9vn11|3.d.10.1.4	30.671	2.51e-47	167	96	NODE_4_length_259101_cov_222.037795	189426	190346
f9vn11	3.d.10	succinate	EX_cpd00036_e0,EX_cpd00036_e0	rxn10138	gnl|tc-db|f9vn11|3.d.10.1.4	30.671	2.51e-47	167	96	NODE_4_length_259101_cov_222.037795	189426	190346
f9vn12	3.d.10	succinate	EX_cpd00036_e0,EX_cpd00036_e0	rxn10138	gnl|tc-db|f9vn12|3.d.10.1.4	37.906	5.36e-65	217	96	NODE_4_length_259101_cov_222.037795	190373	191200
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	29.439	3.21e-29	111	89	NODE_9_length_18851_cov_242.609859	2856	2245
g8rd42	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8rd42|2.a.38.4.6	30.841	2.01e-38	145	93	NODE_1_length_533189_cov_191.332958	269711	270946
g8v089	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8v089|2.a.38.4.6	39.234	3.92e-54	182	95	NODE_1_length_533189_cov_191.332958	270995	271621
g8v0i4	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g8v0i4|3.a.1.5.33	39.078	3.90e-119	383	94	NODE_1_length_533189_cov_191.332958	142487	143962
g8wdn4	2.a.76	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|g8wdn4|2.a.76.1.10	24.681	5.85e-09	51.6	90	NODE_6_length_237610_cov_195.923413	173035	173733
gad20700.1	3.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|gad20700.1|3.a.1.103.7	27.572	9.66e-21	87.8	91	NODE_2_length_323393_cov_195.481746	166314	165610
glpf4_lacpl	2.a.14	d-lactate		rxn08350,rxn09772,rxn10171,rxn12366	sp|f9umx3|glpf4_lacpl|2.a.14.1.3	35.371	7.98e-28	107	94	NODE_4_length_259101_cov_222.037795	238554	239228
glpf4_lacpl	2.a.14	glycerol		rxn12529,rxn34380	sp|f9umx3|glpf4_lacpl|2.a.14.1.3	35.371	7.98e-28	107	94	NODE_4_length_259101_cov_222.037795	238554	239228
glpf4_lacpl	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	sp|f9umx3|glpf4_lacpl|2.a.14.1.3	35.371	7.98e-28	107	94	NODE_4_length_259101_cov_222.037795	238554	239228
glpf4_lacpl	2.a.14	l-lactic acid		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	sp|f9umx3|glpf4_lacpl|2.a.14.1.3	35.371	7.98e-28	107	94	NODE_4_length_259101_cov_222.037795	238554	239228
h7c6b2	2.a.8	gluconate		rxn05571,rxn08609,rxn12363	gnl|tc-db|h7c6b2|2.a.8.1.15	34.286	4.10e-48	174	91	NODE_1_length_533189_cov_191.332958	236383	237612
j7jie8	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|j7jie8|2.a.21.2.4	50.000	3.12e-130	412	99	NODE_5_length_252857_cov_208.211380	19194	20609
k7vv21	2.a.3	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|k7vv21|2.a.3.1.18	52.254	8.41e-134	424	99	NODE_4_length_259101_cov_222.037795	20052	18610
k7wl41	2.a.3	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|k7wl41|2.a.3.1.19	50.313	1.72e-133	422	99	NODE_4_length_259101_cov_222.037795	20046	18616
m1iw84	2.a.3	alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|m1iw84|2.a.3.1.17	44.000	5.72e-86	288	82	NODE_6_length_237610_cov_195.923413	27934	26603
m1iw84	2.a.3	d-serine		rxn05649,rxn08372	gnl|tc-db|m1iw84|2.a.3.1.17	44.000	5.72e-86	288	82	NODE_6_length_237610_cov_195.923413	27934	26603
m1iw84	2.a.3	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|tc-db|m1iw84|2.a.3.1.17	44.000	5.72e-86	288	82	NODE_6_length_237610_cov_195.923413	27934	26603
m1tz79	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|m1tz79|2.a.21.2.5	48.975	1.01e-127	406	98	NODE_5_length_252857_cov_208.211380	19161	20612
m7pf02	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|m7pf02|4.a.2.1.19	46.916	2.69e-113	363	96	NODE_4_length_259101_cov_222.037795	213170	211809
np_695611.1	2.a.14	d-lactate		rxn08350,rxn09772,rxn10171,rxn12366	sp|wp_012576692.1|np_695611.1|2.a.14.1.3	41.935	6.52e-43	151	87	NODE_4_length_259101_cov_222.037795	238554	239189
np_695611.1	2.a.14	glycerol		rxn12529,rxn34380	sp|wp_012576692.1|np_695611.1|2.a.14.1.3	41.935	6.52e-43	151	87	NODE_4_length_259101_cov_222.037795	238554	239189
np_695611.1	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	sp|wp_012576692.1|np_695611.1|2.a.14.1.3	41.935	6.52e-43	151	87	NODE_4_length_259101_cov_222.037795	238554	239189
o06930	3.b.1	biotin		rxn05223	gnl|tc-db|o06930|3.b.1.1.4	30.882	4.73e-06	38.5	99	NODE_1_length_533189_cov_191.332958	481104	480901
o07620	2.a.88	biotin		rxn09693	gnl|tc-db|o07620|2.a.88.1.9	32.704	1.48e-10	55.8	85	NODE_2_length_323393_cov_195.481746	108947	108477
o24896	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|o24896|2.a.21.2.6	47.500	2.06e-126	402	95	NODE_5_length_252857_cov_208.211380	19134	20564
o29097	3.a.1	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|o29097|3.a.1.26.8	23.448	2.09e-11	62.0	89	NODE_7_length_66367_cov_212.912002	30094	31389
o30085	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|o30085|3.a.3.5.10	38.576	1.28e-119	391	87	NODE_6_length_237610_cov_195.923413	23276	21483
o30144	3.a.1	molybdate		rxn05619,rxn08955	gnl|tc-db|o30144|3.a.1.6.8	41.038	3.37e-45	157	88	NODE_3_length_308666_cov_213.651091	4720	5355
o30499	2.a.20	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|o30499|2.a.20.1.4	45.741	3.06e-69	231	95	NODE_2_length_323393_cov_195.481746	321015	320071
o30506	3.a.1	arginine	EX_cpd00051_e0	rxn05154,rxn08151,rxn11236	gnl|tc-db|o30506|3.a.1.3.11	48.221	7.03e-68	223	99	NODE_3_length_308666_cov_213.651091	241198	241953
o30506	3.a.1	ornithine	EX_cpd00064_e0	rxn05156,rxn09046,rxn27636	gnl|tc-db|o30506|3.a.1.3.11	48.221	7.03e-68	223	99	NODE_3_length_308666_cov_213.651091	241198	241953
o30832	3.a.1	mannitol	EX_cpd00314_e0	rxn13853	gnl|tc-db|o30832|3.a.1.1.5	27.308	1.18e-12	64.7	88	NODE_4_length_259101_cov_222.037795	247	1017
o30832	3.a.1	sorbitol	EX_cpd00588_e0	rxn29779	gnl|tc-db|o30832|3.a.1.1.5	27.308	1.18e-12	64.7	88	NODE_4_length_259101_cov_222.037795	247	1017
o30833	3.a.1	mannitol	EX_cpd00314_e0	rxn13853	gnl|tc-db|o30833|3.a.1.1.5	25.385	1.29e-10	58.2	92	NODE_4_length_259101_cov_222.037795	1172	1933
o30833	3.a.1	sorbitol	EX_cpd00588_e0	rxn29779	gnl|tc-db|o30833|3.a.1.1.5	25.385	1.29e-10	58.2	92	NODE_4_length_259101_cov_222.037795	1172	1933
o31199	2.a.3	histidine	EX_cpd00119_e0	rxn05299,rxn08719,rxn09744,rxn13314,rxn34384	gnl|tc-db|o31199|2.a.3.1.9	44.395	9.79e-108	347	95	NODE_5_length_252857_cov_208.211380	222136	220805
o32074	2.a.88,3.a.1	thiamine		rxn09657	gnl|tc-db|o32074|2.a.88.3.1	36.316	5.78e-28	106	98	NODE_1_length_533189_cov_191.332958	22403	22918
o32074.2	2.a.88,3.a.1	thiamine		rxn09657	gnl|tc-db|o32074|2.a.88.3.1	36.316	5.78e-28	106	98	NODE_1_length_533189_cov_191.332958	22403	22918
o32139	2.a.40	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn05497	gnl|tc-db|o32139|2.a.40.3.2	51.370	2.34e-110	354	97	NODE_5_length_252857_cov_208.211380	150022	148724
