id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.442	2.08e-17	76.6	99	NODE_1_length_542186_cov_348.989008	515638	515057
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.256	2.34e-45	162	80	NODE_1_length_542186_cov_348.989008	58264	59184
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.256	2.34e-45	162	80	NODE_1_length_542186_cov_348.989008	58264	59184
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.785	1.47e-16	79.7	94	NODE_3_length_264418_cov_367.729160	194975	196501
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.963	1.23e-15	72.8	92	NODE_6_length_177743_cov_364.781247	173031	173774
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.337	1.22e-78	271	80	NODE_10_length_57363_cov_359.215393	55466	57022
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.013	1.19e-54	202	89	NODE_2_length_407529_cov_358.911617	22760	20526
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.222	1.03e-10	60.8	83	NODE_3_length_264418_cov_367.729160	194975	196378
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	33.917	2.51e-140	458	99	NODE_2_length_407529_cov_358.911617	5826	3208
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	24.832	7.40e-09	53.9	78	NODE_2_length_407529_cov_358.911617	267983	268840
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	24.832	7.40e-09	53.9	78	NODE_2_length_407529_cov_358.911617	267983	268840
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	24.832	7.40e-09	53.9	78	NODE_2_length_407529_cov_358.911617	267983	268840
