id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	26.374	4.89e-19	81.6	99	NODE_11_length_95090_cov_121.015377	83529	84074
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	22.553	0.001	37.4	76	NODE_1_length_353636_cov_115.057116	196639	195959
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	22.553	0.001	37.4	76	NODE_1_length_353636_cov_115.057116	196639	195959
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	22.553	0.001	37.4	76	NODE_1_length_353636_cov_115.057116	196639	195959
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	29.588	4.06e-28	112	75	NODE_3_length_271260_cov_122.374647	20540	19746
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	29.588	4.06e-28	112	75	NODE_3_length_271260_cov_122.374647	20540	19746
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	32.026	2.04e-31	121	95	NODE_9_length_105720_cov_129.208362	24377	25255
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	31.889	6.73e-30	118	88	NODE_9_length_105720_cov_129.208362	23281	24216
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	45.600	5.94e-136	431	98	NODE_9_length_105720_cov_129.208362	21767	23260
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.160	5.22e-13	65.1	85	NODE_6_length_195199_cov_120.297819	131026	131691
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.759	3.42e-87	296	81	NODE_5_length_213996_cov_116.598722	168875	167280
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.764	9.44e-52	193	81	NODE_11_length_95090_cov_121.015377	29318	27306
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	47.319	6.83e-148	475	99	NODE_10_length_96964_cov_118.925635	10793	8838
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	47.319	6.83e-148	475	99	NODE_10_length_96964_cov_118.925635	10793	8838
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	41.221	1.16e-113	367	98	NODE_1_length_353636_cov_115.057116	37243	35702
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	26.603	2.73e-28	111	98	NODE_9_length_105720_cov_129.208362	37263	38177
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	25.890	8.61e-25	101	96	NODE_9_length_105720_cov_129.208362	37251	38165
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	27.010	3.88e-28	110	98	NODE_9_length_105720_cov_129.208362	37266	38177
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	26.214	4.85e-25	102	96	NODE_9_length_105720_cov_129.208362	37251	38165
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	53.094	5.65e-174	549	99	NODE_10_length_96964_cov_118.925635	10778	8829
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	53.094	5.65e-174	549	99	NODE_10_length_96964_cov_118.925635	10778	8829
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	42.105	0.0	622	96	NODE_12_length_91389_cov_134.880443	87715	85214
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	27.881	1.57e-24	102	77	NODE_6_length_195199_cov_120.297819	129337	130110
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	27.881	1.57e-24	102	77	NODE_6_length_195199_cov_120.297819	129337	130110
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	27.881	1.57e-24	102	77	NODE_6_length_195199_cov_120.297819	129337	130110
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	38.262	4.27e-103	338	93	NODE_9_length_105720_cov_129.208362	59117	60721
