id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.068	5.80e-20	85.1	97	NODE_4_length_247746_cov_78.312675	207195	207791
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.064	3.65e-14	71.2	81	NODE_8_length_142445_cov_79.087850	107894	107112
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	21.406	0.026	33.5	99	NODE_24_length_56127_cov_82.113149	51611	50718
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	21.406	0.026	33.5	99	NODE_24_length_56127_cov_82.113149	51611	50718
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	21.406	0.026	33.5	99	NODE_24_length_56127_cov_82.113149	51611	50718
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.657	6.96e-54	188	97	NODE_3_length_285338_cov_61.611990	38725	39696
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.657	6.96e-54	188	97	NODE_3_length_285338_cov_61.611990	38725	39696
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	42.453	3.32e-61	208	99	NODE_10_length_135887_cov_71.843141	71781	70831
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	40.061	5.54e-53	186	87	NODE_10_length_135887_cov_71.843141	72886	71942
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	56.513	0.0	560	98	NODE_10_length_135887_cov_71.843141	74408	72912
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	55.707	2.82e-127	402	91	NODE_6_length_192517_cov_64.918349	140347	141450
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	29.050	1.70e-11	59.7	94	NODE_23_length_60563_cov_79.388685	47924	47406
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	31.780	8.45e-23	94.7	89	NODE_28_length_48049_cov_83.137205	18860	19558
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	27.660	3.98e-20	92.0	78	NODE_2_length_317629_cov_61.227191	223932	222688
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	27.660	3.98e-20	92.0	78	NODE_2_length_317629_cov_61.227191	223932	222688
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	33.123	2.36e-45	163	89	NODE_9_length_140412_cov_84.065907	102940	103848
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.218	1.16e-92	313	82	NODE_9_length_140412_cov_84.065907	118340	119947
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.606	8.40e-62	224	88	NODE_24_length_56127_cov_82.113149	26146	28365
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	48.892	6.19e-151	484	98	NODE_8_length_142445_cov_79.087850	15478	13508
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	48.892	6.19e-151	484	98	NODE_8_length_142445_cov_79.087850	15478	13508
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	37.203	1.11e-55	194	97	NODE_37_length_29153_cov_78.158447	26527	25406
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	51.969	1.15e-159	501	96	NODE_37_length_29153_cov_78.158447	25316	23796
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	26.005	1.19e-22	100	76	NODE_27_length_48783_cov_65.988010	14382	13222
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	40.392	1.23e-61	208	87	NODE_2_length_317629_cov_61.227191	191452	190700
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	33.681	7.32e-45	160	94	NODE_2_length_317629_cov_61.227191	191449	190601
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	37.102	4.77e-59	201	95	NODE_2_length_317629_cov_61.227191	191452	190616
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	32.639	3.34e-45	161	99	NODE_2_length_317629_cov_61.227191	191449	190601
a6x7e7	2.a.1	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|a6x7e7|2.a.1.81.5	35.326	4.23e-62	214	92	NODE_4_length_247746_cov_78.312675	28433	27336
