id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.111	3.01e-20	85.5	99	NODE_9_length_104346_cov_20.754635	12843	12181
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.624	9.71e-50	176	89	NODE_19_length_51668_cov_24.384214	29114	30013
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.624	9.71e-50	176	89	NODE_19_length_51668_cov_24.384214	29114	30013
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	33.667	2.44e-82	276	98	NODE_27_length_42562_cov_24.625586	21797	20316
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	33.915	8.51e-50	178	98	NODE_23_length_46299_cov_20.953485	23985	22804
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.630	1.71e-19	84.7	90	NODE_60_length_9898_cov_24.170655	3367	4080
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.347	1.21e-88	301	83	NODE_36_length_28761_cov_34.558569	10614	9025
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.216	7.01e-60	218	87	NODE_17_length_60511_cov_20.578251	40527	38350
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	25.246	1.02e-11	63.5	76	NODE_27_length_42562_cov_24.625586	14382	13510
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	43.313	1.29e-125	402	95	NODE_27_length_42562_cov_24.625586	21788	20313
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	46.498	0.0	726	98	NODE_7_length_114794_cov_22.154868	111897	109342
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	33.333	8.48e-41	149	77	NODE_12_length_78919_cov_30.286193	55981	55211
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	33.333	8.48e-41	149	77	NODE_12_length_78919_cov_30.286193	55981	55211
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	33.333	8.48e-41	149	77	NODE_12_length_78919_cov_30.286193	55981	55211
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.783	7.37e-10	55.1	91	NODE_60_length_9898_cov_24.170655	3397	4086
