id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.846	4.93e-28	107	97	NODE_8_length_89789_cov_162.422508	13970	13392
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	27.734	2.00e-22	94.0	85	NODE_1_length_326944_cov_158.369435	296162	296923
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	27.734	2.00e-22	94.0	85	NODE_1_length_326944_cov_158.369435	296162	296923
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	27.734	2.00e-22	94.0	85	NODE_1_length_326944_cov_158.369435	296162	296923
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.384	1.46e-48	171	80	NODE_10_length_64628_cov_114.731003	40397	41242
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.384	1.46e-48	171	80	NODE_10_length_64628_cov_114.731003	40397	41242
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.868	2.34e-13	68.9	91	NODE_1_length_326944_cov_158.369435	9989	8706
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.338	2.30e-83	285	82	NODE_4_length_176908_cov_216.375935	65324	66832
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.614	9.57e-13	67.4	89	NODE_1_length_326944_cov_158.369435	9992	8706
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	25.301	5.58e-26	108	84	NODE_10_length_64628_cov_114.731003	4539	5750
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	46.948	0.0	750	99	NODE_11_length_44956_cov_127.475479	22040	19392
