id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.508	1.91e-18	80.5	93	NODE_11_length_96084_cov_16.039341	37341	36832
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	25.969	1.89e-18	87.0	84	NODE_44_length_28459_cov_17.532767	25879	27261
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	25.969	1.89e-18	87.0	84	NODE_44_length_28459_cov_17.532767	25879	27261
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	20.779	0.35	29.6	76	NODE_5_length_136384_cov_18.165362	93057	92380
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	20.779	0.35	29.6	76	NODE_5_length_136384_cov_18.165362	93057	92380
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	20.779	0.35	29.6	76	NODE_5_length_136384_cov_18.165362	93057	92380
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	33.051	1.72e-43	158	98	NODE_22_length_55613_cov_15.934997	8976	7954
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	33.051	1.72e-43	158	98	NODE_22_length_55613_cov_15.934997	8976	7954
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	30.818	4.87e-29	114	100	NODE_10_length_97662_cov_18.434831	13040	13957
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	31.373	1.97e-31	123	84	NODE_12_length_84057_cov_17.005930	52675	51785
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	43.400	2.71e-127	406	99	NODE_12_length_84057_cov_17.005930	54204	52726
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	32.867	2.72e-10	55.8	75	NODE_51_length_19045_cov_18.694064	17694	18104
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.226	3.53e-16	75.1	90	NODE_67_length_12863_cov_17.873142	5263	4547
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	24.228	2.30e-13	70.5	77	NODE_4_length_199748_cov_18.087819	4789	6027
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	24.228	2.30e-13	70.5	77	NODE_4_length_199748_cov_18.087819	4789	6027
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.364	9.72e-86	292	78	NODE_14_length_71584_cov_18.334107	35016	33430
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.223	3.95e-47	179	87	NODE_14_length_71584_cov_18.334107	35631	33382
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	49.787	2.46e-146	471	95	NODE_4_length_199748_cov_18.087819	105816	103945
