id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.088	2.36e-21	88.6	99	scaffold00014	9810	10451
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.632	2.41e-14	73.6	93	scaffold00011	40168	41727
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.632	2.41e-14	73.6	93	scaffold00011	40168	41727
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	26.786	2.52e-22	94.0	92	scaffold00004	46839	47663
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	26.786	2.52e-22	94.0	92	scaffold00004	46839	47663
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	26.786	2.52e-22	94.0	92	scaffold00004	46839	47663
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	31.594	5.09e-39	144	95	scaffold00009	94758	93766
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	31.594	5.09e-39	144	95	scaffold00009	94758	93766
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	25.497	7.44e-28	115	96	scaffold00001	333158	331599
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	25.652	4.13e-11	59.7	84	scaffold00010	27283	27963
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	44.207	1.12e-127	414	81	scaffold00004	42957	44585
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.974	3.29e-63	228	88	scaffold00002	272469	274703
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	49.932	3.59e-155	496	99	scaffold00003	61026	59014
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	49.932	3.59e-155	496	99	scaffold00003	61026	59014
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	27.052	1.25e-30	124	96	scaffold00010	40164	38602
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	21.941	8.00e-04	37.7	75	scaffold00004	241626	241075
