id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.348	2.88e-21	87.4	95	NODE_2_length_164472_cov_579.293111	24997	25536
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.477	4.49e-10	58.9	78	NODE_21_length_10775_cov_659.036268	8465	7230
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.477	4.49e-10	58.9	78	NODE_21_length_10775_cov_659.036268	8465	7230
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	23.404	0.027	32.7	91	NODE_1_length_218748_cov_622.466669	178166	177123
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	23.404	0.027	32.7	91	NODE_1_length_218748_cov_622.466669	178166	177123
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	34.406	1.09e-88	294	98	NODE_5_length_133180_cov_703.650834	77380	78849
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.879	1.77e-17	77.8	87	NODE_10_length_85666_cov_649.539766	1997	2683
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	24.113	6.28e-13	67.8	78	NODE_1_length_218748_cov_622.466669	130341	129100
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	24.113	6.28e-13	67.8	78	NODE_1_length_218748_cov_622.466669	130341	129100
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	24.252	1.14e-13	68.6	82	NODE_1_length_218748_cov_622.466669	57948	57106
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.708	6.63e-71	248	77	NODE_15_length_43347_cov_612.861197	23109	21586
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.360	1.32e-68	244	87	NODE_15_length_43347_cov_612.861197	23643	21526
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	31.183	1.66e-19	86.7	77	NODE_5_length_133180_cov_703.650834	79800	80591
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	39.800	1.17e-108	352	95	NODE_5_length_133180_cov_703.650834	77380	78846
a7nrg1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a7nrg1|3.a.1.26.5	30.058	7.61e-10	54.3	76	NODE_5_length_133180_cov_703.650834	69466	68954
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	24.661	1.45e-15	75.9	88	NODE_21_length_10775_cov_659.036268	8429	7218
akm77924	2.a.76	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|akm77924|2.a.76.1.12	24.365	0.23	28.5	93	NODE_12_length_66334_cov_686.675627	57345	57905
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	26.477	1.11e-26	112	85	NODE_7_length_107514_cov_674.168015	32422	33726
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	23.981	1.11e-18	85.9	84	NODE_7_length_107514_cov_674.168015	9641	10831
