id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.798	2.55e-21	87.8	90	NODE_19_length_28021_cov_55.705840	15922	16506
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.772	3.55e-12	63.9	81	NODE_19_length_28021_cov_55.705840	17618	18433
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.333	2.59e-39	145	83	NODE_2_length_178938_cov_46.232633	38246	39115
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.333	2.59e-39	145	83	NODE_2_length_178938_cov_46.232633	38246	39115
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	84.227	1.60e-151	466	100	NODE_7_length_87100_cov_52.811429	37219	36269
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	75.068	5.84e-146	453	100	NODE_7_length_87100_cov_52.811429	38289	37222
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	86.166	0.0	896	100	NODE_7_length_87100_cov_52.811429	39802	38285
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	64.773	5.11e-67	219	79	NODE_12_length_52149_cov_52.317522	44885	44358
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	76.923	0.0	595	100	NODE_10_length_68338_cov_43.106254	4673	5881
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.641	1.09e-13	67.0	90	NODE_27_length_18357_cov_67.664880	1739	1023
