id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.268	2.65e-20	85.5	90	NODE_22_length_57848_cov_92.896519	26929	27528
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	18.980	2.70e-08	52.8	94	NODE_3_length_218215_cov_87.009111	166205	165189
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	31.293	1.11e-15	75.1	91	NODE_13_length_89207_cov_96.364493	58952	59827
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	34.708	5.69e-43	154	94	NODE_27_length_46382_cov_113.616063	12151	11282
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	34.708	5.69e-43	154	94	NODE_27_length_46382_cov_113.616063	12151	11282
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	34.708	5.69e-43	154	94	NODE_27_length_46382_cov_113.616063	12151	11282
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	40.217	6.18e-65	225	88	NODE_16_length_84225_cov_90.924968	55417	54116
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	40.217	6.18e-65	225	88	NODE_16_length_84225_cov_90.924968	55417	54116
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	31.956	1.27e-36	137	99	NODE_14_length_87790_cov_94.934864	4649	3582
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	31.956	1.27e-36	137	99	NODE_14_length_87790_cov_94.934864	4649	3582
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	35.785	1.45e-88	294	99	NODE_16_length_84225_cov_90.924968	69625	68144
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.380	1.59e-15	73.2	88	NODE_21_length_71049_cov_121.821325	21033	20341
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	29.257	2.66e-19	89.4	77	NODE_36_length_37279_cov_80.637408	16356	15136
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	29.257	2.66e-19	89.4	77	NODE_36_length_37279_cov_80.637408	16356	15136
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	30.657	1.27e-36	142	77	NODE_42_length_28336_cov_90.134461	20516	21706
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	41.139	5.21e-70	234	91	NODE_1_length_262828_cov_88.992878	54568	55491
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	42.342	9.05e-121	394	80	NODE_28_length_45619_cov_109.836741	13357	14973
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.087	6.75e-70	248	86	NODE_27_length_46382_cov_113.616063	8760	6655
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	23.864	2.32e-11	63.9	93	NODE_16_length_84225_cov_90.924968	55492	54122
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	27.919	3.72e-39	149	76	NODE_42_length_28336_cov_90.134461	20555	21712
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	27.719	4.74e-19	85.9	77	NODE_16_length_84225_cov_90.924968	67203	66397
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	41.884	2.26e-119	384	95	NODE_16_length_84225_cov_90.924968	69619	68159
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	22.222	7.85e-14	71.6	79	NODE_15_length_85450_cov_83.057616	66246	65014
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	26.757	1.77e-25	107	91	NODE_5_length_160377_cov_129.830783	103793	105076
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	33.769	1.56e-61	214	91	NODE_1_length_262828_cov_88.992878	90375	91736
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	22.454	9.00e-04	38.9	79	NODE_1_length_262828_cov_88.992878	67271	68401
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	45.351	0.0	636	97	NODE_2_length_253016_cov_78.229753	250010	247422
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	48.905	1.63e-83	273	79	NODE_14_length_87790_cov_94.934864	19848	20657
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	48.905	1.63e-83	273	79	NODE_14_length_87790_cov_94.934864	19848	20657
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	48.905	1.63e-83	273	79	NODE_14_length_87790_cov_94.934864	19848	20657
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	30.901	4.82e-54	193	94	NODE_42_length_28336_cov_90.134461	20399	21718
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	29.025	4.72e-55	197	90	NODE_16_length_84225_cov_90.924968	55429	54101
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	30.531	1.59e-58	207	88	NODE_42_length_28336_cov_90.134461	20399	21691
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	28.571	3.66e-41	157	78	NODE_42_length_28336_cov_90.134461	20402	21691
apa39363.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|apa39363.1|2.a.1.9.13	22.803	9.73e-12	64.7	90	NODE_42_length_28336_cov_90.134461	20501	21727
