id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.751	1.15e-18	80.5	98	NODE_2_length_197194_cov_507.184976	121532	120918
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	23.448	1.89e-13	68.2	81	NODE_2_length_197194_cov_507.184976	119853	119032
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.237	2.97e-40	147	78	NODE_16_length_56690_cov_518.893240	47857	47015
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.237	2.97e-40	147	78	NODE_16_length_56690_cov_518.893240	47857	47015
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	82.965	8.39e-150	461	100	NODE_10_length_79676_cov_489.088808	45418	44468
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	73.699	4.87e-143	444	100	NODE_10_length_79676_cov_489.088808	46488	45421
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	85.178	0.0	889	100	NODE_10_length_79676_cov_489.088808	48001	46484
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	64.205	2.46e-66	218	79	NODE_18_length_45454_cov_445.389559	1703	1176
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	74.121	0.0	611	99	NODE_1_length_232346_cov_490.841718	45617	44424
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.641	1.68e-13	66.6	90	NODE_3_length_180182_cov_597.209933	141230	140514
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.139	1.18e-11	63.9	77	NODE_5_length_103643_cov_439.010689	1553	336
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.139	1.18e-11	63.9	77	NODE_5_length_103643_cov_439.010689	1553	336
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.392	4.61e-83	284	82	NODE_2_length_197194_cov_507.184976	34474	36078
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.516	9.69e-66	236	87	NODE_1_length_232346_cov_490.841718	115461	113431
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	41.884	2.24e-115	372	95	NODE_14_length_64496_cov_421.422903	36923	35466
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	30.480	1.44e-56	199	95	NODE_14_length_64496_cov_421.422903	45614	44184
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	42.952	0.0	646	99	NODE_1_length_232346_cov_490.841718	29767	27131
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	47.794	3.58e-79	260	78	NODE_14_length_64496_cov_421.422903	22930	23733
