id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.125	6.19e-22	90.9	99	CP022713.1 Blautia coccoides strain YL58 genome	1635478	1634921
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.699	3.70e-50	177	80	CP022713.1 Blautia coccoides strain YL58 genome	590510	591361
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.699	3.70e-50	177	80	CP022713.1 Blautia coccoides strain YL58 genome	590510	591361
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	30.128	7.85e-25	102	94	CP022713.1 Blautia coccoides strain YL58 genome	2799815	2798910
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	30.421	3.85e-26	107	85	CP022713.1 Blautia coccoides strain YL58 genome	2800873	2799980
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	44.511	1.89e-133	424	99	CP022713.1 Blautia coccoides strain YL58 genome	2802455	2800974
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	52.356	7.66e-118	375	95	CP022713.1 Blautia coccoides strain YL58 genome	2216893	2215748
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.544	9.53e-19	83.2	88	CP022713.1 Blautia coccoides strain YL58 genome	2006157	2005468
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	21.806	2.8	28.1	81	CP022713.1 Blautia coccoides strain YL58 genome	4630972	4632117
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	21.806	2.8	28.1	81	CP022713.1 Blautia coccoides strain YL58 genome	4630972	4632117
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.929	4.77e-89	303	83	CP022713.1 Blautia coccoides strain YL58 genome	3604889	3603294
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.274	2.07e-48	184	88	CP022713.1 Blautia coccoides strain YL58 genome	3605733	3607964
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	50.000	1.49e-159	509	98	CP022713.1 Blautia coccoides strain YL58 genome	491190	489256
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	50.000	1.49e-159	509	98	CP022713.1 Blautia coccoides strain YL58 genome	491190	489256
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	37.897	4.39e-103	338	97	CP022713.1 Blautia coccoides strain YL58 genome	5047422	5048894
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	22.857	0.72	28.9	78	CP022713.1 Blautia coccoides strain YL58 genome	836014	836682
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	55.172	0.0	583	99	CP022713.1 Blautia coccoides strain YL58 genome	491193	489238
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	55.172	0.0	583	99	CP022713.1 Blautia coccoides strain YL58 genome	491193	489238
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	28.008	1.64e-37	144	99	CP022713.1 Blautia coccoides strain YL58 genome	78640	80022
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	50.000	0.0	754	97	CP022713.1 Blautia coccoides strain YL58 genome	3381916	3379484
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	34.082	1.18e-42	155	82	CP022713.1 Blautia coccoides strain YL58 genome	4362810	4363577
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	34.082	1.18e-42	155	82	CP022713.1 Blautia coccoides strain YL58 genome	4362810	4363577
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	34.082	1.18e-42	155	82	CP022713.1 Blautia coccoides strain YL58 genome	4362810	4363577
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	26.638	4.12e-09	53.5	88	CP022713.1 Blautia coccoides strain YL58 genome	2006118	2005444
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	68.285	0.0	763	97	CP022713.1 Blautia coccoides strain YL58 genome	491214	489238
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	68.285	0.0	763	97	CP022713.1 Blautia coccoides strain YL58 genome	491214	489238
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	36.585	6.16e-79	266	97	CP022713.1 Blautia coccoides strain YL58 genome	4723069	4724517
