id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	26.650	3.86e-23	100	89	NODE_31_length_46048_cov_142.460769	35952	34879
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	26.020	5.71e-23	94.0	90	NODE_3_length_314157_cov_152.255394	138931	139512
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.261	8.32e-15	73.2	81	NODE_3_length_314157_cov_152.255394	138054	138869
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	36.842	1.99e-59	209	79	NODE_12_length_127932_cov_157.128278	39452	40603
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	36.842	1.99e-59	209	79	NODE_12_length_127932_cov_157.128278	39452	40603
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.288	2.26e-46	166	79	NODE_1_length_872677_cov_143.185629	271819	272652
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.288	2.26e-46	166	79	NODE_1_length_872677_cov_143.185629	271819	272652
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	35.401	9.21e-68	230	97	NODE_31_length_46048_cov_142.460769	36027	34879
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	35.401	9.21e-68	230	97	NODE_31_length_46048_cov_142.460769	36027	34879
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	35.204	1.17e-60	210	92	NODE_31_length_46048_cov_142.460769	36027	34888
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	35.204	1.17e-60	210	92	NODE_31_length_46048_cov_142.460769	36027	34888
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	21.771	4.04e-11	63.2	93	NODE_17_length_93144_cov_150.559081	66305	67810
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.714	2.35e-20	93.2	77	NODE_27_length_56706_cov_149.007258	33120	34376
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.714	2.35e-20	93.2	77	NODE_27_length_56706_cov_149.007258	33120	34376
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	26.957	3.25e-31	126	84	NODE_9_length_162064_cov_150.740109	83537	82209
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.872	1.91e-77	268	82	NODE_22_length_77978_cov_145.554332	4250	2613
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.094	5.28e-57	210	94	NODE_1_length_872677_cov_143.185629	727617	729863
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	29.707	4.74e-49	179	89	NODE_9_length_162064_cov_150.740109	83621	82224
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	83.106	0.0	984	100	NODE_19_length_86415_cov_149.742315	13295	15496
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	83.106	0.0	984	100	NODE_19_length_86415_cov_149.742315	13295	15496
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.892	5.08e-08	53.5	82	NODE_1_length_872677_cov_143.185629	187698	189110
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	41.935	2.26e-66	222	93	NODE_8_length_170344_cov_149.603487	118143	118973
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	35.088	3.72e-47	167	94	NODE_8_length_170344_cov_149.603487	118146	118979
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	40.141	1.56e-65	219	95	NODE_8_length_170344_cov_149.603487	118143	118988
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	35.316	5.84e-47	166	94	NODE_8_length_170344_cov_149.603487	118146	118949
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	59.781	0.0	700	99	NODE_19_length_86415_cov_149.742315	13322	15493
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	59.781	0.0	700	99	NODE_19_length_86415_cov_149.742315	13322	15493
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	26.638	4.70e-33	131	97	NODE_16_length_96271_cov_149.783115	44395	45789
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	24.528	1.42e-18	88.6	75	NODE_3_length_314157_cov_152.255394	60978	59371
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	23.505	6.97e-11	62.8	92	NODE_12_length_127932_cov_157.128278	39272	40603
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	31.694	4.01e-101	344	97	NODE_28_length_53938_cov_147.101298	12631	9977
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	47.826	6.53e-81	266	79	NODE_31_length_46048_cov_142.460769	43751	42936
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	47.826	6.53e-81	266	79	NODE_31_length_46048_cov_142.460769	43751	42936
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	47.826	6.53e-81	266	79	NODE_31_length_46048_cov_142.460769	43751	42936
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	32.377	3.49e-68	235	96	NODE_9_length_162064_cov_150.740109	83558	82188
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	27.463	1.23e-46	172	89	NODE_9_length_162064_cov_150.740109	83549	82209
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	33.465	1.18e-78	266	94	NODE_9_length_162064_cov_150.740109	83630	82212
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	27.105	2.44e-37	145	82	NODE_9_length_162064_cov_150.740109	83576	82182
apa39363.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|apa39363.1|2.a.1.9.13	22.687	5.06e-06	47.0	86	NODE_12_length_127932_cov_157.128278	39407	40603
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	49.448	1.73e-163	518	95	NODE_19_length_86415_cov_149.742315	13313	15475
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	49.448	1.73e-163	518	95	NODE_19_length_86415_cov_149.742315	13313	15475
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	32.573	7.71e-64	222	96	NODE_4_length_286583_cov_153.537479	262121	263554
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	32.573	7.71e-64	222	96	NODE_4_length_286583_cov_153.537479	262121	263554
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	29.718	1.05e-97	338	83	NODE_28_length_53938_cov_147.101298	12628	9977
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	29.718	1.05e-97	338	83	NODE_28_length_53938_cov_147.101298	12628	9977
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.910	4.98e-65	235	75	NODE_22_length_77978_cov_145.554332	4340	2532
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	41.086	1.49e-110	365	99	NODE_19_length_86415_cov_149.742315	13385	15496
b1xkd9	2.a.27	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b1xkd9|2.a.27.2.1	26.812	4.37e-23	100	85	NODE_1_length_872677_cov_143.185629	293048	291915
b1xkd9	2.a.27	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b1xkd9|2.a.27.2.1	26.812	4.37e-23	100	85	NODE_1_length_872677_cov_143.185629	293048	291915
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	47.767	2.40e-160	510	99	NODE_19_length_86415_cov_149.742315	13304	15475
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	47.767	2.40e-160	510	99	NODE_19_length_86415_cov_149.742315	13304	15475
b3ee21	2.a.37	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b3ee21|2.a.37.2.5	53.032	0.0	652	97	NODE_1_length_872677_cov_143.185629	196841	194760
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	47.095	4.57e-96	309	98	NODE_8_length_170344_cov_149.603487	75877	76854
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	28.270	1.44e-53	200	81	NODE_28_length_53938_cov_147.101298	12394	10376
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	26.205	1.05e-14	74.7	95	NODE_16_length_96271_cov_149.783115	44428	45780
b5jqt8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	63.488	0.0	670	100	NODE_19_length_86415_cov_149.742315	13295	15496
b5jqt8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	63.488	0.0	670	100	NODE_19_length_86415_cov_149.742315	13295	15496
b6yqj7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b6yqj7|3.a.10.3.4	29.084	3.13e-48	183	86	NODE_19_length_86415_cov_149.742315	13343	15451
