id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.000	6.70e-27	103	95	NODE_12_length_60031_cov_361.790873	56952	57533
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.908	6.22e-46	164	81	NODE_11_length_65190_cov_271.873005	46073	46921
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.908	6.22e-46	164	81	NODE_11_length_65190_cov_271.873005	46073	46921
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.308	8.29e-20	89.7	92	NODE_2_length_123987_cov_440.348906	80683	79199
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.455	1.36e-18	81.3	88	NODE_18_length_37984_cov_311.438204	7873	7184
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.000	3.71e-81	278	83	NODE_3_length_104322_cov_390.108744	38619	37084
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	24.474	7.21e-24	102	89	NODE_2_length_123987_cov_440.348906	80695	79211
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	26.096	1.20e-41	155	98	NODE_6_length_94667_cov_329.286806	44502	43048
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	47.996	0.0	776	99	NODE_4_length_102458_cov_306.050166	49224	51863
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	33.824	1.60e-41	151	78	NODE_20_length_35308_cov_223.916494	15617	14802
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	33.824	1.60e-41	151	78	NODE_20_length_35308_cov_223.916494	15617	14802
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	33.824	1.60e-41	151	78	NODE_20_length_35308_cov_223.916494	15617	14802
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.359	1.43e-08	50.8	91	NODE_18_length_37984_cov_311.438204	7840	7151
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	21.357	3.63e-11	62.0	81	NODE_3_length_104322_cov_390.108744	30683	29607
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	22.963	2.41e-10	59.3	78	NODE_3_length_104322_cov_390.108744	30689	29607
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	32.450	3.72e-64	222	93	NODE_4_length_102458_cov_306.050166	68553	67216
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	32.450	3.72e-64	222	93	NODE_4_length_102458_cov_306.050166	68553	67216
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.603	5.26e-154	504	87	NODE_4_length_102458_cov_306.050166	49161	51866
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.603	5.26e-154	504	87	NODE_4_length_102458_cov_306.050166	49161	51866
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	47.633	1.89e-94	303	99	NODE_28_length_23576_cov_397.499000	14631	13627
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	32.000	6.96e-88	302	82	NODE_4_length_102458_cov_306.050166	49464	51452
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	24.094	1.59e-10	59.7	92	NODE_20_length_35308_cov_223.916494	25836	24520
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	26.364	2.12e-25	102	99	NODE_4_length_102458_cov_306.050166	433	1401
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	38.798	5.46e-31	115	84	NODE_25_length_28175_cov_316.365613	9948	10487
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	38.798	5.46e-31	115	84	NODE_25_length_28175_cov_316.365613	9948	10487
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	26.253	7.49e-18	83.2	86	NODE_6_length_94667_cov_329.286806	35165	33942
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	26.253	7.49e-18	83.2	86	NODE_6_length_94667_cov_329.286806	35165	33942
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	26.253	7.49e-18	83.2	86	NODE_6_length_94667_cov_329.286806	35165	33942
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	26.253	7.49e-18	83.2	86	NODE_6_length_94667_cov_329.286806	35165	33942
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	50.000	8.98e-43	146	94	NODE_4_length_102458_cov_306.050166	13543	13962
c4b4v9	2.a.1	l-arabinose		rxn05500,rxn08140,rxn08141	gnl|tc-db|c4b4v9|2.a.1.1.116	23.326	2.34e-16	78.6	95	NODE_3_length_104322_cov_390.108744	30788	29475
c4zzu4	2.a.1	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	23.934	2.31e-23	100	93	NODE_26_length_27392_cov_412.122204	24135	22993
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	33.191	1.81e-33	124	93	NODE_4_length_102458_cov_306.050166	72336	71644
c8u8g2	2.a.3	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|c8u8g2|2.a.3.7.3	35.484	3.42e-68	234	91	NODE_32_length_17263_cov_375.445944	11045	12436
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	29.114	8.94e-12	60.8	89	NODE_4_length_102458_cov_306.050166	1490	2188
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	32.143	1.64e-17	74.3	98	NODE_4_length_102458_cov_306.050166	421	834
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	36.437	2.00e-41	147	98	NODE_4_length_102458_cov_306.050166	72336	71620
d1akk0	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|d1akk0|2.a.40.5.3	25.059	1.09e-11	63.2	96	NODE_6_length_94667_cov_329.286806	38627	39850
