id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.045	2.31e-24	97.4	99	NODE_215_length_6277_cov_23.635122	2537	1893
a0q2f5	2.a.25	alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|a0q2f5|2.a.25.1.8	34.490	2.75e-46	169	99	NODE_310_length_4320_cov_33.427856	367	1692
a0q2f5	2.a.25	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0q2f5|2.a.25.1.8	34.490	2.75e-46	169	99	NODE_310_length_4320_cov_33.427856	367	1692
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.408	1.96e-46	166	80	NODE_54_length_16046_cov_27.439600	15118	14279
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.408	1.96e-46	166	80	NODE_54_length_16046_cov_27.439600	15118	14279
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	43.425	2.88e-60	205	99	NODE_334_length_3814_cov_38.539192	1003	68
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	37.954	1.09e-41	153	83	NODE_334_length_3814_cov_38.539192	2001	1108
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.664	0.0	569	99	NODE_334_length_3814_cov_38.539192	3622	2087
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	30.000	2.64e-06	43.9	79	NODE_491_length_1961_cov_15.892039	1457	1888
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.004	2.16e-12	63.9	89	NODE_109_length_10666_cov_21.455736	2874	2176
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	25.328	4.86e-20	91.7	84	NODE_23_length_24354_cov_31.393322	3378	4724
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	25.328	4.86e-20	91.7	84	NODE_23_length_24354_cov_31.393322	3378	4724
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	23.649	1.26e-05	44.3	81	NODE_117_length_10229_cov_30.230449	7201	8037
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	31.217	1.42e-88	300	82	NODE_298_length_4565_cov_21.976566	424	2025
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.789	6.23e-53	197	88	NODE_251_length_5553_cov_25.611500	4848	2620
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	30.100	2.89e-18	83.6	83	NODE_128_length_9794_cov_27.434261	1771	917
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	45.946	8.47e-135	429	99	NODE_128_length_9794_cov_27.434261	4256	2739
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	27.342	3.13e-44	164	84	NODE_127_length_9797_cov_38.851810	5889	4729
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	24.524	9.15e-19	87.0	94	NODE_41_length_18651_cov_29.541298	3111	1732
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	45.861	0.0	711	99	NODE_132_length_9449_cov_18.370950	4165	6765
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	31.773	1.97e-41	152	84	NODE_14_length_29184_cov_28.883780	5083	4214
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	31.773	1.97e-41	152	84	NODE_14_length_29184_cov_28.883780	5083	4214
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	31.773	1.97e-41	152	84	NODE_14_length_29184_cov_28.883780	5083	4214
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.352	1.23e-12	63.5	86	NODE_109_length_10666_cov_21.455736	2715	2176
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	27.154	7.93e-38	147	93	NODE_107_length_10776_cov_21.724575	1206	2699
atn93525.1	2.a.19	calcium		rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|tc-db|atn93525.1|2.a.19.4.15	22.606	1.91e-04	40.0	98	NODE_557_length_1349_cov_20.227496	309	1247
atn93525.1	2.a.19	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|atn93525.1|2.a.19.4.15	22.606	1.91e-04	40.0	98	NODE_557_length_1349_cov_20.227496	309	1247
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	36.059	2.54e-85	284	98	NODE_25_length_23069_cov_24.459463	16571	17989
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	36.059	2.54e-85	284	98	NODE_25_length_23069_cov_24.459463	16571	17989
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.547	3.42e-142	469	85	NODE_132_length_9449_cov_18.370950	4153	6765
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.547	3.42e-142	469	85	NODE_132_length_9449_cov_18.370950	4153	6765
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	30.291	5.40e-88	303	88	NODE_251_length_5553_cov_25.611500	4833	2599
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	30.392	2.40e-37	144	82	NODE_128_length_9794_cov_27.434261	8573	9655
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	26.638	7.87e-19	83.2	85	NODE_97_length_11262_cov_40.748361	119	694
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	53.274	2.75e-109	347	99	NODE_216_length_6213_cov_44.422281	4871	3885
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	32.319	7.64e-95	323	82	NODE_132_length_9449_cov_18.370950	4393	6348
