id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.090	1.26e-15	71.2	82	NODE_1_length_400106_cov_444.264081	79872	80405
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.948	1.73e-43	157	82	NODE_3_length_262420_cov_459.859973	128056	127151
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.948	1.73e-43	157	82	NODE_3_length_262420_cov_459.859973	128056	127151
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	21.825	9.56e-16	77.0	94	NODE_3_length_262420_cov_459.859973	7456	5927
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.103	8.01e-73	253	82	NODE_1_length_400106_cov_444.264081	105320	106984
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.770	2.81e-47	179	87	NODE_3_length_262420_cov_459.859973	52876	50726
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.857	3.24e-08	52.8	82	NODE_3_length_262420_cov_459.859973	7435	6050
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	46.468	0.0	700	99	NODE_1_length_400106_cov_444.264081	388046	390691
atn93525.1	2.a.19	calcium		rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|tc-db|atn93525.1|2.a.19.4.15	24.839	8.37e-05	40.8	79	NODE_7_length_114401_cov_452.492285	110102	110953
atn93525.1	2.a.19	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|atn93525.1|2.a.19.4.15	24.839	8.37e-05	40.8	79	NODE_7_length_114401_cov_452.492285	110102	110953
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.333	3.05e-130	434	79	NODE_1_length_400106_cov_444.264081	388052	390529
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.333	3.05e-130	434	79	NODE_1_length_400106_cov_444.264081	388052	390529
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	25.000	3.89e-15	71.6	79	NODE_4_length_245957_cov_455.858618	182140	182838
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	46.328	1.52e-93	300	98	NODE_9_length_69915_cov_456.240528	1209	160
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	30.574	1.32e-78	274	85	NODE_1_length_400106_cov_444.264081	388169	390286
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	33.152	1.08e-21	89.4	95	NODE_1_length_400106_cov_444.264081	214712	215242
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	33.152	1.08e-21	89.4	95	NODE_1_length_400106_cov_444.264081	214712	215242
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	22.353	0.72	25.0	80	NODE_3_length_262420_cov_459.859973	11603	11836
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	35.338	1.41e-87	300	81	NODE_3_length_262420_cov_459.859973	52627	50690
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	25.735	1.87e-14	70.1	86	NODE_3_length_262420_cov_459.859973	41101	40286
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	23.000	4.08e-15	72.8	87	NODE_3_length_262420_cov_459.859973	206766	205876
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	35.073	1.89e-79	271	86	NODE_2_length_399085_cov_448.486211	267680	266265
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	35.073	1.89e-79	271	86	NODE_2_length_399085_cov_448.486211	267680	266265
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	35.747	1.08e-30	116	85	NODE_6_length_149507_cov_461.764699	105004	105642
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	33.186	7.69e-22	90.1	87	NODE_6_length_149507_cov_461.764699	105109	105771
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	35.088	2.14e-36	134	83	NODE_6_length_149507_cov_461.764699	106710	107393
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	38.043	2.21e-42	151	95	NODE_6_length_149507_cov_461.764699	105869	106690
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	32.051	9.65e-27	104	100	NODE_1_length_400106_cov_444.264081	304995	305666
g8rd42	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8rd42|2.a.38.4.6	37.383	6.73e-45	164	93	NODE_1_length_400106_cov_444.264081	73083	71827
