id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.469	1.15e-25	100	96	scaffold00101	2158	1544
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	20.767	1.55e-11	62.4	83	scaffold00039	25142	26050
a0q2f5	2.a.25	alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|a0q2f5|2.a.25.1.8	21.785	0.099	32.0	81	scaffold00011	24267	23185
a0q2f5	2.a.25	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0q2f5|2.a.25.1.8	21.785	0.099	32.0	81	scaffold00011	24267	23185
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.075	6.59e-48	170	79	scaffold00006	54489	53623
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.075	6.59e-48	170	79	scaffold00006	54489	53623
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	41.633	1.29e-116	375	97	scaffold00070	8642	7158
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	35.013	1.31e-51	183	96	scaffold00003	46635	47780
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	32.418	1.38e-11	59.3	95	scaffold00029	724	209
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.033	7.38e-15	70.9	88	scaffold00029	11737	11048
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	36.420	5.67e-56	194	92	scaffold00006	57703	56768
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.007	6.66e-84	287	79	scaffold00007	82898	81315
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.183	4.67e-50	188	88	scaffold00001	115146	117383
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	47.376	1.02e-149	480	98	scaffold00011	2718	775
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	47.376	1.02e-149	480	98	scaffold00011	2718	775
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	43.200	1.11e-128	411	95	scaffold00014	45889	47355
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	51.585	8.22e-180	566	99	scaffold00011	2715	766
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	51.585	8.22e-180	566	99	scaffold00011	2715	766
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	22.937	2.90e-19	90.1	76	scaffold00034	26286	27902
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	44.205	0.0	632	93	scaffold00064	3625	1190
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	31.331	5.84e-63	222	93	scaffold00001	130765	132585
