id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	28.218	4.41e-24	102	92	NODE_2_length_176593_cov_267.754974	37297	38475
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	32.474	6.70e-25	99.0	94	NODE_6_length_120413_cov_342.292431	41223	41795
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	22.039	1.95e-10	59.3	82	NODE_31_length_39044_cov_226.220700	27699	28592
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	38.129	8.88e-35	130	91	NODE_27_length_44805_cov_276.236541	25102	24272
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	38.129	8.88e-35	130	91	NODE_27_length_44805_cov_276.236541	25102	24272
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	38.129	8.88e-35	130	91	NODE_27_length_44805_cov_276.236541	25102	24272
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	52.995	3.91e-113	365	87	NODE_11_length_89944_cov_359.620361	86869	88164
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	52.995	3.91e-113	365	87	NODE_11_length_89944_cov_359.620361	86869	88164
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.110	2.59e-42	154	85	NODE_6_length_120413_cov_342.292431	86842	87774
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.110	2.59e-42	154	85	NODE_6_length_120413_cov_342.292431	86842	87774
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	28.199	3.77e-39	146	98	NODE_2_length_176593_cov_267.754974	37258	38502
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	28.199	3.77e-39	146	98	NODE_2_length_176593_cov_267.754974	37258	38502
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	32.458	2.40e-48	174	94	NODE_2_length_176593_cov_267.754974	37258	38502
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	32.458	2.40e-48	174	94	NODE_2_length_176593_cov_267.754974	37258	38502
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	38.264	2.67e-36	135	96	NODE_27_length_44805_cov_276.236541	5034	5924
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	48.687	6.47e-139	439	97	NODE_27_length_44805_cov_276.236541	1741	3213
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	29.787	3.36e-28	116	76	NODE_11_length_89944_cov_359.620361	86959	88170
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	40.125	1.49e-66	224	91	NODE_6_length_120413_cov_342.292431	83742	84674
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	37.102	4.45e-85	290	83	NODE_16_length_69016_cov_295.101873	29655	31262
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	28.097	2.94e-39	149	88	NODE_26_length_46087_cov_240.643143	2968	1646
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	35.464	8.79e-83	278	91	NODE_27_length_44805_cov_276.236541	1741	3162
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	28.188	2.01e-32	130	92	NODE_11_length_89944_cov_359.620361	60545	61864
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	24.554	1.54e-20	92.4	92	NODE_24_length_50643_cov_361.162026	9939	11267
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	22.835	6.61e-06	45.8	94	NODE_26_length_46087_cov_240.643143	2968	1634
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	38.617	5.65e-174	556	98	NODE_21_length_55801_cov_369.432022	33793	31022
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	36.301	3.32e-43	157	82	NODE_6_length_120413_cov_342.292431	86821	87642
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	36.301	3.32e-43	157	82	NODE_6_length_120413_cov_342.292431	86821	87642
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	36.301	3.32e-43	157	82	NODE_6_length_120413_cov_342.292431	86821	87642
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	31.416	5.12e-57	202	91	NODE_26_length_46087_cov_240.643143	2935	1655
ahl29283.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|ahl29283.1|2.a.1.9.12	23.035	1.75e-10	60.8	95	NODE_26_length_46087_cov_240.643143	3022	1622
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	27.816	9.28e-48	175	84	NODE_11_length_89944_cov_359.620361	86917	88170
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	28.947	7.39e-61	214	95	NODE_26_length_46087_cov_240.643143	3052	1643
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	26.782	4.15e-25	107	81	NODE_26_length_46087_cov_240.643143	2974	1655
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	24.624	1.50e-12	67.8	90	NODE_9_length_102699_cov_292.273626	24017	22563
