id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	25.547	6.68e-22	95.5	92	NODE_6_length_183845_cov_51.570309	130676	131869
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.592	3.32e-25	99.4	99	NODE_4_length_185936_cov_50.909655	82618	83199
658118072	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118072|3.a.1.15.16	26.407	3.06e-08	51.2	84	NODE_4_length_185936_cov_50.909655	137610	138302
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.860	8.77e-53	184	81	NODE_12_length_115749_cov_54.926130	91850	91008
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.860	8.77e-53	184	81	NODE_12_length_115749_cov_54.926130	91850	91008
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	28.261	5.26e-45	163	97	NODE_6_length_183845_cov_51.570309	130637	131866
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	28.261	5.26e-45	163	97	NODE_6_length_183845_cov_51.570309	130637	131866
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	29.512	1.78e-48	174	92	NODE_6_length_183845_cov_51.570309	130637	131857
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	29.512	1.78e-48	174	92	NODE_6_length_183845_cov_51.570309	130637	131857
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	34.538	8.98e-90	297	98	NODE_11_length_119351_cov_106.906260	85070	86542
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.316	4.55e-20	91.3	78	NODE_4_length_185936_cov_50.909655	33087	34328
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.316	4.55e-20	91.3	78	NODE_4_length_185936_cov_50.909655	33087	34328
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	77.391	0.0	581	99	NODE_17_length_45278_cov_47.242475	29902	30936
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	31.725	1.08e-52	194	77	NODE_9_length_120709_cov_54.057032	51360	52874
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.557	8.20e-47	178	87	NODE_9_length_120709_cov_54.057032	50820	52931
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	62.025	6.77e-125	392	88	NODE_15_length_61403_cov_54.035919	21849	20905
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	55.110	1.47e-177	551	95	NODE_15_length_61403_cov_54.035919	20850	19354
a6x7e7	2.a.1	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|a6x7e7|2.a.1.81.5	26.301	1.93e-19	87.4	90	NODE_14_length_72973_cov_55.098441	6850	5765
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	64.410	0.0	595	97	NODE_3_length_200061_cov_48.213100	127357	128730
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	22.056	2.24e-05	43.5	92	NODE_7_length_147756_cov_54.571087	89145	87811
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	34.351	2.44e-44	159	75	NODE_12_length_115749_cov_54.926130	91796	91071
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	34.351	2.44e-44	159	75	NODE_12_length_115749_cov_54.926130	91796	91071
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	34.351	2.44e-44	159	75	NODE_12_length_115749_cov_54.926130	91796	91071
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	30.590	4.91e-49	180	93	NODE_7_length_147756_cov_54.571087	56984	55467
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	29.759	2.75e-80	280	87	NODE_9_length_120709_cov_54.057032	50817	52952
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	46.246	6.78e-95	305	98	NODE_6_length_183845_cov_51.570309	176195	175200
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	19.422	1.02e-05	45.8	76	NODE_9_length_120709_cov_54.057032	51342	52847
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	27.765	1.28e-23	101	85	NODE_3_length_200061_cov_48.213100	127453	128670
b7gu58	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b7gu58|2.a.28.2.6	41.693	9.99e-64	216	90	NODE_1_length_218849_cov_53.598509	188523	187594
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	34.673	6.27e-27	104	92	NODE_12_length_115749_cov_54.926130	91844	91260
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	34.673	6.27e-27	104	92	NODE_12_length_115749_cov_54.926130	91844	91260
b8f5k7	4.d.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|b8f5k7|4.d.1.3.2	78.088	9.40e-137	421	99	NODE_15_length_61403_cov_54.035919	3189	2437
b9tsn0	2.a.56	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|b9tsn0|2.a.56.1.6	34.043	1.84e-16	72.8	81	NODE_6_length_183845_cov_51.570309	147106	146687
b9tsn0	2.a.56	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|b9tsn0|2.a.56.1.6	34.043	1.84e-16	72.8	81	NODE_6_length_183845_cov_51.570309	147106	146687
b9tsn0	2.a.56	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|b9tsn0|2.a.56.1.6	34.043	1.84e-16	72.8	81	NODE_6_length_183845_cov_51.570309	147106	146687
b9tsn0	2.a.56	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|b9tsn0|2.a.56.1.6	34.043	1.84e-16	72.8	81	NODE_6_length_183845_cov_51.570309	147106	146687
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	40.650	3.47e-29	108	86	NODE_2_length_208746_cov_53.599615	75611	75979
c4st46	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|c4st46|2.a.28.2.9	41.776	1.81e-67	225	98	NODE_1_length_218849_cov_53.598509	188493	187594
c4zzu4	2.a.1	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	24.215	8.40e-11	60.8	96	NODE_15_length_61403_cov_54.035919	16809	15538
c6cww0	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|c6cww0|2.a.28.2.5	25.461	1.29e-06	46.2	88	NODE_1_length_218849_cov_53.598509	188454	187663
