id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	27.723	2.28e-28	115	92	PUEC01000003.1 Duncaniella muris strain DSM 103720 seq3, whole genome shotgun sequence	119675	118479
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.205	4.20e-17	76.3	87	PUEC01000032.1 Duncaniella muris strain DSM 103720 seq32, whole genome shotgun sequence	19281	18700
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	36.469	1.26e-84	286	99	PUEC01000021.1 Duncaniella muris strain DSM 103720 seq21, whole genome shotgun sequence	42814	41084
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	36.469	1.26e-84	286	99	PUEC01000021.1 Duncaniella muris strain DSM 103720 seq21, whole genome shotgun sequence	42814	41084
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	34.029	2.95e-46	170	87	PUEC01000022.1 Duncaniella muris strain DSM 103720 seq22, whole genome shotgun sequence	9064	7697
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	34.029	2.95e-46	170	87	PUEC01000022.1 Duncaniella muris strain DSM 103720 seq22, whole genome shotgun sequence	9064	7697
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	26.699	1.68e-40	150	99	PUEC01000003.1 Duncaniella muris strain DSM 103720 seq3, whole genome shotgun sequence	119714	118479
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	26.699	1.68e-40	150	99	PUEC01000003.1 Duncaniella muris strain DSM 103720 seq3, whole genome shotgun sequence	119714	118479
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	28.103	4.12e-41	152	94	PUEC01000003.1 Duncaniella muris strain DSM 103720 seq3, whole genome shotgun sequence	119714	118461
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	28.103	4.12e-41	152	94	PUEC01000003.1 Duncaniella muris strain DSM 103720 seq3, whole genome shotgun sequence	119714	118461
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.713	3.05e-15	75.9	91	PUEC01000010.1 Duncaniella muris strain DSM 103720 seq10, whole genome shotgun sequence	37450	35966
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	22.749	6.74e-12	65.9	78	PUEC01000040.1 Duncaniella muris strain DSM 103720 seq40, whole genome shotgun sequence	16720	18558
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	27.514	7.55e-36	139	91	PUEC01000022.1 Duncaniella muris strain DSM 103720 seq22, whole genome shotgun sequence	9139	7667
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	24.153	2.56e-10	60.1	83	PUEC01000015.1 Duncaniella muris strain DSM 103720 seq15, whole genome shotgun sequence	84884	83598
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	22.727	6.98e-22	96.7	97	PUEC01000008.1 Duncaniella muris strain DSM 103720 seq8, whole genome shotgun sequence	62160	60733
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	27.489	4.60e-40	151	89	PUEC01000021.1 Duncaniella muris strain DSM 103720 seq21, whole genome shotgun sequence	42748	41402
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	21.797	4.81e-27	115	77	PUEC01000005.1 Duncaniella muris strain DSM 103720 seq5, whole genome shotgun sequence	107407	109065
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	32.721	4.33e-109	367	89	PUEC01000040.1 Duncaniella muris strain DSM 103720 seq40, whole genome shotgun sequence	16768	19122
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	27.925	3.88e-20	89.0	75	PUEC01000007.1 Duncaniella muris strain DSM 103720 seq7, whole genome shotgun sequence	14666	13932
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	27.925	3.88e-20	89.0	75	PUEC01000007.1 Duncaniella muris strain DSM 103720 seq7, whole genome shotgun sequence	14666	13932
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	27.925	3.88e-20	89.0	75	PUEC01000007.1 Duncaniella muris strain DSM 103720 seq7, whole genome shotgun sequence	14666	13932
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	28.571	7.32e-43	160	93	PUEC01000022.1 Duncaniella muris strain DSM 103720 seq22, whole genome shotgun sequence	9076	7679
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	26.078	3.77e-36	140	90	PUEC01000022.1 Duncaniella muris strain DSM 103720 seq22, whole genome shotgun sequence	9076	7676
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	29.446	5.93e-47	172	93	PUEC01000022.1 Duncaniella muris strain DSM 103720 seq22, whole genome shotgun sequence	9115	7670
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	30.898	4.78e-58	204	97	PUEC01000002.1 Duncaniella muris strain DSM 103720 seq2, whole genome shotgun sequence	188517	187096
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	30.898	4.78e-58	204	97	PUEC01000002.1 Duncaniella muris strain DSM 103720 seq2, whole genome shotgun sequence	188517	187096
