id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	26.077	1.28e-17	82.0	93	NODE_22_length_38133_cov_85.167096	4498	3275
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.630	3.04e-26	102	93	NODE_4_length_109918_cov_78.720860	65638	66192
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	26.552	2.25e-16	76.3	91	NODE_34_length_11696_cov_75.804638	892	53
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	32.482	7.01e-29	112	91	NODE_1_length_290964_cov_76.200727	262388	263203
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	32.482	7.01e-29	112	91	NODE_1_length_290964_cov_76.200727	262388	263203
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	32.482	7.01e-29	112	91	NODE_1_length_290964_cov_76.200727	262388	263203
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	31.991	1.22e-46	171	88	NODE_15_length_58639_cov_90.513166	30067	28814
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	31.991	1.22e-46	171	88	NODE_15_length_58639_cov_90.513166	30067	28814
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.505	1.50e-46	166	86	NODE_42_length_7685_cov_70.052313	3748	4653
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.505	1.50e-46	166	86	NODE_42_length_7685_cov_70.052313	3748	4653
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	29.412	2.02e-41	152	95	NODE_22_length_38133_cov_85.167096	4528	3314
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	29.412	2.02e-41	152	95	NODE_22_length_38133_cov_85.167096	4528	3314
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	28.467	1.03e-41	154	91	NODE_22_length_38133_cov_85.167096	4537	3314
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	28.467	1.03e-41	154	91	NODE_22_length_38133_cov_85.167096	4537	3314
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	25.962	8.54e-32	127	95	NODE_6_length_90428_cov_79.169760	38653	37163
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.461	3.33e-18	80.5	90	NODE_1_length_290964_cov_76.200727	187785	187072
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	22.951	0.001	37.7	78	NODE_1_length_290964_cov_76.200727	208845	207583
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	22.951	0.001	37.7	78	NODE_1_length_290964_cov_76.200727	208845	207583
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	21.826	7.64e-04	38.5	81	NODE_8_length_82120_cov_85.892934	40229	39084
