id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	27.139	1.18e-20	92.0	92	gnl|DSMZ|unitig_0|quiver_consensus	3520376	3519189
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.281	3.49e-15	70.9	100	gnl|DSMZ|unitig_0|quiver_consensus	1976617	1977144
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	35.506	9.38e-80	272	97	gnl|DSMZ|unitig_0|quiver_consensus	549225	547552
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	35.506	9.38e-80	272	97	gnl|DSMZ|unitig_0|quiver_consensus	549225	547552
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	31.970	9.75e-29	113	90	gnl|DSMZ|unitig_0|quiver_consensus	2016098	2016889
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	31.970	9.75e-29	113	90	gnl|DSMZ|unitig_0|quiver_consensus	2016098	2016889
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	31.970	9.75e-29	113	90	gnl|DSMZ|unitig_0|quiver_consensus	2016098	2016889
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	35.491	3.52e-52	188	88	gnl|DSMZ|unitig_0|quiver_consensus	2360896	2359532
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	35.491	3.52e-52	188	88	gnl|DSMZ|unitig_0|quiver_consensus	2360896	2359532
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	23.311	7.33e-08	51.2	76	gnl|DSMZ|unitig_0|quiver_consensus	877342	876497
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	23.311	7.33e-08	51.2	76	gnl|DSMZ|unitig_0|quiver_consensus	877342	876497
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	30.456	2.14e-43	159	100	gnl|DSMZ|unitig_0|quiver_consensus	3520415	3519189
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	30.456	2.14e-43	159	100	gnl|DSMZ|unitig_0|quiver_consensus	3520415	3519189
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	29.017	1.46e-34	133	93	gnl|DSMZ|unitig_0|quiver_consensus	3520415	3519180
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	29.017	1.46e-34	133	93	gnl|DSMZ|unitig_0|quiver_consensus	3520415	3519180
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	24.721	4.11e-25	107	97	gnl|DSMZ|unitig_0|quiver_consensus	1975696	1977234
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	25.336	1.49e-19	90.1	77	gnl|DSMZ|unitig_0|quiver_consensus	358395	359603
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.753	2.56e-08	53.9	93	gnl|DSMZ|unitig_0|quiver_consensus	2360956	2359529
