id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	32.500	4.03e-20	84.3	99	NODE_10_length_85401_cov_76.079063	75011	74430
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	21.629	3.16e-10	57.8	83	NODE_12_length_75357_cov_78.818544	1692	691
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	21.629	3.16e-10	57.8	83	NODE_12_length_75357_cov_78.818544	1692	691
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	24.000	1.08e-13	70.5	88	NODE_12_length_75357_cov_78.818544	1656	223
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	31.169	1.22e-16	73.6	77	NODE_3_length_162326_cov_100.765145	125648	126094
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.365	7.70e-20	85.1	90	NODE_9_length_100469_cov_95.301468	50711	51421
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.039	3.45e-84	287	81	NODE_6_length_124300_cov_87.332410	29639	28035
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.538	5.88e-50	187	87	NODE_2_length_183458_cov_69.800165	178519	180762
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	54.827	5.23e-152	486	75	NODE_13_length_68766_cov_68.078062	42926	44419
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	54.827	5.23e-152	486	75	NODE_13_length_68766_cov_68.078062	42926	44419
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.518	8.93e-07	48.1	92	NODE_1_length_340643_cov_90.720498	117770	116220
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	53.968	0.0	578	99	NODE_13_length_68766_cov_68.078062	42467	44425
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	53.968	0.0	578	99	NODE_13_length_68766_cov_68.078062	42467	44425
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.533	0.0	766	99	NODE_7_length_121553_cov_79.297038	18984	21572
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	33.227	1.17e-49	175	88	NODE_4_length_150515_cov_106.664187	122878	123789
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	33.227	1.17e-49	175	88	NODE_4_length_150515_cov_106.664187	122878	123789
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	33.227	1.17e-49	175	88	NODE_4_length_150515_cov_106.664187	122878	123789
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	26.222	1.03e-08	51.2	86	NODE_9_length_100469_cov_95.301468	50741	51385
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	68.098	0.0	733	96	NODE_13_length_68766_cov_68.078062	42473	44425
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	68.098	0.0	733	96	NODE_13_length_68766_cov_68.078062	42473	44425
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.520	1.24e-145	479	84	NODE_7_length_121553_cov_79.297038	18993	21569
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.520	1.24e-145	479	84	NODE_7_length_121553_cov_79.297038	18993	21569
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.811	8.37e-81	281	87	NODE_2_length_183458_cov_69.800165	178519	180780
