id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.293	5.15e-20	84.3	89	NODE_19_length_40201_cov_97.019664	39034	38447
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	27.239	4.74e-13	67.0	75	NODE_4_length_76872_cov_83.737558	19755	18997
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	23.810	7.02e-05	40.8	91	NODE_24_length_34115_cov_95.428169	29497	30300
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	23.810	7.02e-05	40.8	91	NODE_24_length_34115_cov_95.428169	29497	30300
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	23.810	7.02e-05	40.8	91	NODE_24_length_34115_cov_95.428169	29497	30300
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.457	3.06e-46	165	83	NODE_23_length_35183_cov_80.686521	26299	27126
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.457	3.06e-46	165	83	NODE_23_length_35183_cov_80.686521	26299	27126
a1rz69	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz69|4.a.6.1.24	29.605	5.88e-38	146	81	NODE_33_length_22567_cov_95.055091	19969	21303
a1rz69	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|a1rz69|4.a.6.1.24	29.605	5.88e-38	146	81	NODE_33_length_22567_cov_95.055091	19969	21303
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	63.754	1.43e-111	352	97	NODE_39_length_19477_cov_87.301186	11022	10096
