id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.500	4.50e-25	98.6	94	NODE_3_length_191326_cov_131.222422	142810	143406
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	31.939	1.43e-31	120	86	NODE_1_length_354803_cov_149.386247	280088	279318
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	31.939	1.43e-31	120	86	NODE_1_length_354803_cov_149.386247	280088	279318
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	31.939	1.43e-31	120	86	NODE_1_length_354803_cov_149.386247	280088	279318
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.000	1.15e-49	175	82	NODE_1_length_354803_cov_149.386247	144638	145495
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.000	1.15e-49	175	82	NODE_1_length_354803_cov_149.386247	144638	145495
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	21.326	6.47e-12	64.3	94	NODE_3_length_191326_cov_131.222422	165731	167278
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	22.902	5.91e-05	42.0	78	NODE_1_length_354803_cov_149.386247	309135	310397
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	22.902	5.91e-05	42.0	78	NODE_1_length_354803_cov_149.386247	309135	310397
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	23.451	7.23e-08	51.6	81	NODE_1_length_354803_cov_149.386247	221151	222296
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	23.451	7.23e-08	51.6	81	NODE_1_length_354803_cov_149.386247	221151	222296
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	38.290	1.27e-92	311	84	NODE_1_length_354803_cov_149.386247	211127	212659
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	21.262	1.23e-06	47.4	80	NODE_1_length_354803_cov_149.386247	88991	87819
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	23.346	1.47e-35	137	98	NODE_1_length_354803_cov_149.386247	52635	51133
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	34.817	2.13e-137	449	95	NODE_1_length_354803_cov_149.386247	152742	150226
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	25.694	1.51e-15	74.3	82	NODE_2_length_221603_cov_166.104421	165984	166736
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	25.694	1.51e-15	74.3	82	NODE_2_length_221603_cov_166.104421	165984	166736
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	25.694	1.51e-15	74.3	82	NODE_2_length_221603_cov_166.104421	165984	166736
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	24.146	2.77e-13	68.9	83	NODE_1_length_354803_cov_149.386247	154276	153179
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	24.700	1.47e-12	66.6	80	NODE_1_length_354803_cov_149.386247	154282	153179
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	33.850	2.07e-63	219	97	NODE_1_length_354803_cov_149.386247	118955	117618
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	33.850	2.07e-63	219	97	NODE_1_length_354803_cov_149.386247	118955	117618
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	25.245	4.59e-30	120	83	NODE_1_length_354803_cov_149.386247	47270	48379
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	48.308	2.46e-87	283	95	NODE_5_length_110706_cov_135.506820	69108	70070
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	21.578	3.21e-09	55.5	88	NODE_2_length_221603_cov_166.104421	182182	180959
