id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	27.865	1.22e-22	98.6	88	SRYB01000007.1 Bacteroidales bacterium strain NM04_E33 NODE_7_length_164301_cov_768.366, whole genome shotgun sequence	99102	98032
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.293	2.26e-16	74.7	94	SRYB01000015.1 Bacteroidales bacterium strain NM04_E33 NODE_15_length_110254_cov_643.381, whole genome shotgun sequence	87266	86679
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	34.864	6.55e-75	258	97	SRYB01000007.1 Bacteroidales bacterium strain NM04_E33 NODE_7_length_164301_cov_768.366, whole genome shotgun sequence	36108	34429
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	34.864	6.55e-75	258	97	SRYB01000007.1 Bacteroidales bacterium strain NM04_E33 NODE_7_length_164301_cov_768.366, whole genome shotgun sequence	36108	34429
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	30.545	2.28e-21	92.0	91	SRYB01000001.1 Bacteroidales bacterium strain NM04_E33 NODE_1_length_301915_cov_818.151, whole genome shotgun sequence	275123	274305
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	30.545	2.28e-21	92.0	91	SRYB01000001.1 Bacteroidales bacterium strain NM04_E33 NODE_1_length_301915_cov_818.151, whole genome shotgun sequence	275123	274305
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	30.545	2.28e-21	92.0	91	SRYB01000001.1 Bacteroidales bacterium strain NM04_E33 NODE_1_length_301915_cov_818.151, whole genome shotgun sequence	275123	274305
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	32.426	2.94e-48	177	79	SRYB01000025.1 Bacteroidales bacterium strain NM04_E33 NODE_25_length_77254_cov_851.393, whole genome shotgun sequence	21974	23131
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	32.426	2.94e-48	177	79	SRYB01000025.1 Bacteroidales bacterium strain NM04_E33 NODE_25_length_77254_cov_851.393, whole genome shotgun sequence	21974	23131
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	27.737	7.23e-22	94.7	77	SRYB01000034.1 Bacteroidales bacterium strain NM04_E33 NODE_34_length_53564_cov_586.211, whole genome shotgun sequence	27342	28100
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	27.737	7.23e-22	94.7	77	SRYB01000034.1 Bacteroidales bacterium strain NM04_E33 NODE_34_length_53564_cov_586.211, whole genome shotgun sequence	27342	28100
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	32.474	4.66e-55	193	97	SRYB01000007.1 Bacteroidales bacterium strain NM04_E33 NODE_7_length_164301_cov_768.366, whole genome shotgun sequence	99174	98023
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	32.474	4.66e-55	193	97	SRYB01000007.1 Bacteroidales bacterium strain NM04_E33 NODE_7_length_164301_cov_768.366, whole genome shotgun sequence	99174	98023
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	31.633	2.39e-51	183	92	SRYB01000007.1 Bacteroidales bacterium strain NM04_E33 NODE_7_length_164301_cov_768.366, whole genome shotgun sequence	99174	98032
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	31.633	2.39e-51	183	92	SRYB01000007.1 Bacteroidales bacterium strain NM04_E33 NODE_7_length_164301_cov_768.366, whole genome shotgun sequence	99174	98032
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	24.593	1.57e-16	80.5	93	SRYB01000035.1 Bacteroidales bacterium strain NM04_E33 NODE_35_length_52027_cov_585.133, whole genome shotgun sequence	36169	34658
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	25.768	8.34e-22	97.4	76	SRYB01000025.1 Bacteroidales bacterium strain NM04_E33 NODE_25_length_77254_cov_851.393, whole genome shotgun sequence	21941	23125
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.542	7.37e-79	273	82	SRYB01000016.1 Bacteroidales bacterium strain NM04_E33 NODE_16_length_107522_cov_737.717, whole genome shotgun sequence	101233	99557
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.885	1.60e-07	51.6	93	SRYB01000010.1 Bacteroidales bacterium strain NM04_E33 NODE_10_length_132068_cov_797.277, whole genome shotgun sequence	74498	75925
