id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.048	7.22e-25	98.6	95	NODE_8_length_141274_cov_47.893461	8683	9294
658118072	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118072|3.a.1.15.16	27.234	0.73	27.7	84	NODE_8_length_141274_cov_47.893461	9518	10180
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	23.826	1.46e-13	68.6	83	NODE_8_length_141274_cov_47.893461	10338	11180
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	33.498	2.52e-51	185	88	NODE_5_length_167590_cov_47.628023	85166	84027
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	33.498	2.52e-51	185	88	NODE_5_length_167590_cov_47.628023	85166	84027
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	33.628	5.00e-40	147	94	NODE_7_length_161421_cov_46.256495	58604	59548
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	33.628	5.00e-40	147	94	NODE_7_length_161421_cov_46.256495	58604	59548
a1rz69	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz69|4.a.6.1.24	30.197	3.23e-40	153	80	NODE_1_length_315187_cov_52.644527	85920	84595
a1rz69	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|a1rz69|4.a.6.1.24	30.197	3.23e-40	153	80	NODE_1_length_315187_cov_52.644527	85920	84595
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	99.369	4.20e-174	531	100	NODE_13_length_60126_cov_45.431797	51813	50863
