id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.846	2.37e-19	83.2	99	NODE_3_length_252340_cov_76.020570	176359	175748
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	29.831	1.02e-13	69.3	93	NODE_4_length_182832_cov_80.744724	59467	60342
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	24.153	5.09e-04	38.9	78	NODE_9_length_118104_cov_78.732273	94468	93770
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	24.153	5.09e-04	38.9	78	NODE_9_length_118104_cov_78.732273	94468	93770
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	24.153	5.09e-04	38.9	78	NODE_9_length_118104_cov_78.732273	94468	93770
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	37.762	6.09e-46	165	94	NODE_2_length_266804_cov_66.016103	152214	151381
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	37.762	6.09e-46	165	94	NODE_2_length_266804_cov_66.016103	152214	151381
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	28.527	5.83e-22	94.0	93	NODE_4_length_182832_cov_80.744724	150711	151616
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	43.000	3.47e-117	377	97	NODE_4_length_182832_cov_80.744724	148114	149598
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	34.884	2.66e-65	223	96	NODE_11_length_101128_cov_77.930204	78244	77096
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.778	2.47e-14	69.7	88	NODE_9_length_118104_cov_78.732273	97078	96389
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	22.222	1.84e-09	56.6	81	NODE_11_length_101128_cov_77.930204	69317	70135
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.028	2.24e-89	303	82	NODE_11_length_101128_cov_77.930204	80500	78836
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.037	9.00e-52	194	78	NODE_11_length_101128_cov_77.930204	80737	78788
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	39.155	5.88e-63	214	97	NODE_6_length_153101_cov_82.546829	74850	75899
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	49.109	1.77e-149	471	95	NODE_20_length_78506_cov_76.724579	10793	12307
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	28.345	2.43e-36	140	91	NODE_17_length_90932_cov_77.311716	41589	42869
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	23.869	1.57e-11	63.9	78	NODE_12_length_100299_cov_79.729381	56245	57426
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	49.480	0.0	764	96	NODE_30_length_38210_cov_46.451499	35216	32703
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	22.483	1.40e-05	44.3	77	NODE_29_length_45098_cov_63.722019	9666	8836
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	22.483	1.40e-05	44.3	77	NODE_29_length_45098_cov_63.722019	9666	8836
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	22.483	1.40e-05	44.3	77	NODE_29_length_45098_cov_63.722019	9666	8836
akm77924	2.a.76	lysine	EX_cpd00039_e0	rxn05305,rxn08854,rxn08855,rxn09674,rxn09740,rxn12378,rxn13343,rxn10834,rxn33297	gnl|tc-db|akm77924|2.a.76.1.12	22.034	1.5	26.9	84	NODE_8_length_140418_cov_69.402263	139425	138985
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	33.947	2.11e-71	244	98	NODE_2_length_266804_cov_66.016103	187075	185612
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	33.947	2.11e-71	244	98	NODE_2_length_266804_cov_66.016103	187075	185612
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.641	2.88e-144	476	86	NODE_30_length_38210_cov_46.451499	35252	32604
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.641	2.88e-144	476	86	NODE_30_length_38210_cov_46.451499	35252	32604
