id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.068	4.94e-25	99.8	100	CP022722.1 [Clostridium] innocuum strain I46 genome	2564654	2564043
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.616	2.26e-44	160	84	CP022722.1 [Clostridium] innocuum strain I46 genome	258521	259354
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.616	2.26e-44	160	84	CP022722.1 [Clostridium] innocuum strain I46 genome	258521	259354
a1rz69	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|a1rz69|4.a.6.1.24	27.553	4.78e-23	101	76	CP022722.1 [Clostridium] innocuum strain I46 genome	4263011	4264234
a1rz69	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|a1rz69|4.a.6.1.24	27.553	4.78e-23	101	76	CP022722.1 [Clostridium] innocuum strain I46 genome	4263011	4264234
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	38.486	1.55e-51	180	99	CP022722.1 [Clostridium] innocuum strain I46 genome	1076608	1075661
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	34.648	2.67e-33	129	96	CP022722.1 [Clostridium] innocuum strain I46 genome	1077658	1076615
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.110	2.22e-179	556	98	CP022722.1 [Clostridium] innocuum strain I46 genome	1079225	1077729
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.596	1.55e-15	73.6	84	CP022722.1 [Clostridium] innocuum strain I46 genome	2352246	2351587
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	29.665	5.88e-24	103	77	CP022722.1 [Clostridium] innocuum strain I46 genome	2690391	2689174
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	29.665	5.88e-24	103	77	CP022722.1 [Clostridium] innocuum strain I46 genome	2690391	2689174
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	24.407	1.36e-19	87.8	80	CP022722.1 [Clostridium] innocuum strain I46 genome	1712509	1711700
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.989	2.49e-93	315	84	CP022722.1 [Clostridium] innocuum strain I46 genome	48326	49912
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.267	2.05e-52	196	89	CP022722.1 [Clostridium] innocuum strain I46 genome	4344873	4347062
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	34.615	9.65e-89	296	98	CP022722.1 [Clostridium] innocuum strain I46 genome	1079225	1077690
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	49.493	0.0	801	99	CP022722.1 [Clostridium] innocuum strain I46 genome	1624002	1621432
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.051	2.21e-09	54.3	94	CP022722.1 [Clostridium] innocuum strain I46 genome	2352216	2351506
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	21.860	1.07e-07	52.0	85	CP022722.1 [Clostridium] innocuum strain I46 genome	3670193	3671341
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	21.860	1.07e-07	52.0	85	CP022722.1 [Clostridium] innocuum strain I46 genome	3670193	3671341
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.333	4.81e-132	440	85	CP022722.1 [Clostridium] innocuum strain I46 genome	1623990	1621432
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.333	4.81e-132	440	85	CP022722.1 [Clostridium] innocuum strain I46 genome	1623990	1621432
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.037	4.63e-80	280	87	CP022722.1 [Clostridium] innocuum strain I46 genome	4344873	4347056
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	24.337	3.94e-11	63.2	84	CP022722.1 [Clostridium] innocuum strain I46 genome	2350231	2349113
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	49.398	4.54e-94	303	98	CP022722.1 [Clostridium] innocuum strain I46 genome	3764889	3765872
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	31.014	4.45e-85	295	82	CP022722.1 [Clostridium] innocuum strain I46 genome	1623762	1621831
