id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.451	6.05e-27	104	97	scaffold00002	45091	44486
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	33.398	1.32e-81	274	99	scaffold00004	19017	20519
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.939	3.70e-13	65.9	87	scaffold00004	120979	121668
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.211	4.33e-86	293	84	scaffold00006	113987	112380
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	22.953	6.36e-45	172	88	scaffold00001	316909	319098
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	32.402	4.97e-46	165	91	scaffold00010	75521	74454
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	50.693	4.50e-152	478	95	scaffold00007	32527	34032
a7nrg1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a7nrg1|3.a.1.26.5	23.148	0.081	30.8	94	scaffold00005	6866	6219
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	45.394	0.0	707	99	scaffold00010	101179	98582
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	25.847	3.06e-11	59.3	94	scaffold00004	121018	121725
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.594	4.89e-146	481	83	scaffold00010	101128	98582
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.594	4.89e-146	481	83	scaffold00010	101128	98582
b1pxd0	2.a.39	cytosine		rxn05527,rxn08266,rxn12428	gnl|tc-db|b1pxd0|2.a.39.2.4	22.384	0.024	34.3	75	scaffold00007	96629	95538
b1pxd0	2.a.39	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn05497	gnl|tc-db|b1pxd0|2.a.39.2.4	22.384	0.024	34.3	75	scaffold00007	96629	95538
