id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.476	1.82e-18	79.7	98	NODE_5_length_196816_cov_115.914038	172701	172096
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	21.739	4.55e-10	57.4	76	NODE_2_length_427660_cov_131.283269	276984	276178
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	32.660	2.69e-29	114	95	NODE_3_length_298303_cov_118.220108	224507	223623
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	32.660	2.69e-29	114	95	NODE_3_length_298303_cov_118.220108	224507	223623
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	32.660	2.69e-29	114	95	NODE_3_length_298303_cov_118.220108	224507	223623
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	33.333	1.26e-40	149	99	NODE_2_length_427660_cov_131.283269	37647	36604
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	33.333	1.26e-40	149	99	NODE_2_length_427660_cov_131.283269	37647	36604
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	35.248	2.54e-81	273	97	NODE_2_length_427660_cov_131.283269	120506	119001
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	24.324	1.78e-20	90.5	87	NODE_8_length_93084_cov_125.735783	38175	37105
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.468	2.04e-12	63.2	87	NODE_1_length_549928_cov_155.944980	458629	457952
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	22.727	1.73e-09	57.0	77	NODE_4_length_203330_cov_111.738882	124700	123501
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	22.727	1.73e-09	57.0	77	NODE_4_length_203330_cov_111.738882	124700	123501
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	31.860	1.90e-63	226	76	NODE_3_length_298303_cov_118.220108	24784	23222
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.426	9.18e-16	77.0	80	NODE_3_length_298303_cov_118.220108	164717	163608
