id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.121	2.10e-20	85.5	100	NODE_6_length_145249_cov_78.084858	89942	90487
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	32.770	5.31e-43	154	97	NODE_16_length_32690_cov_265.130991	19346	20224
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	32.770	5.31e-43	154	97	NODE_16_length_32690_cov_265.130991	19346	20224
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	32.770	5.31e-43	154	97	NODE_16_length_32690_cov_265.130991	19346	20224
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.384	2.02e-51	180	79	NODE_1_length_476310_cov_77.216144	47322	46489
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.384	2.02e-51	180	79	NODE_1_length_476310_cov_77.216144	47322	46489
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.967	8.26e-18	84.0	94	NODE_1_length_476310_cov_77.216144	68083	69384
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	43.407	3.14e-26	101	96	NODE_9_length_86908_cov_73.299006	31972	32511
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.754	5.12e-16	73.9	85	NODE_9_length_86908_cov_73.299006	76146	76820
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	22.851	1.91e-09	57.0	78	NODE_1_length_476310_cov_77.216144	116371	115265
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	22.851	1.91e-09	57.0	78	NODE_1_length_476310_cov_77.216144	116371	115265
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.962	1.60e-78	271	77	NODE_16_length_32690_cov_265.130991	21854	23365
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	28.022	1.19e-74	262	88	NODE_16_length_32690_cov_265.130991	21281	23422
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	23.033	5.64e-18	84.7	93	NODE_2_length_298455_cov_84.322825	69713	68409
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	22.851	6.39e-10	58.5	90	NODE_2_length_298455_cov_84.322825	69746	68409
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	24.786	4.92e-15	75.1	86	NODE_1_length_476310_cov_77.216144	68074	69354
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	27.912	2.07e-39	149	94	NODE_2_length_298455_cov_84.322825	183339	184655
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	22.353	1.90e-13	70.1	97	NODE_2_length_298455_cov_84.322825	69728	68406
