id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.351	1.61e-18	79.7	94	NODE_13_length_49383_cov_115.678641	35447	34872
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	23.875	3.32e-12	63.9	81	NODE_58_length_8323_cov_102.077770	2069	2887
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.333	8.52e-39	143	83	NODE_24_length_32610_cov_81.496360	12977	12108
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.333	8.52e-39	143	83	NODE_24_length_32610_cov_81.496360	12977	12108
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	82.965	5.28e-150	462	100	NODE_18_length_41281_cov_100.138796	14868	13918
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	73.699	4.72e-143	444	100	NODE_18_length_41281_cov_100.138796	15938	14871
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	85.375	0.0	890	100	NODE_18_length_41281_cov_100.138796	17451	15934
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	61.932	4.63e-64	211	79	NODE_12_length_55125_cov_93.516216	53517	54044
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	74.121	0.0	584	99	NODE_30_length_29054_cov_94.558157	5770	6963
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.641	1.63e-13	66.6	90	NODE_20_length_39657_cov_136.208020	952	236
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	25.659	4.93e-11	62.0	77	NODE_2_length_104700_cov_83.350933	36747	37964
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	25.659	4.93e-11	62.0	77	NODE_2_length_104700_cov_83.350933	36747	37964
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.216	2.13e-82	282	82	NODE_32_length_28936_cov_108.005852	1789	185
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.657	1.16e-66	238	87	NODE_35_length_25876_cov_98.424616	23668	25698
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	42.084	2.62e-117	377	95	NODE_4_length_88746_cov_82.389803	72426	73883
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	30.480	9.54e-57	200	95	NODE_4_length_88746_cov_82.389803	63748	65178
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	42.621	0.0	643	99	NODE_30_length_29054_cov_94.558157	21600	24236
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	47.426	2.54e-79	261	78	NODE_4_length_88746_cov_82.389803	86440	85637
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	47.426	2.54e-79	261	78	NODE_4_length_88746_cov_82.389803	86440	85637
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	47.426	2.54e-79	261	78	NODE_4_length_88746_cov_82.389803	86440	85637
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.592	2.86e-134	446	83	NODE_30_length_29054_cov_94.558157	21654	24218
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.592	2.86e-134	446	83	NODE_30_length_29054_cov_94.558157	21654	24218
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	29.091	6.18e-97	329	86	NODE_35_length_25876_cov_98.424616	23668	25710
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	32.481	1.16e-39	148	90	NODE_30_length_29054_cov_94.558157	5785	6954
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	49.693	1.83e-96	309	96	NODE_57_length_9082_cov_153.958901	1095	130
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	31.484	1.78e-86	298	82	NODE_30_length_29054_cov_94.558157	21795	23819
