id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.426	1.23e-24	98.6	90	NODE_3_length_219787_cov_129.841022	26231	25647
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	25.540	0.56	29.3	89	NODE_51_length_34907_cov_144.851163	26737	25925
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	25.540	0.56	29.3	89	NODE_51_length_34907_cov_144.851163	26737	25925
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	25.540	0.56	29.3	89	NODE_51_length_34907_cov_144.851163	26737	25925
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.570	1.20e-36	138	80	NODE_28_length_64853_cov_147.514728	26905	27783
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.570	1.20e-36	138	80	NODE_28_length_64853_cov_147.514728	26905	27783
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	32.746	6.90e-25	102	89	NODE_62_length_26948_cov_101.759406	18283	17465
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	29.721	4.09e-18	84.0	88	NODE_62_length_26948_cov_101.759406	19383	18457
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	46.787	6.52e-143	452	98	NODE_62_length_26948_cov_101.759406	20912	19419
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	31.472	1.62e-49	177	96	NODE_1_length_308794_cov_115.856147	100037	98880
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.234	1.63e-14	70.5	88	NODE_2_length_221889_cov_136.840631	122787	122098
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	25.939	4.29e-08	52.4	78	NODE_10_length_133744_cov_139.233618	20772	21629
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.178	2.97e-83	286	81	NODE_8_length_138049_cov_123.891993	2147	3694
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	27.900	1.54e-17	82.0	77	NODE_12_length_121097_cov_139.035002	99391	100320
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	43.898	6.10e-134	427	96	NODE_1_length_308794_cov_115.856147	171788	170289
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	39.159	4.81e-92	303	96	NODE_9_length_137415_cov_149.961256	25526	26860
