id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.536	6.30e-19	81.6	100	scf7180000000002|quiver_dupTrim=16548	8417	7812
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	24.262	0.011	33.9	95	scf7180000000002|quiver_dupTrim=16548	701429	702307
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	24.262	0.011	33.9	95	scf7180000000002|quiver_dupTrim=16548	701429	702307
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	24.262	0.011	33.9	95	scf7180000000002|quiver_dupTrim=16548	701429	702307
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.891	6.92e-46	164	87	scf7180000000002|quiver_dupTrim=16548	2211794	2210898
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.891	6.92e-46	164	87	scf7180000000002|quiver_dupTrim=16548	2211794	2210898
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	34.774	2.45e-86	288	100	scf7180000000002|quiver_dupTrim=16548	2615309	2613810
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	36.962	9.06e-72	241	97	scf7180000000002|quiver_dupTrim=16548	2676935	2678101
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	29.221	3.47e-08	49.3	79	scf7180000000002|quiver_dupTrim=16548	1479578	1479997
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.041	2.21e-19	84.3	90	scf7180000000002|quiver_dupTrim=16548	120738	121451
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	25.349	1.08e-17	84.0	79	scf7180000000002|quiver_dupTrim=16548	452278	453552
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	25.349	1.08e-17	84.0	79	scf7180000000002|quiver_dupTrim=16548	452278	453552
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.333	5.92e-87	296	83	scf7180000000002|quiver_dupTrim=16548	2601386	2599788
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.309	2.84e-64	231	88	scf7180000000002|quiver_dupTrim=16548	1764675	1762435
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	27.541	1.12e-13	69.3	83	scf7180000000002|quiver_dupTrim=16548	2616392	2615499
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	42.188	1.64e-127	407	97	scf7180000000002|quiver_dupTrim=16548	2615309	2613810
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	45.721	0.0	710	99	scf7180000000002|quiver_dupTrim=16548	2452780	2450177
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	36.770	3.69e-50	177	92	scf7180000000002|quiver_dupTrim=16548	1017601	1018440
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	36.770	3.69e-50	177	92	scf7180000000002|quiver_dupTrim=16548	1017601	1018440
