id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.835	1.41e-22	92.0	90	scaffold00003	155507	156082
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	30.323	2.47e-18	82.4	97	scaffold00011	24846	25766
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	20.690	8.07e-10	58.5	78	scaffold00009	66292	67581
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	20.690	8.07e-10	58.5	78	scaffold00009	66292	67581
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.593	2.81e-39	145	80	scaffold00008	104085	104954
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.593	2.81e-39	145	80	scaffold00008	104085	104954
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	33.025	2.00e-26	106	98	scaffold00009	47928	46990
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	27.425	3.62e-16	77.0	80	scaffold00009	48907	48071
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	42.455	5.22e-125	399	98	scaffold00009	50523	49051
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	33.166	8.17e-55	192	97	scaffold00019	21038	19872
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	24.138	0.002	34.7	76	scaffold00005	43464	43874
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	31.301	8.10e-21	88.2	91	scaffold00004	52510	51791
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	29.478	4.43e-21	91.7	76	scaffold00020	45930	46700
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.572	1.59e-78	271	78	scaffold00016	33100	31550
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.263	5.05e-61	221	87	scaffold00016	33727	31502
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	56.772	0.0	609	99	scaffold00011	5550	3472
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	56.772	0.0	609	99	scaffold00011	5550	3472
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	24.299	3.93e-09	55.1	82	scaffold00021	49943	50872
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	44.752	3.50e-125	400	96	scaffold00021	51049	52533
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	18.615	5.1	25.4	76	scaffold00018	6964	7593
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	69.914	0.0	882	99	scaffold00011	5556	3472
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	69.914	0.0	882	99	scaffold00011	5556	3472
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	23.558	4.07e-13	68.6	87	scaffold00001	7356	8576
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	41.580	0.0	591	96	scaffold00026	19401	16897
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	43.509	1.65e-72	241	82	scaffold00013	49977	49135
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	43.509	1.65e-72	241	82	scaffold00013	49977	49135
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	43.509	1.65e-72	241	82	scaffold00013	49977	49135
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	27.615	4.08e-11	58.5	93	scaffold00004	52474	51776
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	52.057	3.87e-172	543	97	scaffold00011	5580	3481
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	52.057	3.87e-172	543	97	scaffold00011	5580	3481
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	32.106	1.47e-67	232	98	scaffold00002	22804	24261
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	32.106	1.47e-67	232	98	scaffold00002	22804	24261
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	36.154	4.86e-132	439	85	scaffold00026	19404	16819
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	36.154	4.86e-132	439	85	scaffold00026	19404	16819
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	29.112	1.46e-81	284	87	scaffold00016	33727	31484
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	30.282	5.48e-34	133	87	scaffold00005	18913	17768
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	44.934	9.60e-128	414	99	scaffold00011	5472	3466
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	36.667	5.37e-50	179	92	scaffold00019	21026	19866
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	35.193	3.20e-27	107	86	scaffold00015	46177	45536
