id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	27.818	2.89e-22	96.7	92	PUED01000053.1 Paramuribaculum intestinale strain DSM 100749 seq53, whole genome shotgun sequence	3746	2559
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.473	1.52e-17	77.4	81	PUED01000017.1 Paramuribaculum intestinale strain DSM 100749 seq17, whole genome shotgun sequence	11594	11052
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	30.166	2.07e-45	164	98	PUED01000053.1 Paramuribaculum intestinale strain DSM 100749 seq53, whole genome shotgun sequence	3785	2544
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	30.166	2.07e-45	164	98	PUED01000053.1 Paramuribaculum intestinale strain DSM 100749 seq53, whole genome shotgun sequence	3785	2544
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	28.606	3.08e-44	162	92	PUED01000053.1 Paramuribaculum intestinale strain DSM 100749 seq53, whole genome shotgun sequence	3785	2568
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	28.606	3.08e-44	162	92	PUED01000053.1 Paramuribaculum intestinale strain DSM 100749 seq53, whole genome shotgun sequence	3785	2568
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.509	1.07e-16	80.1	91	PUED01000080.1 Paramuribaculum intestinale strain DSM 100749 seq80, whole genome shotgun sequence	5170	6654
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	83.424	0.0	966	100	PUED01000010.1 Paramuribaculum intestinale strain DSM 100749 seq10, whole genome shotgun sequence	20024	17826
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	83.424	0.0	966	100	PUED01000010.1 Paramuribaculum intestinale strain DSM 100749 seq10, whole genome shotgun sequence	20024	17826
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	21.206	6.90e-12	65.1	79	PUED01000003.1 Paramuribaculum intestinale strain DSM 100749 seq3, whole genome shotgun sequence	12612	13949
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	59.275	0.0	684	97	PUED01000010.1 Paramuribaculum intestinale strain DSM 100749 seq10, whole genome shotgun sequence	19964	17829
