id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.650	4.73e-17	76.3	99	NODE_3_length_150637_cov_32.231775	24080	24718
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	33.119	3.10e-23	97.4	99	NODE_59_length_21407_cov_31.883216	2672	3604
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.936	4.51e-50	177	88	NODE_1_length_224587_cov_36.959583	31042	31887
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.936	4.51e-50	177	88	NODE_1_length_224587_cov_36.959583	31042	31887
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	36.327	6.10e-103	336	99	NODE_22_length_47305_cov_38.356589	28475	29953
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.614	4.92e-18	80.5	87	NODE_2_length_172379_cov_37.897465	139504	140190
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	22.951	6.73e-16	76.3	87	NODE_1_length_224587_cov_36.959583	32132	33001
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.274	5.73e-77	266	80	NODE_50_length_23885_cov_31.571111	19792	21396
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.967	6.79e-61	221	87	NODE_50_length_23885_cov_31.571111	19273	21492
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	48.219	4.24e-146	470	99	NODE_2_length_172379_cov_37.897465	145049	146995
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	48.219	4.24e-146	470	99	NODE_2_length_172379_cov_37.897465	145049	146995
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	33.746	1.55e-45	164	84	NODE_67_length_16432_cov_37.866707	10281	9313
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	50.397	9.48e-147	463	95	NODE_67_length_16432_cov_37.866707	9230	7722
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	25.688	2.44e-26	111	78	NODE_3_length_150637_cov_32.231775	69335	70531
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	53.535	9.89e-180	566	99	NODE_2_length_172379_cov_37.897465	145058	147004
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	53.535	9.89e-180	566	99	NODE_2_length_172379_cov_37.897465	145058	147004
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	24.215	7.03e-15	74.7	92	NODE_1_length_224587_cov_36.959583	216255	217562
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	23.750	8.54e-11	61.6	78	NODE_2_length_172379_cov_37.897465	152907	154082
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	49.205	0.0	816	97	NODE_21_length_49194_cov_35.501415	48545	45945
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	29.412	1.09e-24	102	76	NODE_2_length_172379_cov_37.897465	137817	138581
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	29.412	1.09e-24	102	76	NODE_2_length_172379_cov_37.897465	137817	138581
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	29.412	1.09e-24	102	76	NODE_2_length_172379_cov_37.897465	137817	138581
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	26.957	2.30e-11	60.1	90	NODE_2_length_172379_cov_37.897465	139537	140217
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	25.179	1.99e-25	108	94	NODE_3_length_150637_cov_32.231775	77873	79405
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	71.212	0.0	778	97	NODE_2_length_172379_cov_37.897465	145040	147019
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	71.212	0.0	778	97	NODE_2_length_172379_cov_37.897465	145040	147019
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	24.330	2.19e-10	60.5	90	NODE_14_length_74544_cov_33.985376	21194	22408
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	24.330	2.19e-10	60.5	90	NODE_14_length_74544_cov_33.985376	21194	22408
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	31.889	5.08e-120	405	84	NODE_21_length_49194_cov_35.501415	48563	45972
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	31.889	5.08e-120	405	84	NODE_21_length_49194_cov_35.501415	48563	45972
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.515	1.14e-85	296	86	NODE_50_length_23885_cov_31.571111	19273	21498
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	34.663	2.12e-43	162	83	NODE_1_length_224587_cov_36.959583	20890	21990
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	43.202	2.65e-127	413	98	NODE_2_length_172379_cov_37.897465	145127	146983
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	32.520	2.27e-20	87.8	88	NODE_16_length_71762_cov_32.402525	67774	67097
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	57.143	0.0	608	99	NODE_2_length_172379_cov_37.897465	145043	146998
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	57.143	0.0	608	99	NODE_2_length_172379_cov_37.897465	145043	146998
b3ecg7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg7|3.a.10.3.2	32.475	9.27e-68	243	85	NODE_2_length_172379_cov_37.897465	145121	146971
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	47.590	5.17e-89	288	98	NODE_30_length_37145_cov_31.991313	31162	30179
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	30.612	5.41e-87	300	85	NODE_21_length_49194_cov_35.501415	48395	46338
b4ey22	2.a.15	carnitine	EX_cpd00266_e0	rxn08262,rxn09691,rxn12364,rxn12605,rxn09773,rxn09858	gnl|tc-db|b4ey22|2.a.15.2.2	22.566	5.82e-29	119	87	NODE_15_length_74387_cov_36.219540	58722	60059
b5jqt8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	52.092	8.47e-159	506	96	NODE_2_length_172379_cov_37.897465	145112	147004
b5jqt8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	52.092	8.47e-159	506	96	NODE_2_length_172379_cov_37.897465	145112	147004
b6yqj7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b6yqj7|3.a.10.3.4	31.141	1.91e-67	241	91	NODE_2_length_172379_cov_37.897465	145112	147145
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	32.828	9.60e-25	99.0	88	NODE_1_length_224587_cov_36.959583	31036	31620
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	32.828	9.60e-25	99.0	88	NODE_1_length_224587_cov_36.959583	31036	31620
b8gze9	2.a.6	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|b8gze9|2.a.6.1.16	27.371	1.96e-49	189	78	NODE_70_length_14283_cov_33.875686	9433	7001
b8gze9	2.a.6	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|b8gze9|2.a.6.1.16	27.371	1.96e-49	189	78	NODE_70_length_14283_cov_33.875686	9433	7001
b8gze9	2.a.6	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b8gze9|2.a.6.1.16	27.371	1.96e-49	189	78	NODE_70_length_14283_cov_33.875686	9433	7001
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	79.579	0.0	701	99	NODE_3_length_150637_cov_32.231775	46653	48077
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	79.579	0.0	701	99	NODE_3_length_150637_cov_32.231775	46653	48077
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	79.579	0.0	701	99	NODE_3_length_150637_cov_32.231775	46653	48077
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	79.579	0.0	701	99	NODE_3_length_150637_cov_32.231775	46653	48077
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	26.351	8.16e-11	55.8	99	NODE_4_length_140234_cov_34.760626	84394	84828
c1p5z7	4.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	23.077	9.8	20.0	91	NODE_9_length_93503_cov_31.094867	14867	14977
c4b4v9	2.a.1	l-arabinose		rxn05500,rxn08140,rxn08141	gnl|tc-db|c4b4v9|2.a.1.1.116	20.000	0.049	33.1	75	NODE_15_length_74387_cov_36.219540	51175	50210
c7rkm6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|c7rkm6|3.a.10.3.5	30.469	5.29e-54	201	75	NODE_2_length_172379_cov_37.897465	145319	146983
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	38.218	2.07e-105	353	81	NODE_50_length_23885_cov_31.571111	19528	21498
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	39.726	6.29e-49	175	93	NODE_4_length_140234_cov_34.760626	85234	86286
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	33.333	6.71e-26	100	97	NODE_37_length_30744_cov_38.143607	18742	19308
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	27.143	1.20e-29	115	92	NODE_22_length_47305_cov_38.356589	18265	19104
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	30.032	1.49e-32	125	92	NODE_23_length_47013_cov_39.060401	42940	42035
d3r799	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r799|3.a.1.1.53	21.212	7.23e-13	68.2	78	NODE_28_length_40323_cov_39.951150	6070	5048
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	34.534	1.80e-75	260	89	NODE_20_length_49526_cov_37.309511	18784	17399
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	34.534	1.80e-75	260	89	NODE_20_length_49526_cov_37.309511	18784	17399
d5apm1	2.a.21	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|tc-db|d5apm1|2.a.21.7.5	25.191	5.44e-17	82.0	88	NODE_72_length_14227_cov_37.061555	11170	12576
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	36.111	5.03e-41	147	84	NODE_14_length_74544_cov_33.985376	51010	51636
d5arg8	2.a.88,3.a.1	biotin		rxn09693	gnl|tc-db|d5arg8|3.a.1.25.7	32.609	1.07e-10	57.0	96	NODE_70_length_14283_cov_33.875686	5391	5903
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	30.612	4.24e-21	89.0	83	NODE_2_length_172379_cov_37.897465	137916	138503
d5auz7	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d5auz7|3.a.1.23.8	30.252	3.31e-11	60.1	91	NODE_14_length_74544_cov_33.985376	50198	50902
d5auz9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d5auz9|3.a.1.23.8	54.930	2.22e-62	207	96	NODE_14_length_74544_cov_33.985376	49186	49824
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	39.035	1.31e-40	147	83	NODE_2_length_172379_cov_37.897465	139486	140163
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	36.552	1.06e-47	167	99	NODE_2_length_172379_cov_37.897465	138629	139480
d7ae11	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae11|3.a.1.23.3	23.404	0.46	28.9	88	NODE_2_length_172379_cov_37.897465	139513	140202
e7rs29	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|e7rs29|3.a.10.1.11	47.934	3.18e-145	468	98	NODE_2_length_172379_cov_37.897465	145058	146995
e7rs29	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|e7rs29|3.a.10.1.11	47.934	3.18e-145	468	98	NODE_2_length_172379_cov_37.897465	145058	146995
f4h4x4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|f4h4x4|3.a.10.3.3	31.092	2.75e-54	202	81	NODE_2_length_172379_cov_37.897465	145121	147049
f8y3b4	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b4|4.a.2.1.21	31.250	7.11e-21	85.1	97	NODE_4_length_140234_cov_34.760626	84400	84828
f8y3b5	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b5|4.a.2.1.21	42.161	2.60e-81	272	98	NODE_4_length_140234_cov_34.760626	84895	86289
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	32.394	7.84e-28	108	94	NODE_14_length_74544_cov_33.985376	69858	70460
g8rd42	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8rd42|2.a.38.4.6	32.779	1.56e-44	164	90	NODE_44_length_28203_cov_38.879080	8955	10202
g8v089	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8v089|2.a.38.4.6	40.465	2.42e-53	181	98	NODE_44_length_28203_cov_38.879080	10215	10859
h7c6b2	2.a.8	gluconate		rxn05571,rxn08609,rxn12363	gnl|tc-db|h7c6b2|2.a.8.1.15	28.700	1.45e-27	114	91	NODE_6_length_122937_cov_33.268110	81341	82630
i4g6g7	3.a.3	magnesium		rxn08924,rxn10571	gnl|tc-db|i4g6g7|3.a.3.4.5	27.577	2.28e-75	268	81	NODE_21_length_49194_cov_35.501415	48572	46338
j7jie8	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|j7jie8|2.a.21.2.4	25.992	1.74e-22	98.2	99	NODE_101_length_4016_cov_34.852247	3803	2349
k1m2k1	2.a.3	serine	EX_cpd00054_e0	rxn05307,rxn09246,rxn09247,rxn09714,rxn10185,rxn34404,rxn34405,rxn34530	gnl|tc-db|k1m2k1|2.a.3.8.28	22.794	1.59e-19	88.6	92	NODE_78_length_10670_cov_30.404324	3220	4431
k1m2k1	2.a.3	threonine	EX_cpd00161_e0,EX_cpd00161_e0	rxn05300,rxn09304,rxn09305,rxn09306,rxn09710,rxn10186,rxn12456,rxn13747,rxn34409,rxn34410,rxn34535	gnl|tc-db|k1m2k1|2.a.3.8.28	22.794	1.59e-19	88.6	92	NODE_78_length_10670_cov_30.404324	3220	4431
m1i9q3	1.a.1	potassium		rxn05206,rxn27350	gnl|tc-db|m1i9q3|1.a.1.12.4	27.381	2.1	24.3	88	NODE_8_length_97018_cov_34.115730	51400	51621
m1tz79	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|m1tz79|2.a.21.2.5	28.082	1.29e-33	132	85	NODE_101_length_4016_cov_34.852247	3818	2526
m7akz4	2.a.58	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|m7akz4|2.a.58.2.2	32.537	3.00e-61	216	97	NODE_21_length_49194_cov_35.501415	44169	42595
m7akz4	2.a.58	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|m7akz4|2.a.58.2.2	32.537	3.00e-61	216	97	NODE_21_length_49194_cov_35.501415	44169	42595
m7pf02	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|m7pf02|4.a.2.1.19	43.421	6.26e-94	308	94	NODE_4_length_140234_cov_34.760626	84898	86253
o07620	2.a.88	biotin		rxn09693	gnl|tc-db|o07620|2.a.88.1.9	28.977	2.42e-04	38.1	91	NODE_70_length_14283_cov_33.875686	5394	5894
o24896	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|o24896|2.a.21.2.6	23.679	6.53e-23	100	93	NODE_72_length_14227_cov_37.061555	11128	12516
o29097	3.a.1	ribose	EX_cpd01981_e0	rxn05160,rxn05644,rxn09227	gnl|tc-db|o29097|3.a.1.26.8	22.444	3.67e-06	46.2	81	NODE_32_length_36152_cov_37.110575	14136	15314
o30085	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|o30085|3.a.3.5.10	39.052	7.67e-134	433	86	NODE_50_length_23885_cov_31.571111	19666	21498
o30144	3.a.1	molybdate		rxn05619,rxn08955	gnl|tc-db|o30144|3.a.1.6.8	37.555	1.67e-44	156	90	NODE_1_length_224587_cov_36.959583	31090	31761
o30506	3.a.1	arginine	EX_cpd00051_e0	rxn05154,rxn08151,rxn11236	gnl|tc-db|o30506|3.a.1.3.11	49.798	1.50e-62	209	97	NODE_7_length_100751_cov_39.027346	49864	50571
o30506	3.a.1	ornithine	EX_cpd00064_e0	rxn05156,rxn09046,rxn27636	gnl|tc-db|o30506|3.a.1.3.11	49.798	1.50e-62	209	97	NODE_7_length_100751_cov_39.027346	49864	50571
o30831	3.a.1	sorbitol	EX_cpd00588_e0	rxn29779	gnl|tc-db|o30831|3.a.1.1.5	32.235	4.09e-70	238	94	NODE_18_length_60928_cov_36.552711	38590	39837
o30832	3.a.1	mannitol	EX_cpd00314_e0	rxn13853	gnl|tc-db|o30832|3.a.1.1.5	33.884	2.26e-33	126	83	NODE_18_length_60928_cov_36.552711	40037	40762
o30832	3.a.1	sorbitol	EX_cpd00588_e0	rxn29779	gnl|tc-db|o30832|3.a.1.1.5	33.884	2.26e-33	126	83	NODE_18_length_60928_cov_36.552711	40037	40762
o30833	3.a.1	mannitol	EX_cpd00314_e0	rxn13853	gnl|tc-db|o30833|3.a.1.1.5	38.462	6.57e-48	167	93	NODE_18_length_60928_cov_36.552711	41000	41767
o30833	3.a.1	sorbitol	EX_cpd00588_e0	rxn29779	gnl|tc-db|o30833|3.a.1.1.5	38.462	6.57e-48	167	93	NODE_18_length_60928_cov_36.552711	41000	41767
o31199	2.a.3	histidine	EX_cpd00119_e0	rxn05299,rxn08719,rxn09744,rxn13314,rxn34384	gnl|tc-db|o31199|2.a.3.1.9	24.480	1.36e-12	67.4	89	NODE_78_length_10670_cov_30.404324	3205	4413
