id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.703	3.59e-30	114	100	scf7180000000002|quiver_dupTrim=8886	3021385	3020783
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	24.014	2.28e-05	44.3	89	scf7180000000002|quiver_dupTrim=8886	1839288	1837816
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	24.014	2.28e-05	44.3	89	scf7180000000002|quiver_dupTrim=8886	1839288	1837816
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	33.333	1.28e-44	160	90	scf7180000000002|quiver_dupTrim=8886	353794	354699
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	33.333	1.28e-44	160	90	scf7180000000002|quiver_dupTrim=8886	353794	354699
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	33.333	5.79e-83	278	99	scf7180000000002|quiver_dupTrim=8886	2549094	2547589
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.720	6.89e-91	307	83	scf7180000000002|quiver_dupTrim=8886	258182	259774
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.722	8.95e-48	181	83	scf7180000000002|quiver_dupTrim=8886	257660	259717
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	35.294	7.82e-57	196	99	scf7180000000002|quiver_dupTrim=8886	945239	946282
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	47.338	5.74e-145	458	99	scf7180000000002|quiver_dupTrim=8886	947663	949237
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	44.778	0.0	672	97	scf7180000000002|quiver_dupTrim=8886	2240691	2238022
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	32.740	4.18e-37	139	80	scf7180000000002|quiver_dupTrim=8886	2089866	2089039
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	32.740	4.18e-37	139	80	scf7180000000002|quiver_dupTrim=8886	2089866	2089039
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	32.740	4.18e-37	139	80	scf7180000000002|quiver_dupTrim=8886	2089866	2089039
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	23.932	1.23e-09	54.7	96	scf7180000000002|quiver_dupTrim=8886	48030	47362
atn93525.1	2.a.19	calcium		rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|tc-db|atn93525.1|2.a.19.4.15	22.969	3.09e-05	42.7	91	scf7180000000002|quiver_dupTrim=8886	922742	921843
atn93525.1	2.a.19	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|atn93525.1|2.a.19.4.15	22.969	3.09e-05	42.7	91	scf7180000000002|quiver_dupTrim=8886	922742	921843
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.514	2.84e-139	461	85	scf7180000000002|quiver_dupTrim=8886	2240673	2237950
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.514	2.84e-139	461	85	scf7180000000002|quiver_dupTrim=8886	2240673	2237950
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.418	1.69e-71	254	77	scf7180000000002|quiver_dupTrim=8886	257963	259852
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	31.707	9.98e-13	65.1	87	scf7180000000002|quiver_dupTrim=8886	44695	45375
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	47.493	1.27e-91	296	98	scf7180000000002|quiver_dupTrim=8886	721380	722384
