id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.444	1.17e-15	72.0	98	NODE_3_length_289653_cov_71.770102	91636	91004
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	38.754	4.44e-49	174	80	NODE_3_length_289653_cov_71.770102	171086	170247
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	38.754	4.44e-49	174	80	NODE_3_length_289653_cov_71.770102	171086	170247
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	31.950	4.04e-25	102	75	NODE_1_length_399377_cov_72.289329	117108	116407
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	31.776	1.89e-31	122	86	NODE_1_length_399377_cov_72.289329	118228	117296
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	46.791	1.50e-142	450	96	NODE_1_length_399377_cov_72.289329	119760	118312
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	28.481	1.37e-06	44.7	76	NODE_3_length_289653_cov_71.770102	258695	258252
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.511	3.03e-15	72.0	87	NODE_2_length_292450_cov_75.784908	145902	146582
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.826	5.32e-76	263	78	NODE_3_length_289653_cov_71.770102	86828	85275
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.302	1.60e-47	180	87	NODE_3_length_289653_cov_71.770102	87467	85236
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	51.243	1.19e-170	541	98	NODE_10_length_117085_cov_70.441440	4235	2256
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	51.243	1.19e-170	541	98	NODE_10_length_117085_cov_70.441440	4235	2256
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	33.333	1.94e-78	265	97	NODE_1_length_399377_cov_72.289329	119766	118243
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	24.208	5.54e-16	78.6	77	NODE_2_length_292450_cov_75.784908	21238	20036
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	52.579	0.0	590	98	NODE_10_length_117085_cov_70.441440	4241	2256
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	52.579	0.0	590	98	NODE_10_length_117085_cov_70.441440	4241	2256
