id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	25.815	2.69e-22	96.7	84	NODE_5_length_103766_cov_94.280502	37672	36590
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.646	4.17e-23	93.2	90	NODE_14_length_58698_cov_98.372682	50733	50161
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	30.357	4.92e-31	119	92	NODE_2_length_190716_cov_94.386998	23194	24027
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	30.357	4.92e-31	119	92	NODE_2_length_190716_cov_94.386998	23194	24027
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	30.357	4.92e-31	119	92	NODE_2_length_190716_cov_94.386998	23194	24027
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	31.556	2.42e-46	170	88	NODE_5_length_103766_cov_94.280502	16996	18249
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	31.556	2.42e-46	170	88	NODE_5_length_103766_cov_94.280502	16996	18249
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.610	3.32e-48	171	80	NODE_16_length_50527_cov_95.008682	37010	36168
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.610	3.32e-48	171	80	NODE_16_length_50527_cov_95.008682	37010	36168
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	29.524	9.30e-44	159	99	NODE_5_length_103766_cov_94.280502	37702	36455
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	29.524	9.30e-44	159	99	NODE_5_length_103766_cov_94.280502	37702	36455
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	27.407	1.79e-42	156	91	NODE_5_length_103766_cov_94.280502	37711	36506
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	27.407	1.79e-42	156	91	NODE_5_length_103766_cov_94.280502	37711	36506
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	25.785	2.12e-17	82.4	86	NODE_27_length_27646_cov_99.022126	6656	7873
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	25.349	1.25e-10	59.7	94	NODE_15_length_50608_cov_99.778037	11346	12566
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	23.515	1.05e-12	67.4	78	NODE_3_length_167937_cov_107.184308	90975	92222
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	23.515	1.05e-12	67.4	78	NODE_3_length_167937_cov_107.184308	90975	92222
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	21.778	2.86e-07	49.7	81	NODE_2_length_190716_cov_94.386998	92143	90998
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	21.778	2.86e-07	49.7	81	NODE_2_length_190716_cov_94.386998	92143	90998
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	31.403	8.17e-41	154	84	NODE_8_length_69479_cov_91.041123	16024	14732
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.709	3.23e-81	278	77	NODE_5_length_103766_cov_94.280502	2022	508
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	29.909	2.84e-48	176	86	NODE_5_length_103766_cov_94.280502	16972	18252
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	23.529	8.71e-12	64.3	88	NODE_27_length_27646_cov_99.022126	6626	7915
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	21.219	0.001	38.5	79	NODE_14_length_58698_cov_98.372682	3895	2639
