id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	25.676	8.32e-19	80.9	98	NODE_5_length_85220_cov_38.899957	35063	35719
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.075	1.48e-12	67.4	85	NODE_15_length_60113_cov_28.747718	56848	55394
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.075	1.48e-12	67.4	85	NODE_15_length_60113_cov_28.747718	56848	55394
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	24.663	2.28e-19	89.0	94	NODE_12_length_72500_cov_35.036245	61715	63151
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.141	4.10e-14	68.6	92	NODE_8_length_81901_cov_30.538436	24879	24175
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.957	6.67e-73	254	80	NODE_16_length_60063_cov_34.303021	9733	8096
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.390	2.94e-56	207	85	NODE_1_length_281002_cov_31.480965	182303	184501
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	24.324	3.55e-25	107	92	NODE_12_length_72500_cov_35.036245	61661	63139
a7nrg1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a7nrg1|3.a.1.26.5	31.892	8.97e-07	45.8	77	NODE_1_length_281002_cov_31.480965	150977	151531
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	22.750	3.82e-27	115	75	NODE_16_length_60063_cov_34.303021	40733	42310
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	28.358	2.46e-20	89.4	77	NODE_25_length_39199_cov_35.952099	9143	8418
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	28.358	2.46e-20	89.4	77	NODE_25_length_39199_cov_35.952099	9143	8418
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	28.358	2.46e-20	89.4	77	NODE_25_length_39199_cov_35.952099	9143	8418
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	26.797	6.01e-81	282	85	NODE_1_length_281002_cov_31.480965	182285	184504
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	34.878	2.36e-44	164	83	NODE_10_length_75060_cov_39.082339	4476	3379
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	32.927	2.36e-20	87.4	88	NODE_56_length_7205_cov_31.923962	1070	393
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	56.535	3.63e-119	375	98	NODE_11_length_74850_cov_26.622524	68597	69583
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	31.472	5.26e-17	75.9	88	NODE_45_length_14607_cov_30.245423	10747	10166
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	31.472	5.26e-17	75.9	88	NODE_45_length_14607_cov_30.245423	10747	10166
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	20.000	7.09e-16	77.4	94	NODE_14_length_60362_cov_40.101153	5200	6552
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	20.000	7.09e-16	77.4	94	NODE_14_length_60362_cov_40.101153	5200	6552
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	20.000	7.09e-16	77.4	94	NODE_14_length_60362_cov_40.101153	5200	6552
