id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	22.917	1.45e-17	82.4	83	SRZC01000022.1 Bacteroidales bacterium strain NM73_A23 NODE_22_length_70977_cov_485.049, whole genome shotgun sequence	13328	14458
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.717	3.88e-15	70.5	81	SRZC01000022.1 Bacteroidales bacterium strain NM73_A23 NODE_22_length_70977_cov_485.049, whole genome shotgun sequence	65535	64993
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	32.035	1.04e-52	192	77	SRZC01000014.1 Bacteroidales bacterium strain NM73_A23 NODE_14_length_101074_cov_443.26, whole genome shotgun sequence	78847	80157
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	32.035	1.04e-52	192	77	SRZC01000014.1 Bacteroidales bacterium strain NM73_A23 NODE_14_length_101074_cov_443.26, whole genome shotgun sequence	78847	80157
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	27.660	2.01e-12	65.5	77	SRZC01000002.1 Bacteroidales bacterium strain NM73_A23 NODE_2_length_261310_cov_460.841, whole genome shotgun sequence	216829	216023
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	27.660	2.01e-12	65.5	77	SRZC01000002.1 Bacteroidales bacterium strain NM73_A23 NODE_2_length_261310_cov_460.841, whole genome shotgun sequence	216829	216023
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	28.538	9.54e-44	160	96	SRZC01000022.1 Bacteroidales bacterium strain NM73_A23 NODE_22_length_70977_cov_485.049, whole genome shotgun sequence	13292	14572
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	28.538	9.54e-44	160	96	SRZC01000022.1 Bacteroidales bacterium strain NM73_A23 NODE_22_length_70977_cov_485.049, whole genome shotgun sequence	13292	14572
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	27.378	3.64e-41	153	92	SRZC01000022.1 Bacteroidales bacterium strain NM73_A23 NODE_22_length_70977_cov_485.049, whole genome shotgun sequence	13289	14572
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	27.378	3.64e-41	153	92	SRZC01000022.1 Bacteroidales bacterium strain NM73_A23 NODE_22_length_70977_cov_485.049, whole genome shotgun sequence	13289	14572
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	21.773	6.04e-10	58.9	92	SRZC01000003.1 Bacteroidales bacterium strain NM73_A23 NODE_3_length_244219_cov_432.663, whole genome shotgun sequence	32492	33973
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	22.727	2.52e-10	58.9	79	SRZC01000016.1 Bacteroidales bacterium strain NM73_A23 NODE_16_length_90289_cov_499.97, whole genome shotgun sequence	5863	5069
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.246	2.00e-06	47.8	81	SRZC01000035.1 Bacteroidales bacterium strain NM73_A23 NODE_35_length_22787_cov_451.194, whole genome shotgun sequence	6120	4741
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	30.000	5.47e-36	139	75	SRZC01000023.1 Bacteroidales bacterium strain NM73_A23 NODE_23_length_61306_cov_443.297, whole genome shotgun sequence	41733	40453
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	31.000	1.03e-101	346	95	SRZC01000001.1 Bacteroidales bacterium strain NM73_A23 NODE_1_length_279969_cov_492.88, whole genome shotgun sequence	257950	255377
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	21.839	2.71e-07	50.4	82	SRZC01000009.1 Bacteroidales bacterium strain NM73_A23 NODE_9_length_134678_cov_499.836, whole genome shotgun sequence	131818	132984
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	32.068	1.91e-64	223	94	SRZC01000003.1 Bacteroidales bacterium strain NM73_A23 NODE_3_length_244219_cov_432.663, whole genome shotgun sequence	63217	61817
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	32.068	1.91e-64	223	94	SRZC01000003.1 Bacteroidales bacterium strain NM73_A23 NODE_3_length_244219_cov_432.663, whole genome shotgun sequence	63217	61817
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	29.471	1.25e-84	299	79	SRZC01000001.1 Bacteroidales bacterium strain NM73_A23 NODE_1_length_279969_cov_492.88, whole genome shotgun sequence	257938	255449
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	29.471	1.25e-84	299	79	SRZC01000001.1 Bacteroidales bacterium strain NM73_A23 NODE_1_length_279969_cov_492.88, whole genome shotgun sequence	257938	255449
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	30.165	2.31e-17	79.0	83	SRZC01000029.1 Bacteroidales bacterium strain NM73_A23 NODE_29_length_41317_cov_466.04, whole genome shotgun sequence	15823	15173
b3ee21	2.a.37	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b3ee21|2.a.37.2.5	34.365	8.67e-107	355	87	SRZC01000033.1 Bacteroidales bacterium strain NM73_A23 NODE_33_length_26832_cov_456.559, whole genome shotgun sequence	5738	3834
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	46.407	1.73e-96	310	99	SRZC01000020.1 Bacteroidales bacterium strain NM73_A23 NODE_20_length_80860_cov_472.37, whole genome shotgun sequence	16452	17444
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	21.627	0.001	38.1	90	SRZC01000024.1 Bacteroidales bacterium strain NM73_A23 NODE_24_length_55852_cov_494.042, whole genome shotgun sequence	31409	30129
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	33.168	3.34e-23	94.4	89	SRZC01000033.1 Bacteroidales bacterium strain NM73_A23 NODE_33_length_26832_cov_456.559, whole genome shotgun sequence	3716	3126
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	33.168	3.34e-23	94.4	89	SRZC01000033.1 Bacteroidales bacterium strain NM73_A23 NODE_33_length_26832_cov_456.559, whole genome shotgun sequence	3716	3126
b8f5k7	4.d.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|b8f5k7|4.d.1.3.2	27.341	1.00e-23	97.1	93	SRZC01000012.1 Bacteroidales bacterium strain NM73_A23 NODE_12_length_107838_cov_470.132, whole genome shotgun sequence	85712	84927
bf638r_1718	2.a.1	n-acetylneuraminate		rxn05487,rxn08050	foo|unknown|bf638r_1718|2.a.1.12.1	24.265	1.49e-13	69.7	93	SRZC01000005.1 Bacteroidales bacterium strain NM73_A23 NODE_5_length_163423_cov_494.24, whole genome shotgun sequence	68825	70024
c1p5z7	4.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	28.947	2.5	21.6	88	SRZC01000003.1 Bacteroidales bacterium strain NM73_A23 NODE_3_length_244219_cov_432.663, whole genome shotgun sequence	211752	211859
c4zzu4	2.a.1	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	26.238	2.32e-36	140	88	SRZC01000005.1 Bacteroidales bacterium strain NM73_A23 NODE_5_length_163423_cov_494.24, whole genome shotgun sequence	68834	69997
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	22.979	0.006	34.7	96	SRZC01000012.1 Bacteroidales bacterium strain NM73_A23 NODE_12_length_107838_cov_470.132, whole genome shotgun sequence	65563	64958
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	24.400	1.05e-09	55.5	100	SRZC01000012.1 Bacteroidales bacterium strain NM73_A23 NODE_12_length_107838_cov_470.132, whole genome shotgun sequence	65560	64934
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	30.734	1.29e-19	85.1	84	SRZC01000010.1 Bacteroidales bacterium strain NM73_A23 NODE_10_length_130099_cov_473.894, whole genome shotgun sequence	19737	20360
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	31.250	6.50e-13	64.7	81	SRZC01000023.1 Bacteroidales bacterium strain NM73_A23 NODE_23_length_61306_cov_443.297, whole genome shotgun sequence	14671	14135
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	26.761	2.34e-16	76.3	76	SRZC01000010.1 Bacteroidales bacterium strain NM73_A23 NODE_10_length_130099_cov_473.894, whole genome shotgun sequence	126747	126115
d7v7w8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v7w8|1.a.8.2.5	31.122	3.58e-10	56.6	82	SRZC01000012.1 Bacteroidales bacterium strain NM73_A23 NODE_12_length_107838_cov_470.132, whole genome shotgun sequence	65560	65039
d7v8e7	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v8e7|1.a.8.2.6	27.941	1.01e-06	46.2	83	SRZC01000012.1 Bacteroidales bacterium strain NM73_A23 NODE_12_length_107838_cov_470.132, whole genome shotgun sequence	65563	65033
d7vey8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vey8|1.a.8.2.7	29.500	1.61e-12	63.9	80	SRZC01000012.1 Bacteroidales bacterium strain NM73_A23 NODE_12_length_107838_cov_470.132, whole genome shotgun sequence	65554	65039
d7vf10	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vf10|1.a.8.13.3	41.204	8.97e-36	130	100	SRZC01000012.1 Bacteroidales bacterium strain NM73_A23 NODE_12_length_107838_cov_470.132, whole genome shotgun sequence	65560	64928
f9ust3	2.a.14	l-lactic acid		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|uniref90|f9ust3|2.a.14.1.3	22.979	0.006	34.7	96	SRZC01000012.1 Bacteroidales bacterium strain NM73_A23 NODE_12_length_107838_cov_470.132, whole genome shotgun sequence	65563	64958
f9vn10	3.d.10	succinate	EX_cpd00036_e0,EX_cpd00036_e0	rxn10138	gnl|tc-db|f9vn10|3.d.10.1.4	29.781	3.71e-50	184	99	SRZC01000016.1 Bacteroidales bacterium strain NM73_A23 NODE_16_length_90289_cov_499.97, whole genome shotgun sequence	45726	47603
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	33.333	1.05e-23	96.7	90	SRZC01000018.1 Bacteroidales bacterium strain NM73_A23 NODE_18_length_88566_cov_479.149, whole genome shotgun sequence	34468	35079
j0hub5	2.a.37	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|j0hub5|2.a.37.1.9	26.994	3.36e-19	87.4	76	SRZC01000003.1 Bacteroidales bacterium strain NM73_A23 NODE_3_length_244219_cov_432.663, whole genome shotgun sequence	53925	54884
j7jie8	2.a.21	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|tc-db|j7jie8|2.a.21.2.4	20.957	1.47e-05	44.7	86	SRZC01000014.1 Bacteroidales bacterium strain NM73_A23 NODE_14_length_101074_cov_443.26, whole genome shotgun sequence	78895	80157
m7akz4	2.a.58	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|m7akz4|2.a.58.2.2	31.365	1.86e-58	207	96	SRZC01000008.1 Bacteroidales bacterium strain NM73_A23 NODE_8_length_136986_cov_447.76, whole genome shotgun sequence	74693	76300
m7akz4	2.a.58	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|m7akz4|2.a.58.2.2	31.365	1.86e-58	207	96	SRZC01000008.1 Bacteroidales bacterium strain NM73_A23 NODE_8_length_136986_cov_447.76, whole genome shotgun sequence	74693	76300
nant_alif1	2.a.21	n-acetylneuraminate		rxn05487,rxn08050	sp|q5e733|nant_alif1|2.a.21.3.7	31.299	1.54e-54	195	95	SRZC01000016.1 Bacteroidales bacterium strain NM73_A23 NODE_16_length_90289_cov_499.97, whole genome shotgun sequence	50910	52433
o00624	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|o00624|2.a.1.14.29	23.416	2.48e-13	69.3	78	SRZC01000005.1 Bacteroidales bacterium strain NM73_A23 NODE_5_length_163423_cov_494.24, whole genome shotgun sequence	68924	69970
o00624	2.a.1	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|o00624|2.a.1.14.29	23.416	2.48e-13	69.3	78	SRZC01000005.1 Bacteroidales bacterium strain NM73_A23 NODE_5_length_163423_cov_494.24, whole genome shotgun sequence	68924	69970
o06930	3.b.1	biotin		rxn05223	gnl|tc-db|o06930|3.b.1.1.4	40.625	5.07e-10	50.4	93	SRZC01000004.1 Bacteroidales bacterium strain NM73_A23 NODE_4_length_170936_cov_461.114, whole genome shotgun sequence	88461	88270
o07488	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|o07488|2.a.53.3.1	26.019	1.32e-45	168	94	SRZC01000020.1 Bacteroidales bacterium strain NM73_A23 NODE_20_length_80860_cov_472.37, whole genome shotgun sequence	15676	14147
o25788	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|o25788|2.a.1.7.7	27.136	3.26e-25	105	88	SRZC01000022.1 Bacteroidales bacterium strain NM73_A23 NODE_22_length_70977_cov_485.049, whole genome shotgun sequence	13289	14482
o25788	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|o25788|2.a.1.7.7	27.136	3.26e-25	105	88	SRZC01000022.1 Bacteroidales bacterium strain NM73_A23 NODE_22_length_70977_cov_485.049, whole genome shotgun sequence	13289	14482
