id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.232	1.76e-19	83.6	99	NODE_3_length_244966_cov_165.578209	80355	81017
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	27.338	3.81e-12	65.1	76	NODE_2_length_317948_cov_168.511563	14176	14970
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	23.855	1.21e-14	75.1	85	NODE_9_length_131232_cov_173.218139	126269	124830
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	23.855	1.21e-14	75.1	85	NODE_9_length_131232_cov_173.218139	126269	124830
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.593	1.44e-44	161	92	NODE_10_length_101591_cov_166.984692	54072	55046
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.593	1.44e-44	161	92	NODE_10_length_101591_cov_166.984692	54072	55046
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	30.838	5.18e-28	112	99	NODE_24_length_62319_cov_232.645015	12448	11471
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	38.095	3.06e-113	366	99	NODE_24_length_62319_cov_232.645015	15155	13662
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	30.919	2.40e-43	159	89	NODE_2_length_317948_cov_168.511563	165224	164163
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.435	3.17e-17	78.6	92	NODE_1_length_424337_cov_172.866059	273828	273091
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	39.385	1.01e-60	207	92	NODE_2_length_317948_cov_168.511563	93571	94509
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.878	5.82e-85	290	76	NODE_11_length_99337_cov_170.344167	94391	95896
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.902	1.06e-50	191	89	NODE_11_length_99337_cov_170.344167	93731	95992
