id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.365	6.36e-22	90.1	99	NODE_11_length_65440_cov_15.997950	20912	21523
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	24.138	5.42e-13	67.0	89	NODE_11_length_65440_cov_15.997950	22481	23395
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.100	9.78e-48	169	80	NODE_2_length_258591_cov_20.299570	172935	172093
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.100	9.78e-48	169	80	NODE_2_length_258591_cov_20.299570	172935	172093
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	25.048	8.10e-23	99.8	92	NODE_11_length_65440_cov_15.997950	40253	38772
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	40.741	6.80e-32	119	79	NODE_6_length_132074_cov_18.487519	116291	115737
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	39.740	1.05e-84	279	95	NODE_2_length_258591_cov_20.299570	26865	25720
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	31.667	5.71e-20	85.9	89	NODE_13_length_60650_cov_23.855975	30743	30045
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	28.218	4.04e-21	94.4	77	NODE_3_length_187362_cov_16.392866	120329	119133
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	28.218	4.04e-21	94.4	77	NODE_3_length_187362_cov_16.392866	120329	119133
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	23.695	2.17e-10	60.1	90	NODE_7_length_119202_cov_21.931433	8831	10069
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	23.695	2.17e-10	60.1	90	NODE_7_length_119202_cov_21.931433	8831	10069
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	27.812	4.38e-12	63.9	85	NODE_4_length_179079_cov_16.580323	75293	74424
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.778	1.75e-94	318	82	NODE_25_length_34801_cov_19.646671	25094	23469
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.167	2.04e-56	207	87	NODE_7_length_119202_cov_21.931433	12150	14336
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	24.811	6.92e-26	109	89	NODE_11_length_65440_cov_15.997950	40265	38784
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	25.740	7.22e-34	134	80	NODE_16_length_58608_cov_21.050811	25153	23849
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	34.115	1.20e-63	220	93	NODE_3_length_187362_cov_16.392866	75631	74237
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	49.889	0.0	779	99	NODE_28_length_26738_cov_14.971306	6260	8908
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	47.426	6.42e-78	257	78	NODE_2_length_258591_cov_20.299570	159552	160355
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	47.426	6.42e-78	257	78	NODE_2_length_258591_cov_20.299570	159552	160355
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	47.426	6.42e-78	257	78	NODE_2_length_258591_cov_20.299570	159552	160355
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	31.906	5.47e-56	198	96	NODE_5_length_161813_cov_20.726319	32966	34333
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	31.906	5.47e-56	198	96	NODE_5_length_161813_cov_20.726319	32966	34333
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	35.175	6.10e-151	495	83	NODE_28_length_26738_cov_14.971306	6314	8911
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	35.175	6.10e-151	495	83	NODE_28_length_26738_cov_14.971306	6314	8911
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.554	2.57e-92	316	97	NODE_7_length_119202_cov_21.931433	11916	14372
