id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	34.031	1.43e-22	91.7	96	scaffold00029	34883	34335
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	40.433	8.67e-43	155	77	scaffold00009	50831	51634
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	40.433	8.67e-43	155	77	scaffold00009	50831	51634
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	63.175	1.28e-111	352	99	scaffold00030	26183	25239
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	56.522	3.41e-100	322	88	scaffold00030	27252	26293
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	72.475	0.0	737	99	scaffold00030	28787	27273
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	39.535	1.32e-25	100	77	scaffold00010	35651	35142
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	55.435	3.16e-128	404	91	scaffold00003	3389	4492
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	51.705	2.72e-35	127	93	scaffold00005	26175	25660
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.642	9.97e-13	64.3	87	scaffold00001	28730	28038
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.540	1.36e-26	111	78	scaffold00029	13393	12152
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.540	1.36e-26	111	78	scaffold00029	13393	12152
a3ffk5	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|a3ffk5|2.a.38.3.4	21.557	0.86	28.9	90	scaffold00016	19174	20439
a3ffk5	2.a.38	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a3ffk5|2.a.38.3.4	21.557	0.86	28.9	90	scaffold00016	19174	20439
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.226	5.02e-89	301	77	scaffold00031	19764	21278
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.280	1.12e-69	247	86	scaffold00031	19200	21362
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	40.631	3.73e-99	325	96	scaffold00016	23954	22476
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	32.135	2.78e-69	236	93	scaffold00002	31863	33173
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	46.480	0.0	708	99	scaffold00012	21346	18719
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	24.510	7.39e-15	72.4	86	scaffold00017	44543	43710
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	24.510	7.39e-15	72.4	86	scaffold00017	44543	43710
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	24.510	7.39e-15	72.4	86	scaffold00017	44543	43710
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.484	1.45e-136	453	83	scaffold00012	21292	18719
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.484	1.45e-136	453	83	scaffold00012	21292	18719
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	28.800	2.38e-86	298	87	scaffold00031	19185	21383
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	36.286	2.14e-39	147	82	scaffold00003	3446	4492
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	30.364	1.12e-22	94.0	87	scaffold00050	3989	4693
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	49.693	2.65e-92	297	96	scaffold00014	55715	56680
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	30.229	1.06e-85	296	82	scaffold00012	21109	19133
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	28.659	5.47e-24	99.0	99	scaffold00034	7208	8170
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	38.191	2.57e-25	100	93	scaffold00009	79528	80109
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	38.191	2.57e-25	100	93	scaffold00009	79528	80109
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	47.143	3.22e-41	142	96	scaffold00009	76707	77126
c4mbg1	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|c4mbg1|2.a.5.3.9	21.533	0.002	36.2	85	scaffold00050	3989	4702
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	44.186	1.99e-21	84.0	81	scaffold00005	81179	81436
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	30.072	2.62e-25	100	95	scaffold00004	98714	97902
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	30.075	8.52e-21	88.2	100	scaffold00036	16670	15873
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	32.593	7.43e-20	81.3	94	scaffold00034	7199	7603
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	33.571	7.71e-36	131	98	scaffold00004	98714	97881
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	34.756	8.52e-95	322	82	scaffold00031	19434	21398
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	79.331	3.52e-166	509	100	scaffold00034	7193	8179
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	62.698	3.68e-57	193	93	scaffold00034	8340	9092
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	67.606	2.44e-127	397	93	scaffold00034	9116	9958
d2qxg0	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|d2qxg0|2.a.49.9.1	32.546	4.38e-33	130	82	scaffold00003	3449	4492
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	42.012	3.83e-55	192	84	scaffold00040	6298	7305
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	27.957	1.77e-13	64.3	100	scaffold00022	15532	16089
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	28.521	1.14e-20	89.0	90	scaffold00018	31900	31070
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	28.523	8.12e-31	119	89	scaffold00007	26624	27508
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	29.776	3.79e-66	232	93	scaffold00021	20478	18766
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	29.776	3.79e-66	232	93	scaffold00021	20478	18766
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	37.615	5.55e-36	132	86	scaffold00001	29574	28936
d5arg8	2.a.88,3.a.1	biotin		rxn09693	gnl|tc-db|d5arg8|3.a.1.25.7	36.111	6.05e-20	83.6	94	scaffold00005	26163	25657
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	31.282	5.68e-27	105	81	scaffold00001	30296	29712
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	33.632	2.13e-31	119	81	scaffold00001	28733	28071
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	36.604	4.62e-42	150	95	scaffold00001	29559	28771
d7ae11	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae11|3.a.1.23.3	24.453	1.4	26.6	95	scaffold00001	28721	27978
d7v7w8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v7w8|1.a.8.2.5	26.415	3.43e-17	77.0	91	scaffold00004	98711	97932
d7v8e7	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v8e7|1.a.8.2.6	31.955	8.24e-32	119	90	scaffold00004	98717	97932
d7vc84	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vc84|1.a.8.2.8	29.537	2.41e-17	77.4	96	scaffold00004	98714	97884
d7vey8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vey8|1.a.8.2.7	44.074	4.63e-64	213	90	scaffold00004	98735	97944
d7vf10	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vf10|1.a.8.13.3	51.131	5.95e-53	179	100	scaffold00012	18557	17895
e0wf79	2.a.3	histidine	EX_cpd00119_e0	rxn05299,rxn08719,rxn09744,rxn13314,rxn34384	gnl|tc-db|e0wf79|2.a.3.2.9	19.792	0.051	32.7	77	scaffold00002	73575	74690
e1uci0	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci0|4.a.6.1.15	56.790	1.98e-108	343	98	scaffold00034	7199	8170
e1uci1	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci1|4.a.6.1.15	67.984	8.81e-56	189	94	scaffold00034	8340	9092
e1uci1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci1|4.a.6.1.15	67.984	8.81e-56	189	94	scaffold00034	8340	9092
e1uci2	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci2|4.a.6.1.15	65.818	1.45e-116	365	91	scaffold00034	9110	9934
e1uci2	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci2|4.a.6.1.15	65.818	1.45e-116	365	91	scaffold00034	9110	9934
esq71096.1	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|esq71096.1|4.a.7.1.6	47.368	3.49e-39	137	97	scaffold00014	35794	36231
f8ikt4	2.a.39	allantoin		rxn05682,rxn08116,rxn09698,rxn34487	gnl|tc-db|f8ikt4|2.a.39.1.4	21.410	0.63	29.3	76	scaffold00008	75518	74490
f8ikt4	2.a.39	cytosine		rxn05527,rxn08266,rxn12428	gnl|tc-db|f8ikt4|2.a.39.1.4	21.410	0.63	29.3	76	scaffold00008	75518	74490
f8ikt4	2.a.39	thiamine		rxn09657	gnl|tc-db|f8ikt4|2.a.39.1.4	21.410	0.63	29.3	76	scaffold00008	75518	74490
f8ikt4	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|f8ikt4|2.a.39.1.4	21.410	0.63	29.3	76	scaffold00008	75518	74490
f8y3b4	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b4|4.a.2.1.21	25.175	1.78e-13	63.2	97	scaffold00040	5476	5901
f8y3b5	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b5|4.a.2.1.21	41.031	9.58e-91	298	98	scaffold00040	5965	7407
f9lxw4	2.a.87	thiamine		rxn09657	gnl|tc-db|f9lxw4|2.a.87.2.3	67.027	5.10e-54	181	99	scaffold00051	2802	2248
f9ust3	2.a.14	l-lactic acid		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|uniref90|f9ust3|2.a.14.1.3	30.072	2.62e-25	100	95	scaffold00004	98714	97902
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	32.093	1.97e-31	118	100	scaffold00042	15090	15707
g8rd42	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8rd42|2.a.38.4.6	30.752	1.07e-36	140	93	scaffold00016	19219	20508
g8v089	2.a.38	potassium		rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|tc-db|g8v089|2.a.38.4.6	32.381	3.40e-36	131	95	scaffold00016	20618	21247
gad20700.1	3.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|gad20700.1|3.a.1.103.7	24.345	5.25e-16	74.3	98	scaffold00017	45481	44696
glpf4_lacpl	2.a.14	d-lactate		rxn08350,rxn09772,rxn10171,rxn12366	sp|f9umx3|glpf4_lacpl|2.a.14.1.3	29.537	2.41e-17	77.4	96	scaffold00004	98714	97884
glpf4_lacpl	2.a.14	glycerol		rxn12529,rxn34380	sp|f9umx3|glpf4_lacpl|2.a.14.1.3	29.537	2.41e-17	77.4	96	scaffold00004	98714	97884
