id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.723	1.81e-19	82.8	84	NODE_41_length_18837_cov_41.191578	7725	7168
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.391	3.58e-09	55.8	92	NODE_4_length_92975_cov_41.191177	87054	88445
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.072	1.02e-81	280	81	NODE_33_length_24673_cov_42.473776	1922	342
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.700	5.16e-79	275	97	NODE_3_length_94787_cov_41.380424	22249	24612
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	46.027	8.77e-141	454	98	NODE_8_length_68603_cov_41.209220	21096	23093
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	46.027	8.77e-141	454	98	NODE_8_length_68603_cov_41.209220	21096	23093
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	49.017	3.95e-166	526	99	NODE_8_length_68603_cov_41.209220	21081	23102
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	49.017	3.95e-166	526	99	NODE_8_length_68603_cov_41.209220	21081	23102
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	22.487	2.62e-28	119	76	NODE_18_length_42104_cov_41.479906	3667	2042
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	57.207	2.43e-179	563	95	NODE_8_length_68603_cov_41.209220	21108	23111
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	57.207	2.43e-179	563	95	NODE_8_length_68603_cov_41.209220	21108	23111
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	31.401	8.17e-116	384	99	NODE_3_length_94787_cov_41.380424	22219	24630
b0suu5	2.a.19	calcium		rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|tc-db|b0suu5|2.a.19.8.1	40.055	1.12e-50	181	80	NODE_59_length_8388_cov_38.033450	3982	5052
b0suu5	2.a.19	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b0suu5|2.a.19.8.1	40.055	1.12e-50	181	80	NODE_59_length_8388_cov_38.033450	3982	5052
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	30.485	1.09e-32	129	86	NODE_18_length_42104_cov_41.479906	9487	8324
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	41.176	3.32e-114	374	98	NODE_8_length_68603_cov_41.209220	21168	23090
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	31.818	6.38e-21	89.0	86	NODE_1_length_138214_cov_42.010417	133677	133003
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	52.511	8.28e-178	559	99	NODE_8_length_68603_cov_41.209220	21096	23102
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	52.511	8.28e-178	559	99	NODE_8_length_68603_cov_41.209220	21096	23102
b3ecg7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg7|3.a.10.3.2	30.350	3.02e-58	213	85	NODE_8_length_68603_cov_41.209220	21141	23075
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	52.888	3.92e-112	354	98	NODE_30_length_26943_cov_42.184732	17148	18134
b5jqt8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	46.383	6.08e-128	416	96	NODE_8_length_68603_cov_41.209220	21144	23099
b5jqt8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	46.383	6.08e-128	416	96	NODE_8_length_68603_cov_41.209220	21144	23099
b6yqj7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b6yqj7|3.a.10.3.4	30.109	2.95e-61	222	89	NODE_8_length_68603_cov_41.209220	21090	23099
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	36.264	1.53e-24	97.4	95	NODE_3_length_94787_cov_41.380424	79278	79814
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	36.264	1.53e-24	97.4	95	NODE_3_length_94787_cov_41.380424	79278	79814
b8f5k7	4.d.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|b8f5k7|4.d.1.3.2	36.585	5.80e-40	143	97	NODE_2_length_112282_cov_41.854347	45864	45142
b8gze9	2.a.6	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|b8gze9|2.a.6.1.16	26.673	7.10e-64	234	98	NODE_12_length_52323_cov_42.185067	39781	42849
b8gze9	2.a.6	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|b8gze9|2.a.6.1.16	26.673	7.10e-64	234	98	NODE_12_length_52323_cov_42.185067	39781	42849
b8gze9	2.a.6	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b8gze9|2.a.6.1.16	26.673	7.10e-64	234	98	NODE_12_length_52323_cov_42.185067	39781	42849
c4ikv8	2.a.16	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|c4ikv8|2.a.16.6.2	19.630	0.002	36.6	82	NODE_11_length_55779_cov_41.467344	49075	49866
c4ikv8	2.a.16	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|c4ikv8|2.a.16.6.2	19.630	0.002	36.6	82	NODE_11_length_55779_cov_41.467344	49075	49866
c4ikv8	2.a.16	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|c4ikv8|2.a.16.6.2	19.630	0.002	36.6	82	NODE_11_length_55779_cov_41.467344	49075	49866
c4ikv8	2.a.16	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|c4ikv8|2.a.16.6.2	19.630	0.002	36.6	82	NODE_11_length_55779_cov_41.467344	49075	49866
