id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	27.410	2.90e-20	90.5	76	scaffold00004	26437	27342
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.461	2.23e-25	100	93	scaffold00001	315900	316469
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	30.880	8.13e-55	198	89	scaffold00012	53390	54988
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	30.880	8.13e-55	198	89	scaffold00012	53390	54988
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	35.000	5.22e-53	190	87	scaffold00003	232403	233770
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	35.000	5.22e-53	190	87	scaffold00003	232403	233770
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	35.052	7.89e-61	209	98	scaffold00004	26317	27471
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	35.052	7.89e-61	209	98	scaffold00004	26317	27471
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	34.031	1.42e-57	201	91	scaffold00004	26290	27405
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	34.031	1.42e-57	201	91	scaffold00004	26290	27405
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	24.416	1.90e-12	66.6	93	scaffold00002	73784	72444
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.966	1.20e-88	301	83	scaffold00005	71269	69623
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.658	1.73e-07	50.8	82	scaffold00003	232511	233773
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	29.954	4.00e-36	140	75	scaffold00003	232553	233776
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	21.472	8.35e-10	58.5	87	scaffold00002	73721	72327
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	42.353	9.14e-66	219	87	scaffold00040	2795	3553
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	32.281	7.14e-44	156	95	scaffold00040	2795	3646
a6tp82	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp82|2.a.59.1.5	38.246	6.03e-64	214	95	scaffold00040	2795	3643
a6tp83	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tp83|2.a.59.1.5	31.707	9.89e-44	156	95	scaffold00040	2795	3652
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	24.444	3.78e-20	90.9	82	scaffold00020	29342	28155
a8anm6	2.a.104	l-alanine		rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|a8anm6|2.a.104.1.1	23.611	1.9	25.4	93	scaffold00001	197368	197772
a8ut57	2.a.1	gtp	EX_cpd00038_e0	rxn29736,rxn29868	gnl|tc-db|a8ut57|2.a.1.59.4	34.943	6.90e-50	177	89	scaffold00016	38436	39491
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	33.641	3.76e-104	353	80	scaffold00003	240982	238847
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	28.070	8.40e-42	157	93	scaffold00003	232391	233788
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	25.296	6.73e-41	154	89	scaffold00003	232391	233788
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	27.869	5.46e-47	172	96	scaffold00003	232271	233785
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	25.000	1.06e-29	121	83	scaffold00003	232331	233788
apa39363.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|apa39363.1|2.a.1.9.13	21.413	0.001	38.5	86	scaffold00003	232511	233776
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	31.915	1.35e-62	218	93	scaffold00011	47957	49351
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	31.915	1.35e-62	218	93	scaffold00011	47957	49351
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	27.340	2.97e-24	103	82	scaffold00002	114741	115835
b3ee21	2.a.37	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b3ee21|2.a.37.2.5	34.709	7.57e-117	385	88	scaffold00018	35145	37076
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	43.626	2.69e-84	275	98	scaffold00013	59749	60795
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	25.779	1.72e-45	174	81	scaffold00003	240748	238817
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	31.683	2.43e-19	82.8	89	scaffold00018	37231	37821
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	31.683	2.43e-19	82.8	89	scaffold00018	37231	37821
b8gze9	2.a.6	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|b8gze9|2.a.6.1.16	25.439	2.63e-65	239	94	scaffold00008	4478	7456
b8gze9	2.a.6	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|b8gze9|2.a.6.1.16	25.439	2.63e-65	239	94	scaffold00008	4478	7456
b8gze9	2.a.6	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b8gze9|2.a.6.1.16	25.439	2.63e-65	239	94	scaffold00008	4478	7456
c1p5z7	4.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	30.303	7.9	20.0	77	scaffold00003	174353	174261
c4b4v9	2.a.1	l-arabinose		rxn05500,rxn08140,rxn08141	gnl|tc-db|c4b4v9|2.a.1.1.116	30.095	2.38e-58	205	99	scaffold00003	232277	233797
c4qvv9	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|c4qvv9|2.a.1.1.125	24.340	6.40e-28	115	90	scaffold00003	232295	233788
c4qvv9	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|c4qvv9|2.a.1.1.125	24.340	6.40e-28	115	90	scaffold00003	232295	233788
c4zzu4	2.a.1	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	22.222	3.1	26.9	81	scaffold00007	138064	137060
