id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.534	4.91e-19	81.3	89	scaffold00014	11014	11589
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	25.589	2.56e-14	70.1	92	scaffold00015	13802	12933
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	37.975	2.13e-45	161	99	scaffold00002	270255	269338
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	33.425	2.65e-32	125	99	scaffold00002	271325	270279
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	46.293	8.22e-137	433	98	scaffold00002	272873	271377
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.632	1.65e-14	69.3	89	scaffold00006	39984	39304
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.215	1.04e-81	280	81	scaffold00004	17017	18633
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	22.438	1.32e-41	161	87	scaffold00001	164981	167248
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	36.939	1.28e-86	289	92	scaffold00002	272873	271428
a7nrg1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a7nrg1|3.a.1.26.5	28.112	6.98e-05	39.7	98	scaffold00004	91369	92100
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	44.470	0.0	672	97	scaffold00001	234321	236900
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	30.864	1.96e-21	92.4	88	scaffold00004	89562	90434
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	30.864	1.96e-21	92.4	88	scaffold00004	89562	90434
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	30.864	1.96e-21	92.4	88	scaffold00004	89562	90434
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	26.396	0.13	29.3	83	scaffold00002	130778	130212
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	25.187	1.30e-30	124	92	scaffold00002	26673	28124
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	23.545	1.63e-25	107	78	scaffold00001	126704	125613
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	23.545	1.63e-25	107	78	scaffold00001	126704	125613
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.024	9.64e-145	477	85	scaffold00001	234330	236984
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.024	9.64e-145	477	85	scaffold00001	234330	236984
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	27.504	1.10e-74	263	77	scaffold00001	165335	167281
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	31.687	9.81e-19	82.4	87	scaffold00001	145039	145713
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	48.193	1.64e-92	298	98	scaffold00002	322047	321055
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	30.216	7.49e-80	278	79	scaffold00001	234618	236534
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	26.708	5.54e-23	95.9	99	scaffold00005	32913	31951
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	35.354	6.90e-26	101	91	scaffold00002	331292	331873
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	35.354	6.90e-26	101	91	scaffold00002	331292	331873
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	25.000	7.84e-15	66.6	98	scaffold00003	159007	159429
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	42.697	2.50e-16	69.3	84	scaffold00004	186529	186263
c6pwg8	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|c6pwg8|4.a.7.1.3	29.040	1.20e-44	162	93	scaffold00003	159600	160871
c8x384	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|c8x384|4.a.6.2.2	34.921	1.81e-07	45.1	90	scaffold00002	290445	290071
c9mz78	4.a.5	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c9mz78|4.a.5.1.6	46.753	1.68e-20	80.5	85	scaffold00011	39089	39319
c9mz78	4.a.5	lactose	EX_cpd00208_e0	rxn10865	gnl|tc-db|c9mz78|4.a.5.1.6	46.753	1.68e-20	80.5	85	scaffold00011	39089	39319
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	32.735	1.42e-26	104	87	scaffold00002	296938	297603
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	28.889	3.27e-16	70.5	96	scaffold00005	32925	32521
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	39.549	2.86e-98	332	81	scaffold00001	165305	167281
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	53.659	2.21e-101	323	99	scaffold00005	32922	31945
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	55.597	1.38e-57	194	98	scaffold00005	31900	31100
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	62.116	6.22e-114	358	93	scaffold00005	31076	30219
d2rdx9	2.a.20	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|d2rdx9|2.a.20.3.4	25.723	5.35e-11	59.7	94	scaffold00002	81215	80286
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	38.798	5.98e-41	151	90	scaffold00003	14179	13106
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	25.424	2.98e-08	48.9	97	scaffold00004	88970	89479
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	33.451	3.77e-42	151	92	scaffold00002	118444	117596
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	33.333	4.38e-68	238	76	scaffold00001	149022	150389
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	33.333	4.38e-68	238	76	scaffold00001	149022	150389
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	39.706	2.65e-32	121	85	scaffold00004	89556	90155
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	33.040	3.64e-26	102	98	scaffold00004	89523	90203
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	31.897	9.28e-31	117	84	scaffold00004	91315	92004
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	39.367	4.31e-45	159	83	scaffold00001	104913	105575
d9rf44	2.a.20	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|d9rf44|2.a.20.1.7	47.022	7.75e-61	206	95	scaffold00002	81257	80313
e1uci0	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci0|4.a.6.1.15	51.852	3.53e-103	328	98	scaffold00005	32925	31954
e1uci1	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci1|4.a.6.1.15	68.966	2.15e-58	197	96	scaffold00005	31873	31100
e1uci1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci1|4.a.6.1.15	68.966	2.15e-58	197	96	scaffold00005	31873	31100
e1uci2	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci2|4.a.6.1.15	72.222	2.20e-126	394	88	scaffold00005	31067	30258
e1uci2	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci2|4.a.6.1.15	72.222	2.20e-126	394	88	scaffold00005	31067	30258
esq71096.1	4.a.7	ascorbate		rxn08158,rxn13758	gnl|tc-db|esq71096.1|4.a.7.1.6	33.333	1.38e-24	95.1	95	scaffold00003	158992	159414
f8g8a9	2.a.118	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|f8g8a9|2.a.118.1.5	23.952	7.10e-20	89.7	96	scaffold00004	203671	202202
f8g8a9	2.a.118	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|f8g8a9|2.a.118.1.5	23.952	7.10e-20	89.7	96	scaffold00004	203671	202202
f8y3b4	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b4|4.a.2.1.21	44.000	2.87e-29	108	95	scaffold00001	184982	184608
f8y3b5	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|f8y3b5|4.a.2.1.21	53.131	3.61e-134	423	99	scaffold00001	186625	185153
f9z4g3	2.a.118	c4-dicarboxylate		rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|tc-db|f9z4g3|2.a.118.1.3	27.477	3.58e-33	131	79	scaffold00006	76102	74819
f9z4g3	2.a.118	c4-dicarboxylate		rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|tc-db|f9z4g3|2.a.118.1.3	27.477	3.58e-33	131	79	scaffold00006	76102	74819
f9z4g3	2.a.118	c4-dicarboxylate		rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|tc-db|f9z4g3|2.a.118.1.3	27.477	3.58e-33	131	79	scaffold00006	76102	74819
f9z4g3	2.a.118	c4-dicarboxylate		rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|tc-db|f9z4g3|2.a.118.1.3	27.477	3.58e-33	131	79	scaffold00006	76102	74819
g5eb95	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g5eb95|3.a.1.5.40	33.491	2.07e-31	118	100	scaffold00002	311312	310695
g8v0i4	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|g8v0i4|3.a.1.5.33	24.406	5.93e-20	90.5	80	scaffold00002	316131	314854
gad20700.1	3.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|gad20700.1|3.a.1.103.7	28.063	2.37e-12	63.2	92	scaffold00007	103506	102793
i4g6g7	3.a.3	magnesium		rxn08924,rxn10571	gnl|tc-db|i4g6g7|3.a.3.4.5	27.582	5.42e-70	251	77	scaffold00001	234351	236465
