id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	26.582	4.02e-22	96.7	88	NODE_1_length_991348_cov_76.006308	305761	306906
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	27.660	6.44e-18	78.6	100	NODE_3_length_642389_cov_104.483893	57825	57271
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	35.759	2.00e-50	178	90	NODE_1_length_991348_cov_76.006308	56991	57908
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	35.759	2.00e-50	178	90	NODE_1_length_991348_cov_76.006308	56991	57908
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	27.778	1.73e-38	144	96	NODE_1_length_991348_cov_76.006308	305686	306906
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	27.778	1.73e-38	144	96	NODE_1_length_991348_cov_76.006308	305686	306906
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	29.009	4.85e-46	167	93	NODE_1_length_991348_cov_76.006308	305686	306930
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	29.009	4.85e-46	167	93	NODE_1_length_991348_cov_76.006308	305686	306930
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	43.260	3.94e-58	199	99	NODE_5_length_175732_cov_123.690658	59049	59981
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	35.604	8.61e-40	147	88	NODE_5_length_175732_cov_123.690658	57994	58941
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	56.615	0.0	579	99	NODE_5_length_175732_cov_123.690658	56421	57962
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	42.105	7.93e-29	110	75	NODE_2_length_983206_cov_98.192736	145633	145124
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	36.829	2.71e-64	220	96	NODE_1_length_991348_cov_76.006308	109071	107917
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.063	1.93e-16	75.9	91	NODE_10_length_57295_cov_149.650504	53693	54412
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	33.573	1.01e-86	295	80	NODE_3_length_642389_cov_104.483893	40800	39196
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.024	3.49e-58	213	87	NODE_3_length_642389_cov_104.483893	41361	39157
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	27.465	1.32e-16	78.6	79	NODE_1_length_991348_cov_76.006308	583138	582344
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	47.316	3.05e-136	433	96	NODE_1_length_991348_cov_76.006308	585618	584146
