id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.122	1.26e-22	92.4	99	NODE_10_length_125519_cov_16.089460	53156	52572
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	25.685	4.97e-15	73.6	81	NODE_3_length_492833_cov_20.306525	282002	281178
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	27.517	6.37e-17	79.0	92	NODE_3_length_492833_cov_20.306525	25090	25971
a0l3e7	2.a.51	chromate	EX_cpd11595_e0	rxn05526,rxn13686	gnl|tc-db|a0l3e7|2.a.51.1.4	25.587	3.63e-22	97.4	83	NODE_4_length_477505_cov_24.202653	185128	184133
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	27.574	2.47e-43	164	89	NODE_8_length_195673_cov_13.915392	72025	70538
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	27.574	2.47e-43	164	89	NODE_8_length_195673_cov_13.915392	72025	70538
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	30.961	7.38e-39	142	93	NODE_3_length_492833_cov_20.306525	375625	376464
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	30.961	7.38e-39	142	93	NODE_3_length_492833_cov_20.306525	375625	376464
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	30.961	7.38e-39	142	93	NODE_3_length_492833_cov_20.306525	375625	376464
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	34.763	3.45e-47	173	88	NODE_6_length_210167_cov_20.768356	2256	979
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	34.763	3.45e-47	173	88	NODE_6_length_210167_cov_20.768356	2256	979
