id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	33.136	6.48e-19	81.6	90	NODE_11_length_63577_cov_128.636945	35583	35086
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	23.361	2.6	26.6	79	NODE_1_length_698625_cov_185.365335	343660	344370
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	23.361	2.6	26.6	79	NODE_1_length_698625_cov_185.365335	343660	344370
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	23.361	2.6	26.6	79	NODE_1_length_698625_cov_185.365335	343660	344370
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.900	5.88e-41	150	81	NODE_2_length_526104_cov_122.799478	253288	254085
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.900	5.88e-41	150	81	NODE_2_length_526104_cov_122.799478	253288	254085
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	39.823	8.43e-53	183	97	NODE_7_length_247527_cov_136.577769	213408	214424
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	34.706	1.33e-33	129	86	NODE_7_length_247527_cov_136.577769	212188	213207
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	53.663	3.60e-169	526	99	NODE_7_length_247527_cov_136.577769	210617	212125
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	33.161	1.38e-56	197	94	NODE_3_length_329378_cov_140.787580	253115	254263
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	28.346	3.73e-15	71.6	92	NODE_4_length_327718_cov_137.749888	203151	203885
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	36.331	7.33e-92	310	81	NODE_1_length_698625_cov_185.365335	144592	143012
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.401	4.45e-57	209	86	NODE_2_length_526104_cov_122.799478	511714	513903
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	53.826	4.03e-175	554	99	NODE_11_length_63577_cov_128.636945	41908	39920
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	53.826	4.03e-175	554	99	NODE_11_length_63577_cov_128.636945	41908	39920
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	42.226	1.66e-122	393	98	NODE_7_length_247527_cov_136.577769	231342	232871
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	60.765	0.0	698	99	NODE_11_length_63577_cov_128.636945	41890	39914
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	60.765	0.0	698	99	NODE_11_length_63577_cov_128.636945	41890	39914
a8ut57	2.a.1	gtp	EX_cpd00038_e0	rxn29736,rxn29868	gnl|tc-db|a8ut57|2.a.1.59.4	37.859	1.28e-52	185	94	NODE_1_length_698625_cov_185.365335	3261	2116
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.103	0.0	742	99	NODE_13_length_25416_cov_134.165713	13493	10878
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	28.223	3.51e-19	85.9	78	NODE_4_length_327718_cov_137.749888	137669	138454
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	28.223	3.51e-19	85.9	78	NODE_4_length_327718_cov_137.749888	137669	138454
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	28.223	3.51e-19	85.9	78	NODE_4_length_327718_cov_137.749888	137669	138454
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	26.230	9.22e-11	57.8	95	NODE_4_length_327718_cov_137.749888	203202	203918
