id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	22.951	2.57e-14	72.4	84	CP021421.1 Muribaculum intestinale strain YL27 genome	3056680	3057738
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	29.121	1.74e-23	94.7	99	CP021421.1 Muribaculum intestinale strain YL27 genome	1750965	1751498
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	21.561	4.66e-07	48.5	78	CP021421.1 Muribaculum intestinale strain YL27 genome	1750072	1750851
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	31.707	1.77e-33	127	95	CP021421.1 Muribaculum intestinale strain YL27 genome	3039146	3040003
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	31.707	1.77e-33	127	95	CP021421.1 Muribaculum intestinale strain YL27 genome	3039146	3040003
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	31.707	1.77e-33	127	95	CP021421.1 Muribaculum intestinale strain YL27 genome	3039146	3040003
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	32.365	1.39e-43	162	88	CP021421.1 Muribaculum intestinale strain YL27 genome	984892	983516
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	32.365	1.39e-43	162	88	CP021421.1 Muribaculum intestinale strain YL27 genome	984892	983516
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	29.040	6.22e-43	157	97	CP021421.1 Muribaculum intestinale strain YL27 genome	3056644	3057822
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	29.040	6.22e-43	157	97	CP021421.1 Muribaculum intestinale strain YL27 genome	3056644	3057822
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	31.234	6.03e-45	164	92	CP021421.1 Muribaculum intestinale strain YL27 genome	3056641	3057822
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	31.234	6.03e-45	164	92	CP021421.1 Muribaculum intestinale strain YL27 genome	3056641	3057822
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.951	7.92e-15	74.7	93	CP021421.1 Muribaculum intestinale strain YL27 genome	2580466	2578955
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	25.060	1.57e-08	53.5	94	CP021421.1 Muribaculum intestinale strain YL27 genome	2131348	2132574
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	31.698	2.63e-68	241	76	CP021421.1 Muribaculum intestinale strain YL27 genome	3040629	3042125
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	23.489	1.08e-55	206	86	CP021421.1 Muribaculum intestinale strain YL27 genome	3040089	3042221
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	27.810	2.71e-38	147	91	CP021421.1 Muribaculum intestinale strain YL27 genome	984967	983492
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	21.569	7.66e-12	65.1	86	CP021421.1 Muribaculum intestinale strain YL27 genome	431639	430353
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	21.277	6.94e-20	92.4	79	CP021421.1 Muribaculum intestinale strain YL27 genome	2332356	2330662
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	21.083	8.28e-08	52.0	97	CP021421.1 Muribaculum intestinale strain YL27 genome	2642597	2644006
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	23.697	0.83	27.7	85	CP021421.1 Muribaculum intestinale strain YL27 genome	2346518	2345913
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	27.002	2.44e-42	159	99	CP021421.1 Muribaculum intestinale strain YL27 genome	984913	983471
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	26.482	3.05e-38	147	90	CP021421.1 Muribaculum intestinale strain YL27 genome	984904	983501
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	30.000	3.28e-49	179	96	CP021421.1 Muribaculum intestinale strain YL27 genome	984961	983465
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	25.781	2.88e-27	114	82	CP021421.1 Muribaculum intestinale strain YL27 genome	984949	983504
apa39363.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|apa39363.1|2.a.1.9.13	21.935	5.44e-13	68.9	89	CP021421.1 Muribaculum intestinale strain YL27 genome	2642765	2644009
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	20.716	4.98e-05	42.7	79	CP021421.1 Muribaculum intestinale strain YL27 genome	840935	841978
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	20.716	4.98e-05	42.7	79	CP021421.1 Muribaculum intestinale strain YL27 genome	840935	841978
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	26.810	4.98e-79	276	87	CP021421.1 Muribaculum intestinale strain YL27 genome	3040071	3042245
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	53.306	5.64e-73	239	88	CP021421.1 Muribaculum intestinale strain YL27 genome	1826478	1827176
b3ee21	2.a.37	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|b3ee21|2.a.37.2.5	37.733	2.59e-126	412	87	CP021421.1 Muribaculum intestinale strain YL27 genome	1146219	1148111
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	46.707	1.01e-96	310	99	CP021421.1 Muribaculum intestinale strain YL27 genome	1434134	1435126
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	26.337	2.96e-52	195	83	CP021421.1 Muribaculum intestinale strain YL27 genome	2339437	2337422
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	28.713	5.75e-18	79.0	93	CP021421.1 Muribaculum intestinale strain YL27 genome	1469261	1469851
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	28.713	5.75e-18	79.0	93	CP021421.1 Muribaculum intestinale strain YL27 genome	1469261	1469851
b8gze9	2.a.6	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|b8gze9|2.a.6.1.16	32.895	2.93e-110	376	98	CP021421.1 Muribaculum intestinale strain YL27 genome	3065181	3062062
b8gze9	2.a.6	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|b8gze9|2.a.6.1.16	32.895	2.93e-110	376	98	CP021421.1 Muribaculum intestinale strain YL27 genome	3065181	3062062
b8gze9	2.a.6	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b8gze9|2.a.6.1.16	32.895	2.93e-110	376	98	CP021421.1 Muribaculum intestinale strain YL27 genome	3065181	3062062
bf638r_1718	2.a.1	n-acetylneuraminate		rxn05487,rxn08050	foo|unknown|bf638r_1718|2.a.1.12.1	62.228	1.47e-167	518	99	CP021421.1 Muribaculum intestinale strain YL27 genome	1802953	1801736
c1p5z7	4.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	36.842	1.9	21.9	81	CP021421.1 Muribaculum intestinale strain YL27 genome	2746556	2746669
c4b4v9	2.a.1	l-arabinose		rxn05500,rxn08140,rxn08141	gnl|tc-db|c4b4v9|2.a.1.1.116	31.601	4.05e-54	193	90	CP021421.1 Muribaculum intestinale strain YL27 genome	984910	983516
c4qvv9	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|c4qvv9|2.a.1.1.125	23.077	4.27e-28	116	86	CP021421.1 Muribaculum intestinale strain YL27 genome	984949	983504
c4qvv9	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|c4qvv9|2.a.1.1.125	23.077	4.27e-28	116	86	CP021421.1 Muribaculum intestinale strain YL27 genome	984949	983504
