id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	23.288	8.09e-15	69.3	96	NODE_10_length_83228_cov_11.763551	962	324
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	32.884	2.20e-43	157	97	NODE_15_length_55950_cov_12.727972	14414	15493
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	32.884	2.20e-43	157	97	NODE_15_length_55950_cov_12.727972	14414	15493
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	23.077	2.34e-17	82.0	94	NODE_10_length_83228_cov_11.763551	26802	25276
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	30.645	4.66e-18	80.1	89	NODE_27_length_23039_cov_10.723717	1839	1129
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	35.655	1.61e-79	273	82	NODE_7_length_110779_cov_11.915349	45012	43291
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	24.640	1.80e-45	173	87	NODE_20_length_46043_cov_11.222599	26554	24344
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.445	5.69e-11	62.0	83	NODE_10_length_83228_cov_11.763551	26814	25399
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	34.607	4.25e-139	455	99	NODE_15_length_55950_cov_12.727972	52928	55537
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	25.083	1.97e-10	58.5	79	NODE_23_length_28102_cov_10.935593	6450	7313
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	25.083	1.97e-10	58.5	79	NODE_23_length_28102_cov_10.935593	6450	7313
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	25.083	1.97e-10	58.5	79	NODE_23_length_28102_cov_10.935593	6450	7313
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	30.963	6.87e-114	386	84	NODE_15_length_55950_cov_12.727972	52940	55537
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	30.963	6.87e-114	386	84	NODE_15_length_55950_cov_12.727972	52940	55537
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	29.412	2.11e-80	280	96	NODE_20_length_46043_cov_11.222599	26740	24308
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	28.340	5.05e-14	68.6	86	NODE_8_length_110226_cov_12.058158	105736	105071
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	46.724	1.22e-89	290	98	NODE_6_length_120457_cov_11.361671	6614	5574
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	29.872	2.66e-64	231	81	NODE_15_length_55950_cov_12.727972	53222	55183
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	30.973	4.11e-23	93.6	90	NODE_15_length_55950_cov_12.727972	14411	15079
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	30.973	4.11e-23	93.6	90	NODE_15_length_55950_cov_12.727972	14411	15079
c1p5z7	4.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	36.364	7.4	20.0	77	NODE_3_length_199591_cov_12.341485	158208	158297
d3ewm9	2.a.87	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|d3ewm9|2.a.87.1.3	32.124	7.64e-23	91.3	98	NODE_2_length_211268_cov_11.757807	25169	25747
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	30.000	2.77e-29	114	91	NODE_9_length_108569_cov_15.462486	73798	74634
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	31.852	2.04e-30	118	82	NODE_3_length_199591_cov_12.341485	84934	85737
