id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.351	4.08e-27	104	99	NODE_2_length_374787_cov_160.209196	142450	141884
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	22.436	1.83e-09	57.0	78	NODE_3_length_343051_cov_64.432345	308460	307165
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	22.436	1.83e-09	57.0	78	NODE_3_length_343051_cov_64.432345	308460	307165
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	28.125	1.14e-22	94.7	95	NODE_8_length_68374_cov_108.213538	4131	4979
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	28.125	1.14e-22	94.7	95	NODE_8_length_68374_cov_108.213538	4131	4979
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	28.125	1.14e-22	94.7	95	NODE_8_length_68374_cov_108.213538	4131	4979
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	39.519	1.07e-45	163	81	NODE_1_length_567181_cov_82.378536	95083	95931
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	39.519	1.07e-45	163	81	NODE_1_length_567181_cov_82.378536	95083	95931
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	63.208	6.05e-116	364	100	NODE_3_length_343051_cov_64.432345	71028	70075
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	50.155	4.82e-80	263	88	NODE_3_length_343051_cov_64.432345	72173	71211
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	61.044	0.0	625	98	NODE_3_length_343051_cov_64.432345	73700	72207
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	26.908	1.03e-19	84.7	91	NODE_6_length_83600_cov_119.339918	3188	2472
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	26.139	4.76e-21	94.0	77	NODE_6_length_83600_cov_119.339918	80784	82013
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	26.139	4.76e-21	94.0	77	NODE_6_length_83600_cov_119.339918	80784	82013
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	34.888	1.71e-83	285	82	NODE_2_length_374787_cov_160.209196	289693	291216
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	36.777	1.01e-91	303	91	NODE_3_length_343051_cov_64.432345	73694	72267
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	25.105	3.61e-40	151	96	NODE_1_length_567181_cov_82.378536	498329	496947
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	21.510	1.00e-07	50.8	86	NODE_3_length_343051_cov_64.432345	308442	307174
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	48.387	0.0	764	99	NODE_5_length_87338_cov_110.492018	51683	49044
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	31.633	9.11e-39	143	83	NODE_1_length_567181_cov_82.378536	485619	484750
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	31.633	9.11e-39	143	83	NODE_1_length_567181_cov_82.378536	485619	484750
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	31.633	9.11e-39	143	83	NODE_1_length_567181_cov_82.378536	485619	484750
a9wga9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a9wga9|3.a.1.26.1	24.800	3.62e-11	58.5	99	NODE_6_length_83600_cov_119.339918	3161	2415
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	24.331	7.85e-12	64.3	78	NODE_2_length_374787_cov_160.209196	300196	301272
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	31.933	9.42e-63	218	96	NODE_5_length_87338_cov_110.492018	32408	33814
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	31.933	9.42e-63	218	96	NODE_5_length_87338_cov_110.492018	32408	33814
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.581	7.45e-151	494	88	NODE_5_length_87338_cov_110.492018	51752	49041
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.581	7.45e-151	494	88	NODE_5_length_87338_cov_110.492018	51752	49041
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	49.226	1.35e-89	289	94	NODE_1_length_567181_cov_82.378536	85808	86764
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	32.413	4.18e-88	303	81	NODE_5_length_87338_cov_110.492018	51431	49470
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	24.048	1.71e-07	50.1	81	NODE_1_length_567181_cov_82.378536	498200	497034
b3wb09	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|b3wb09|4.a.6.1.13	46.104	6.14e-76	249	99	NODE_5_length_87338_cov_110.492018	63866	62973
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	36.612	4.82e-28	107	98	NODE_2_length_374787_cov_160.209196	19918	19379
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	36.612	4.82e-28	107	98	NODE_2_length_374787_cov_160.209196	19918	19379
baig_closv	2.a.1	chenodeoxycholate		rxn40935	sp|p32369|baig_closv|2.a.1.3.13	23.136	1.05e-12	67.0	80	NODE_5_length_87338_cov_110.492018	26269	25130
baig_closv	2.a.1	cholate	EX_cpd00526_e0	rxn47305	sp|p32369|baig_closv|2.a.1.3.13	23.136	1.05e-12	67.0	80	NODE_5_length_87338_cov_110.492018	26269	25130
baig_closv	2.a.1	deoxycholate		rxn43262	sp|p32369|baig_closv|2.a.1.3.13	23.136	1.05e-12	67.0	80	NODE_5_length_87338_cov_110.492018	26269	25130
baig_closv	2.a.1	lithocholate		rxn90083	sp|p32369|baig_closv|2.a.1.3.13	23.136	1.05e-12	67.0	80	NODE_5_length_87338_cov_110.492018	26269	25130
c0h3v2	4.a.2	mannitol	EX_cpd00314_e0	rxn05617,rxn08949,rxn13934,rxn13944,rxn27343	gnl|tc-db|c0h3v2|4.a.2.1.5	48.921	6.41e-42	144	94	NODE_1_length_567181_cov_82.378536	108198	108614
c1p5z7	4.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05226,rxn08612	gnl|tc-db|c1p5z7|4.a.1.1.1	38.889	1.3	21.9	79	NODE_1_length_567181_cov_82.378536	78593	78489
c4b4v9	2.a.1	l-arabinose		rxn05500,rxn08140,rxn08141	gnl|tc-db|c4b4v9|2.a.1.1.116	24.131	5.31e-16	77.4	96	NODE_2_length_374787_cov_160.209196	300109	301455
c4x744	4.a.3	cellobiose	EX_cpd00158_e0	rxn05518,rxn30252	gnl|tc-db|c4x744|4.a.3.2.7	42.718	1.13e-15	67.4	88	NODE_1_length_567181_cov_82.378536	246977	247279
c4zzu4	2.a.1	d-glucarate		rxn05572,rxn08613	gnl|tc-db|c4zzu4|2.a.1.14.40	21.932	9.05e-08	50.8	84	NODE_7_length_70488_cov_141.638054	37766	38866
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	37.450	1.67e-37	135	99	NODE_3_length_343051_cov_64.432345	19228	19965
c8u8g2	2.a.3	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|c8u8g2|2.a.3.7.3	36.111	2.19e-74	253	91	NODE_2_length_374787_cov_160.209196	368744	370135
caq67972.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67972.1|4.a.6.1.25	29.317	1.18e-11	60.8	98	NODE_5_length_87338_cov_110.492018	62953	62225
caq67974.1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|caq67974.1|4.a.6.1.25	33.846	2.01e-19	79.7	91	NODE_5_length_87338_cov_110.492018	86967	86581
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	36.735	7.27e-40	142	97	NODE_5_length_87338_cov_110.492018	22021	22731
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	36.306	5.67e-111	369	79	NODE_2_length_374787_cov_160.209196	289414	291252
d2bky7	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky7|4.a.6.1.11	53.517	7.77e-111	350	98	NODE_5_length_87338_cov_110.492018	86964	85987
d2bky8	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky8|4.a.6.1.11	57.303	5.59e-58	196	98	NODE_5_length_87338_cov_110.492018	85934	85140
d2bky9	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|d2bky9|4.a.6.1.11	64.706	1.85e-122	382	93	NODE_5_length_87338_cov_110.492018	85108	84251
d2rxa8	4.a.2	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|d2rxa8|4.a.2.1.14	36.667	1.51e-35	135	81	NODE_2_length_374787_cov_160.209196	145299	144352
d3r797	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r797|3.a.1.1.53	22.182	1.30e-16	76.6	89	NODE_2_length_374787_cov_160.209196	18026	17211
d3r798	3.a.1	raffinose	EX_cpd00382_e0,EX_cpd00382_e0	rxn18495	gnl|tc-db|d3r798|3.a.1.1.53	28.044	4.09e-21	90.9	78	NODE_2_length_374787_cov_160.209196	18917	18135
d5al45	3.a.1	heme		rxn05148,rxn09115,rxn27591	gnl|tc-db|d5al45|3.a.1.210.15	30.252	1.22e-58	209	76	NODE_1_length_567181_cov_82.378536	546557	545166
d5al45	3.a.1	heme		rxn90020	gnl|tc-db|d5al45|3.a.1.210.15	30.252	1.22e-58	209	76	NODE_1_length_567181_cov_82.378536	546557	545166
d5aqy6	3.a.1	nickel		rxn05174,rxn08989,rxn08993	gnl|tc-db|d5aqy6|3.a.1.23.7	34.842	1.09e-34	128	85	NODE_6_length_83600_cov_119.339918	4050	3403
d5arh0	3.a.1	biotin		rxn05223	gnl|tc-db|d5arh0|3.a.1.25.7	30.102	1.27e-21	89.7	82	NODE_6_length_83600_cov_119.339918	4766	4179
d6tjq1	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d6tjq1|3.a.1.26.11	34.553	1.18e-37	137	89	NODE_6_length_83600_cov_119.339918	3194	2469
d7ae10	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae10|3.a.1.23.3	31.295	2.82e-37	136	96	NODE_6_length_83600_cov_119.339918	4050	3229
d7ae11	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|d7ae11|3.a.1.23.3	23.320	1.95e-07	47.8	95	NODE_6_length_83600_cov_119.339918	3173	2427
d7v7w8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v7w8|1.a.8.2.5	36.726	2.75e-29	112	91	NODE_3_length_343051_cov_64.432345	19237	19905
d7v8e7	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7v8e7|1.a.8.2.6	41.379	7.50e-40	142	93	NODE_3_length_343051_cov_64.432345	19210	19905
d7vc84	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vc84|1.a.8.2.8	35.556	3.60e-26	102	88	NODE_3_length_343051_cov_64.432345	19228	19890
d7vey8	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d7vey8|1.a.8.2.7	65.600	2.63e-100	316	100	NODE_5_length_87338_cov_110.492018	22000	22749
e1uci0	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci0|4.a.6.1.15	57.784	4.24e-123	385	100	NODE_5_length_87338_cov_110.492018	86967	85966
e1uci1	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci1|4.a.6.1.15	69.141	2.07e-58	197	96	NODE_5_length_87338_cov_110.492018	85907	85140
e1uci1	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci1|4.a.6.1.15	69.141	2.07e-58	197	96	NODE_5_length_87338_cov_110.492018	85907	85140
e1uci2	4.a.6	fructose	EX_cpd00082_e0	rxn05560,rxn08535,rxn08536,rxn10175	gnl|tc-db|e1uci2|4.a.6.1.15	67.636	2.50e-120	376	90	NODE_5_length_87338_cov_110.492018	85099	84275
e1uci2	4.a.6	mannose	EX_cpd00138_e0,EX_cpd00235_e0	rxn05610,rxn08885	gnl|tc-db|e1uci2|4.a.6.1.15	67.636	2.50e-120	376	90	NODE_5_length_87338_cov_110.492018	85099	84275
