id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	30.108	1.10e-23	95.9	88	NODE_32_length_48028_cov_49.926237	32650	33177
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	19.661	0.003	37.0	78	NODE_32_length_48028_cov_49.926237	32080	31229
a0l3e7	2.a.51	chromate	EX_cpd11595_e0	rxn05526,rxn13686	gnl|tc-db|a0l3e7|2.a.51.1.4	73.894	0.0	625	99	NODE_18_length_83898_cov_53.738299	69435	68080
a1ba99	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a1ba99|2.a.28.3.3	46.021	5.07e-54	187	89	NODE_32_length_48028_cov_49.926237	12979	13845
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	36.000	1.25e-51	181	91	NODE_28_length_62968_cov_52.177672	6971	7855
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	36.000	1.25e-51	181	91	NODE_28_length_62968_cov_52.177672	6971	7855
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	33.333	1.85e-26	107	93	NODE_23_length_71286_cov_48.463832	19918	20760
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	31.788	1.77e-17	81.6	83	NODE_23_length_71286_cov_48.463832	18720	19601
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	39.078	1.52e-106	347	98	NODE_23_length_71286_cov_48.463832	17137	18621
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	59.636	0.0	636	95	NODE_22_length_75466_cov_53.750547	53858	51897
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.689	5.62e-82	285	97	NODE_25_length_63533_cov_51.292817	8611	6260
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	30.485	1.99e-71	245	97	NODE_23_length_71286_cov_48.463832	17137	18648
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	27.349	7.56e-40	153	85	NODE_3_length_135140_cov_52.087256	60058	58703
a6tly5	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly5|2.a.59.1.6	39.249	1.26e-62	211	98	NODE_19_length_82601_cov_53.622340	53496	52633
a6tly6	2.a.59	arsenite		rxn05507	gnl|tc-db|a6tly6|2.a.59.1.6	31.561	1.98e-45	161	98	NODE_19_length_82601_cov_53.622340	53538	52648
