id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	26.431	9.78e-26	108	85	NODE_1_length_362444_cov_24.499610	311989	310904
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.497	7.89e-23	93.2	99	NODE_12_length_145735_cov_17.439694	88168	88743
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	37.847	1.75e-39	144	95	NODE_4_length_270309_cov_20.429785	266570	267427
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	37.847	1.75e-39	144	95	NODE_4_length_270309_cov_20.429785	266570	267427
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	37.847	1.75e-39	144	95	NODE_4_length_270309_cov_20.429785	266570	267427
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	32.438	4.10e-36	140	88	NODE_9_length_159594_cov_19.418206	103272	101983
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	32.438	4.10e-36	140	88	NODE_9_length_159594_cov_19.418206	103272	101983
a1ba99	2.a.28	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a1ba99|2.a.28.3.3	47.122	3.40e-50	176	86	NODE_5_length_213871_cov_16.692073	143806	142973
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	97.135	0.0	660	100	NODE_26_length_53955_cov_22.392721	25528	24482
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	97.135	0.0	660	100	NODE_26_length_53955_cov_22.392721	25528	24482
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	33.684	8.26e-59	204	90	NODE_1_length_362444_cov_24.499610	312028	310898
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	33.684	8.26e-59	204	90	NODE_1_length_362444_cov_24.499610	312028	310898
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	34.135	5.20e-63	217	95	NODE_1_length_362444_cov_24.499610	312055	310811
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	34.135	5.20e-63	217	95	NODE_1_length_362444_cov_24.499610	312055	310811
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	34.959	3.41e-89	296	99	NODE_4_length_270309_cov_20.429785	149852	148389
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	24.318	3.60e-09	56.2	92	NODE_1_length_362444_cov_24.499610	190777	191964
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	22.477	2.31e-16	80.1	78	NODE_31_length_44280_cov_29.923308	25720	24431
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	22.477	2.31e-16	80.1	78	NODE_31_length_44280_cov_29.923308	25720	24431
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	29.126	7.20e-28	116	76	NODE_9_length_159594_cov_19.418206	103173	101986
a3n294	3.a.1	fe3	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a3n294|3.a.1.20.3	70.640	3.78e-166	511	99	NODE_9_length_159594_cov_19.418206	122924	123952
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	37.662	1.79e-84	289	79	NODE_11_length_150641_cov_26.819997	94059	92512
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.467	1.26e-54	202	87	NODE_13_length_137051_cov_24.321623	120423	118258
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	22.293	1.55e-09	58.2	84	NODE_9_length_159594_cov_19.418206	103218	101989
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	28.101	3.32e-34	135	75	NODE_9_length_159594_cov_19.418206	103134	101980
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	63.871	1.58e-127	400	86	NODE_17_length_113941_cov_28.438708	30726	31652
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	54.400	0.0	570	95	NODE_17_length_113941_cov_28.438708	31753	33252
a8agw0	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a8agw0|2.a.49.5.4	64.493	9.53e-112	358	99	NODE_5_length_213871_cov_16.692073	121965	123206
a8anm6	2.a.104	l-alanine		rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|tc-db|a8anm6|2.a.104.1.1	68.276	2.10e-63	206	97	NODE_1_length_362444_cov_24.499610	101667	101233
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	21.900	4.49e-08	53.1	77	NODE_2_length_361349_cov_25.470413	7128	6019
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	23.471	1.23e-10	61.6	93	NODE_9_length_159594_cov_19.418206	103314	101968
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	38.608	2.71e-175	561	97	NODE_1_length_362444_cov_24.499610	11762	9192
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	50.000	1.23e-85	280	80	NODE_15_length_135716_cov_24.192740	28552	27731
