id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.054	1.08e-21	89.4	99	NODE_1_length_506143_cov_170.403412	465759	465106
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	25.175	1.04e-18	84.3	81	NODE_2_length_433104_cov_178.236897	162184	161375
a2rka5	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka5|3.a.1.2.17	40.127	2.73e-56	193	99	NODE_12_length_32911_cov_191.340684	5102	4188
a2rka6	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka6|3.a.1.2.17	36.620	2.83e-34	130	78	NODE_12_length_32911_cov_191.340684	6027	5206
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	55.357	0.0	574	99	NODE_12_length_32911_cov_191.340684	7717	6206
a2rkv5	2.a.88	niacin		rxn12806	gnl|tc-db|a2rkv5|2.a.88.5.2	32.768	1.22e-13	66.2	79	NODE_3_length_288964_cov_177.285365	35288	34809
a2rl86	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|a2rl86|2.a.49.9.4	25.064	2.88e-24	102	96	NODE_1_length_506143_cov_170.403412	151509	152669
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	29.958	1.48e-19	84.3	87	NODE_2_length_433104_cov_178.236897	373872	373186
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	31.362	2.72e-87	296	80	NODE_4_length_213281_cov_174.687709	39769	38192
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	25.369	1.28e-55	205	87	NODE_3_length_288964_cov_177.285365	129097	126923
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	48.435	8.72e-155	494	99	NODE_9_length_86341_cov_184.330770	9289	11280
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	48.435	8.72e-155	494	99	NODE_9_length_86341_cov_184.330770	9289	11280
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	28.044	2.13e-20	89.7	75	NODE_2_length_433104_cov_178.236897	149663	148881
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	46.640	9.83e-142	448	96	NODE_2_length_433104_cov_178.236897	152186	150702
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	54.453	0.0	590	98	NODE_9_length_86341_cov_184.330770	9325	11280
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	54.453	0.0	590	98	NODE_9_length_86341_cov_184.330770	9325	11280
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	68.362	0.0	1203	99	NODE_6_length_125875_cov_186.487626	15437	12783
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	49.819	6.68e-85	276	80	NODE_2_length_433104_cov_178.236897	142405	141587
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	49.819	6.68e-85	276	80	NODE_2_length_433104_cov_178.236897	142405	141587
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	49.819	6.68e-85	276	80	NODE_2_length_433104_cov_178.236897	142405	141587
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	65.339	0.0	717	98	NODE_9_length_86341_cov_184.330770	9265	11292
b0m926	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0m926|3.a.10.1.5	65.339	0.0	717	98	NODE_9_length_86341_cov_184.330770	9265	11292
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	25.926	7.44e-30	120	77	NODE_4_length_213281_cov_174.687709	129268	128159
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	25.926	7.44e-30	120	77	NODE_4_length_213281_cov_174.687709	129268	128159
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	34.983	1.89e-148	488	83	NODE_1_length_506143_cov_170.403412	39911	42412
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	34.983	1.89e-148	488	83	NODE_1_length_506143_cov_170.403412	39911	42412
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	30.464	4.93e-89	306	88	NODE_3_length_288964_cov_177.285365	129097	126890
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	33.019	4.86e-44	163	88	NODE_3_length_288964_cov_177.285365	174067	172928
b1l5g5	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b1l5g5|3.a.10.1.15	44.362	9.68e-131	422	99	NODE_9_length_86341_cov_184.330770	9376	11295
b2uhn5	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|b2uhn5|2.a.49.9.2	29.808	7.26e-37	140	96	NODE_1_length_506143_cov_170.403412	151446	152690
b2ul32	2.a.5	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|b2ul32|2.a.5.5.5	33.188	2.57e-18	81.3	84	NODE_1_length_506143_cov_170.403412	284185	284817
b3ecg6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg6|3.a.10.1.6	55.874	0.0	599	99	NODE_9_length_86341_cov_184.330770	9301	11271
b3ecg6	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3ecg6|3.a.10.1.6	55.874	0.0	599	99	NODE_9_length_86341_cov_184.330770	9301	11271
b3ecg7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b3ecg7|3.a.10.3.2	30.403	5.18e-59	215	84	NODE_9_length_86341_cov_184.330770	9385	11244
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	56.193	1.82e-117	369	99	NODE_9_length_86341_cov_184.330770	2826	3818
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	32.029	4.85e-91	311	81	NODE_1_length_506143_cov_170.403412	40094	42031
b5jqt8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b5jqt8|3.a.10.1.12	51.965	4.41e-155	494	96	NODE_9_length_86341_cov_184.330770	9364	11280
b5jqt8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b5jqt8|3.a.10.1.12	51.965	4.41e-155	494	96	NODE_9_length_86341_cov_184.330770	9364	11280
b6yqj7	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b6yqj7|3.a.10.3.4	29.574	8.57e-63	227	89	NODE_9_length_86341_cov_184.330770	9295	11277
b7l6n0	3.a.1	sulfate	EX_cpd00681_e0	rxn05153,rxn09276,rxn29239	gnl|tc-db|b7l6n0|3.a.1.19.4	35.149	9.96e-26	100	90	NODE_12_length_32911_cov_191.340684	1446	2039
b7l6n0	3.a.1	thiosulfate		rxn05176,rxn09329,rxn34412,rxn34536	gnl|tc-db|b7l6n0|3.a.1.19.4	35.149	9.96e-26	100	90	NODE_12_length_32911_cov_191.340684	1446	2039
c6vj63	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|c6vj63|1.a.8.2.4	40.187	6.68e-44	154	88	NODE_4_length_213281_cov_174.687709	82257	82889
c7rkm6	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|c7rkm6|3.a.10.3.5	29.291	1.63e-43	168	75	NODE_9_length_86341_cov_184.330770	9565	11256
d0jbc9	1.a.8	glycerol		rxn05581,rxn08658,rxn32260,rxn38745	gnl|tc-db|d0jbc9|1.a.8.2.9	47.162	5.60e-48	166	91	NODE_4_length_213281_cov_174.687709	82257	82892
d1ca99	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|d1ca99|3.a.3.5.38	37.576	1.65e-103	347	82	NODE_3_length_288964_cov_177.285365	128851	126890
d2qxg0	2.a.49	chloride		rxn08233,rxn30474	gnl|tc-db|d2qxg0|2.a.49.9.1	29.524	1.41e-28	116	91	NODE_1_length_506143_cov_170.403412	151515	152690
