id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	31.122	1.70e-22	92.4	99	NODE_1_length_1110197_cov_38.166044	548405	548989
658118074	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118074|3.a.1.15.16	25.685	5.24e-15	73.6	81	NODE_2_length_1065000_cov_47.669870	275155	275979
750093545	2.a.10	2-keto-3-deoxygluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|tc-db|750093545|2.a.10.1.4	28.188	1.52e-17	80.9	92	NODE_2_length_1065000_cov_47.669870	513636	512773
a0l3e7	2.a.51	chromate	EX_cpd11595_e0	rxn05526,rxn13686	gnl|tc-db|a0l3e7|2.a.51.1.4	24.936	1.37e-21	95.9	83	NODE_2_length_1065000_cov_47.669870	788268	787273
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	27.323	7.68e-42	160	88	NODE_1_length_1110197_cov_38.166044	1027203	1028669
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	27.323	7.68e-42	160	88	NODE_1_length_1110197_cov_38.166044	1027203	1028669
a0qqh3	2.a.4	cadmium		rxn08196,rxn13814,rxn08198,rxn29670	gnl|tc-db|a0qqh3|2.a.4.1.5	31.353	9.66e-42	151	99	NODE_2_length_1065000_cov_47.669870	177553	176648
a0qqh3	2.a.4	cobalt		rxn08240,rxn13681,rxn08242,rxn10474	gnl|tc-db|a0qqh3|2.a.4.1.5	31.353	9.66e-42	151	99	NODE_2_length_1065000_cov_47.669870	177553	176648
a0qqh3	2.a.4	zinc		rxn09389,rxn13919,rxn09391,rxn28559	gnl|tc-db|a0qqh3|2.a.4.1.5	31.353	9.66e-42	151	99	NODE_2_length_1065000_cov_47.669870	177553	176648
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	36.971	1.60e-66	230	88	NODE_2_length_1065000_cov_47.669870	521187	519937
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	36.971	1.60e-66	230	88	NODE_2_length_1065000_cov_47.669870	521187	519937
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05555,rxn08472	gnl|tc-db|a1jlh0|3.a.1.10.5	34.615	1.29e-48	173	92	NODE_5_length_470530_cov_49.269298	250735	249737
a1jlh0	3.a.1	iron	EX_cpd10516_e0	rxn05195,rxn08477,rxn34370	gnl|tc-db|a1jlh0|3.a.1.10.5	34.615	1.29e-48	173	92	NODE_5_length_470530_cov_49.269298	250735	249737
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	39.243	1.00e-102	335	99	NODE_2_length_1065000_cov_47.669870	531413	532894
a2rmj9	3.a.1	biotin		rxn05223	gnl|tc-db|a2rmj9|3.a.1.25.4	25.806	0.002	35.4	76	NODE_2_length_1065000_cov_47.669870	115196	115645
a2spe9	3.a.1	cobalt		rxn05166,rxn08239	gnl|tc-db|a2spe9|3.a.1.26.2	27.823	1.31e-14	70.5	92	NODE_8_length_83687_cov_65.266284	30945	30211
a2spv2	2.a.40	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a2spv2|2.a.40.2.2	27.184	5.11e-14	72.4	75	NODE_1_length_1110197_cov_38.166044	898933	900135
a2spv2	2.a.40	xanthine		rxn05202,rxn09377,rxn12440	gnl|tc-db|a2spv2|2.a.40.2.2	27.184	5.11e-14	72.4	75	NODE_1_length_1110197_cov_38.166044	898933	900135
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	29.741	1.79e-37	145	85	NODE_5_length_470530_cov_49.269298	2028	715
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	37.282	1.85e-99	333	84	NODE_3_length_619286_cov_36.822688	22486	24138
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.410	1.79e-63	229	87	NODE_2_length_1065000_cov_47.669870	283450	281303
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	21.687	2.55e-17	83.2	77	NODE_7_length_107398_cov_42.771573	63984	63007
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	33.419	5.67e-48	176	75	NODE_2_length_1065000_cov_47.669870	521049	519925
a6lw10	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw10|3.a.1.2.26	38.504	1.53e-57	199	95	NODE_5_length_470530_cov_49.269298	187014	185953
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	50.992	9.87e-155	486	95	NODE_5_length_470530_cov_49.269298	185927	184419
a6n844	2.a.39	uracil		rxn05197,rxn09365,rxn12368	gnl|tc-db|a6n844|2.a.39.3.10	28.571	2.39e-50	184	79	NODE_1_length_1110197_cov_38.166044	759454	758177
a6x7e7	2.a.1	riboflavin		rxn05224,rxn05645,rxn09715,rxn33018,rxn34403,rxn38697	gnl|tc-db|a6x7e7|2.a.1.81.5	27.822	6.48e-24	101	92	NODE_5_length_470530_cov_49.269298	40193	39051
a7zuz0	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|a7zuz0|2.a.2.1.1	27.232	3.69e-37	143	92	NODE_2_length_1065000_cov_47.669870	238045	236759
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	34.615	6.71e-73	248	93	NODE_1_length_1110197_cov_38.166044	1027242	1028633
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	21.322	2.02e-16	81.3	78	NODE_2_length_1065000_cov_47.669870	1037901	1036381
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	22.422	2.37e-21	95.9	85	NODE_7_length_107398_cov_42.771573	63996	62929
a9bjx0	3.a.3	calcium		rxn05513,rxn10447,rxn27351,rxn27352,rxn27353,rxn27614,rxn27615,rxn29073,rxn29074,rxn35678,rxn37862	gnl|tc-db|a9bjx0|3.a.3.2.21	46.372	0.0	706	97	NODE_3_length_619286_cov_36.822688	209338	211932
a9ci32	3.a.1	betaine	EX_cpd08306_e0	rxn05181,rxn08637,rxn11216	gnl|tc-db|a9ci32|3.a.1.12.13	44.688	1.40e-79	262	91	NODE_1_length_1110197_cov_38.166044	602216	603154
a9ci32	3.a.1	glycine	EX_cpd00033_e0	rxn10862,rxn12799,rxn34108,rxn34109	gnl|tc-db|a9ci32|3.a.1.12.13	44.688	1.40e-79	262	91	NODE_1_length_1110197_cov_38.166044	602216	603154
a9ci32	3.a.1	proline	EX_cpd00129_e0	rxn05165,rxn09187	gnl|tc-db|a9ci32|3.a.1.12.13	44.688	1.40e-79	262	91	NODE_1_length_1110197_cov_38.166044	602216	603154
agg19156.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|agg19156.1|2.a.1.1.122	35.412	4.37e-73	249	91	NODE_2_length_1065000_cov_47.669870	521199	519943
aiu34725.1	2.a.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|tc-db|aiu34725.1|2.a.1.1.131	28.352	8.91e-56	199	90	NODE_2_length_1065000_cov_47.669870	521199	519925
aiu41385.1	2.a.1	sorbitol	EX_cpd00588_e0	rxn05648	gnl|tc-db|aiu41385.1|2.a.1.1.123	34.388	2.80e-77	262	93	NODE_2_length_1065000_cov_47.669870	521265	519943
aku75155.2	2.a.1	glycerol		rxn12529,rxn34380	gnl|tc-db|aku75155.2|2.a.1.1.137	29.638	2.84e-45	169	78	NODE_3_length_619286_cov_36.822688	490037	491326
aoy58527	2.a.14	l-lactate		rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	gnl|tc-db|aoy58527|2.a.14.2.2	31.211	2.14e-34	137	79	NODE_2_length_1065000_cov_47.669870	350893	352218
apa39363.1	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|apa39363.1|2.a.1.9.13	24.356	1.34e-20	93.2	84	NODE_7_length_107398_cov_42.771573	63975	62959
b0r9x2	2.a.35	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|tc-db|b0r9x2|2.a.35.1.4	32.613	4.33e-72	246	94	NODE_4_length_575188_cov_39.933105	153188	151824
b0r9x2	2.a.35	ornithine	EX_cpd00064_e0	rxn05628,rxn09731,rxn29084,rxn29085	gnl|tc-db|b0r9x2|2.a.35.1.4	32.613	4.33e-72	246	94	NODE_4_length_575188_cov_39.933105	153188	151824
b0smv3	3.a.3	potassium		rxn08762,rxn10168,rxn10558,rxn10578,rxn13842,rxn18910	gnl|tc-db|b0smv3|3.a.3.1.5	33.659	4.17e-132	441	84	NODE_3_length_619286_cov_36.822688	209281	211917
b0smv3	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b0smv3|3.a.3.1.5	33.659	4.17e-132	441	84	NODE_3_length_619286_cov_36.822688	209281	211917
b0str2	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|b0str2|3.a.3.27.2	31.233	5.55e-99	336	88	NODE_2_length_1065000_cov_47.669870	283450	281252
b0w0k4	2.a.23	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|tc-db|b0w0k4|2.a.23.2.11	32.603	8.99e-40	151	85	NODE_5_length_470530_cov_49.269298	82379	81258
b1pm37	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|b1pm37|2.a.1.1.64	29.448	7.52e-44	167	75	NODE_5_length_470530_cov_49.269298	2097	721
b3et62	3.a.23	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05145,rxn09122	gnl|tc-db|b3et62|3.a.23.6.1	53.333	5.48e-116	366	99	NODE_2_length_1065000_cov_47.669870	339138	338149
b3si05	3.a.3	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|b3si05|3.a.3.1.9	30.866	5.92e-89	306	81	NODE_3_length_619286_cov_36.822688	209596	211599
b3w8u5	2.a.2	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|tc-db|b3w8u5|2.a.2.1.2	26.047	1.01e-20	93.2	88	NODE_1_length_1110197_cov_38.166044	399576	400799
