id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	28.723	1.95e-19	82.8	99	gnl|DSMZ|unitig_0|quiver_consensus	428307	428864
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.391	3.78e-09	55.8	92	gnl|DSMZ|unitig_0|quiver_consensus	194635	193244
a3t2g5	3.a.3	cadmium		rxn05516,rxn08195,rxn10453,rxn18898	gnl|tc-db|a3t2g5|3.a.3.6.22	32.072	1.15e-81	280	81	gnl|DSMZ|unitig_0|quiver_consensus	685188	686768
a5fgv9	3.a.3	copper		rxn05528,rxn08271,rxn10481,rxn27349,rxn29072,rxn38723,rxn39047	gnl|tc-db|a5fgv9|3.a.3.27.7	26.700	5.53e-79	275	97	gnl|DSMZ|unitig_0|quiver_consensus	1149517	1147154
a6l2m4	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a6l2m4|3.a.10.1.10	46.027	9.46e-141	454	98	gnl|DSMZ|unitig_0|quiver_consensus	483937	481940
a6l2m4	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a6l2m4|3.a.10.1.10	46.027	9.46e-141	454	98	gnl|DSMZ|unitig_0|quiver_consensus	483937	481940
a7vnh8	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|a7vnh8|3.a.10.1.13	49.017	4.25e-166	526	99	gnl|DSMZ|unitig_0|quiver_consensus	483952	481931
a7vnh8	3.a.10	sodium		rxn05622,rxn34391,rxn34513	gnl|tc-db|a7vnh8|3.a.10.1.13	49.017	4.25e-166	526	99	gnl|DSMZ|unitig_0|quiver_consensus	483952	481931
a8j6j0	2.a.53	sulfate	EX_cpd00681_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|tc-db|a8j6j0|2.a.53.1.8	22.487	2.85e-28	119	76	gnl|DSMZ|unitig_0|quiver_consensus	398162	399787
b0m926	3.a.10	pyrophosphate		rxn05635,rxn30297,rxn11268	gnl|tc-db|b0m926|3.a.10.1.5	57.207	2.61e-179	563	95	gnl|DSMZ|unitig_0|quiver_consensus	483925	481922
